Organism,Scaffold,Start,End,Score,CAA19960.1,CAA19961.1,CAA19962.1,CAA19963.1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,1174668,1181294,7.4143,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000011.1,102943,109539,7.4106,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,1319574,1326302,7.3610,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,1319574,1326224,7.3540,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000028.1,7185,13751,7.3758,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000016.1,32636,39178,7.3742,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000008.1,129407,136050,7.3604,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000086.1,9567,16159,7.3585,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000009.1,183777,190403,7.3579,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000003.1,98560,105153,7.3597,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000021.1,119347,125874,7.3590,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000020.1,26485,33012,7.3590,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000001.1,1030942,1037433,7.3521,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000004.1,152610,159164,7.3552,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000004.1,63289,69894,7.3496,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000002.1,1061659,1068264,7.3496,1,1,1,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,6707789,6714463,7.3490,1,1,1,1
Streptomyces sp. M1013,NZ_MQUH01000025.1,305418,312038,7.3300,1,1,1,1
Streptomyces sp. E5N298,NZ_RAIG01000595.1,11161,17799,7.3309,1,1,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000021.1,11071,17655,7.3315,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000005.1,306225,312809,7.3320,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000014.1,26313,32897,7.3299,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000023.1,26313,32897,7.3299,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000006.1,177182,183784,7.3319,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000011.1,166232,172834,7.3312,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,7368564,7375166,7.3322,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000030.1,44813,51372,7.3341,1,1,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000014.1,103419,110028,7.3296,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000007.1,22264,28889,7.3299,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000071.1,19542,26084,7.3321,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000005.1,59739,66254,7.3296,1,1,1,1
Streptomyces sp. NRRL F-4707,LGEF01000150.1,16837,23636,7.3200,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000150.1,16837,23534,7.3167,1,1,1,1
Streptomyces sp. NRRL F-4711,LGCX01000255.1,15865,22670,7.3206,1,1,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000255.1,15967,22670,7.3170,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,1213569,1220223,7.3300,1,1,1,1
Streptomyces sp. NRRL F-7442,LGEH01000174.1,16724,23532,7.3174,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000174.1,16724,23430,7.3138,1,1,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000017.1,119090,125675,7.3236,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,887352,893994,7.3315,1,1,1,1
Streptomyces sp. KO7888,WXVT01000001.1,887352,893994,7.3293,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,871050,877692,7.3275,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000025.1,91833,98499,7.3312,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,1211963,1218617,7.3319,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,1211963,1218617,7.3318,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000007.1,121311,127936,7.3299,1,1,1,1
Streptomyces sp. NPDC092369,NZ_JBIVQP010000001.1,70100,76707,7.3243,1,1,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000012.1,215971,222652,7.3244,1,1,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000004.1,373679,380360,7.3244,1,1,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000001.1,449553,456282,7.3243,1,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000057.1,15836,22610,7.3195,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,1067196,1073877,7.3244,1,1,1,1
Streptomyces sp. NPDC088387,NZ_JBIVNC010000006.1,560739,567564,7.3133,1,1,1,1
Streptomyces sp. NPDC051963,NZ_JBIUCC010000001.1,1130213,1136832,7.3255,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000001.1,964272,970869,7.3213,1,1,1,1
Streptomyces sp. NPDC051954,NZ_JBFAXO010000001.1,733879,740506,7.3244,1,1,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000061.1,23989,30694,7.3213,1,1,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000001.1,57412,64009,7.3213,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000001.1,559693,566374,7.3205,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,6991693,6998398,7.3238,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,1168073,1174778,7.3216,1,1,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,1161731,1168436,7.3216,1,1,1,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000001.1,55132,61840,7.3195,1,1,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000003.1,429146,435857,7.3215,1,1,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000005.1,279988,286699,7.3217,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000012.1,290516,297209,7.3205,1,1,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000024.1,76432,83131,7.3229,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000016.1,54910,61587,7.3232,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000043.1,26569,33262,7.3200,1,1,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000002.1,316532,323222,7.3228,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000039.1,15885,22588,7.3164,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000031.1,15910,22613,7.3170,1,1,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000018.1,117598,124288,7.3213,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000027.1,15987,22681,7.3118,1,1,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000001.1,450274,456991,7.3200,1,1,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,1050424,1057165,7.3205,1,1,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000031.1,21481,28207,7.3201,1,1,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000010.1,167231,173948,7.3201,1,1,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000029.1,14985,21702,7.3197,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000008.1,272099,278792,7.3232,1,1,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000007.1,297502,304210,7.3221,1,1,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000091.1,13654,20395,7.3202,1,1,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000001.1,120729,127470,7.3202,1,1,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,1264625,1271315,7.3200,1,1,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000003.1,72627,79317,7.3200,1,1,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,1105329,1112022,7.3204,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000032.1,15813,22519,7.3138,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000002.1,613107,619809,7.3200,1,1,1,1
Streptomyces sp. BK208,NZ_SOAV01000001.1,1007436,1014204,7.3221,1,1,1,1
Streptomyces sp. BK208,SOAV01000001.1,1007436,1014204,7.3225,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000008.1,90686,97382,7.3218,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000011.1,322631,329361,7.3132,1,1,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000069.1,13547,20231,7.3246,1,1,1,1
Streptomyces sp. H23,NZ_SOPG01000008.1,101996,108737,7.3198,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,6717792,6724389,7.3231,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000015.1,55310,62030,7.3191,1,1,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000001.1,55190,61910,7.3191,1,1,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000004.1,263541,270222,7.3187,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000001.1,894182,900743,7.3183,1,1,1,1
Streptomyces sp. NPDC059402,JBHYWM010000001.1,75373,81934,7.3183,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000098.1,966,7563,7.3222,1,1,1,1
Streptomyces sp. NPDC006284,NZ_JBEXRY010000020.1,52614,59213,7.3055,1,1,1,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000002.1,138162,144751,7.3048,1,1,1,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000035.1,70342,76941,7.3056,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000002.1,441045,447604,7.3178,1,1,1,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000016.1,78211,84810,7.3027,1,1,1,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000016.1,80618,87217,7.3027,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000008.1,93682,100241,7.3178,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000064.1,8457,15016,7.3177,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000028.1,52823,59382,7.3178,1,1,1,1
Streptomyces sp. SID5606,WWIE01000523.1,8146,14942,7.3070,1,1,1,1
Streptomyces sp. SID5606,NZ_WWIE01000523.1,8146,14864,7.3026,1,1,1,1
Streptomyces sp. NPDC016675,NZ_JBIBQW010000018.1,81715,88318,7.3025,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,1135832,1142391,7.3186,1,1,1,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000003.1,197407,204060,7.3027,1,1,1,1
Streptomyces sp. STD 3.1,JAKFGY010000005.1,323700,330353,7.3013,1,1,1,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000018.1,82011,88625,7.3036,1,1,1,1
Streptomyces sp. CB02400,NZ_LIWB01000010.1,260337,267066,7.3018,1,1,1,1
Streptomyces sp. XY152,LGDQ01000280.1,20757,27481,7.3007,1,1,1,1
Streptomyces sp. XY152,NZ_LGDQ01000280.1,20835,27481,7.2976,1,1,1,1
Streptomyces sp. NPDC057236,NZ_JBHUXH010000018.1,98445,105030,7.3042,1,1,1,1
Streptomyces sp. NPDC000931,NZ_JBEPBT010000021.1,78229,84692,7.3033,1,1,1,1
Streptomyces sp. WAC 04229,NZ_QHJH01000005.1,13924,20560,7.3046,1,1,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000005.1,247691,254323,7.3052,1,1,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000024.1,28120,34752,7.3036,1,1,1,1
Streptomyces sp. VNUA74,NZ_CP133215.1,6262465,6269183,7.3044,1,1,1,1
Streptomyces sp. VNUA74,CP133215.1,6262465,6269183,7.3048,1,1,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000014.1,28538,35194,7.3069,1,1,1,1
Streptomyces sp. NPDC051740,NZ_JBITCL010000010.1,77097,83933,7.3037,1,1,1,1
Streptomyces sp. LKA04,NZ_JBLUUE010000002.1,9532,16280,7.3042,1,1,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000011.1,226984,233580,7.2997,1,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000023.1,22326,28982,7.3023,1,1,1,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000012.1,96978,103610,7.3090,1,1,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000010.1,225836,232468,7.3056,1,1,1,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000015.1,28562,35204,7.3006,1,1,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000006.1,429114,435752,7.3005,1,1,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000013.1,217307,223882,7.3050,1,1,1,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000001.1,657797,664404,7.3018,1,1,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000009.1,241130,247737,7.3018,1,1,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000003.1,343102,349758,7.3038,1,1,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000002.1,343084,349740,7.3038,1,1,1,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000012.1,38514,45170,7.3038,1,1,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000003.1,241093,247749,7.3038,1,1,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000030.1,51099,57755,7.3038,1,1,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000002.1,28097,34741,7.3059,1,1,1,1
Streptomyces sp. NPDC088106,NZ_JBFBJC010000066.1,7198,14079,7.2967,1,1,1,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000002.1,329493,336101,7.3008,1,1,1,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000020.1,41257,47889,7.3010,1,1,1,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000005.1,241652,248296,7.3048,1,1,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000013.1,217499,224131,7.3032,1,1,1,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000035.1,41800,48439,7.2996,1,1,1,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000014.1,41182,47821,7.2996,1,1,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000014.1,218736,225368,7.3066,1,1,1,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000013.1,28599,35237,7.3003,1,1,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,6707326,6713910,7.3053,1,1,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000014.1,185048,191632,7.3055,1,1,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000012.1,21849,28433,7.3051,1,1,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,7505682,7512266,7.3052,1,1,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000001.1,115994,122627,7.3022,1,1,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000010.1,205424,212057,7.3022,1,1,1,1
Streptomyces sp. NPDC044984,NZ_JBEZBE010000037.1,18826,25467,7.3041,1,1,1,1
Streptomyces sp. AC558_RSS880,NZ_JAGMUJ010000102.1,14181,20837,7.3059,1,1,1,1
Streptomyces sp. NPDC013433,NZ_JBEYDA010000027.1,33855,40499,7.3053,1,1,1,1
Streptomyces sp. NPDC012403,NZ_JBIBEX010000003.1,495706,502326,7.3060,1,1,1,1
Streptomyces sp. NPDC017966,NZ_JBIRGY010000005.1,83475,90125,7.3060,1,1,1,1
Streptomyces sp. NPDC059787,NZ_JBHWHX010000015.1,33554,40490,7.2935,1,1,1,1
Streptomyces sp. NPDC026672,NZ_JBEZXS010000016.1,130999,137582,7.3086,1,1,1,1
Streptomyces sp. NPDC026666,NZ_JBEZXV010000012.1,69006,75589,7.3086,1,1,1,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,1363043,1369755,7.3031,1,1,1,1
Streptomyces sp. NPDC059454,NZ_JBHYVC010000023.1,81615,88243,7.2993,1,1,1,1
Streptomyces sp. NPDC052092,NZ_JBIUBQ010000003.1,503362,510057,7.2971,1,1,1,1
Streptomyces sp. NPDC102370,NZ_JBIWLB010000003.1,498750,505445,7.2985,1,1,1,1
Streptomyces sp. YIM B13518,NZ_JBHZON010000009.1,277541,284172,7.3012,1,1,1,1
Streptomyces sp. NRRL F-2305,NZ_JOFW01000002.1,62282,68910,7.2984,1,1,1,1
Streptomyces sp. NPDC085937,NZ_JBITSH010000004.1,479635,486363,7.2995,1,1,1,1
Streptomyces sp. NPDC086843,NZ_JBIVAQ010000010.1,21631,28326,7.2976,1,1,1,1
Streptomyces sp. T12,NZ_VIUV01000020.1,4497,11192,7.2983,1,1,1,1
Streptomyces sp. OP7,NZ_JBEGWG010000023.1,676258,682986,7.2996,1,1,1,1
Streptomyces sp. NPDC093594,NZ_JBFBDX010000053.1,4119,10814,7.2982,1,1,1,1
Streptomyces sp. NPDC052492,NZ_JBIUAO010000003.1,500832,507527,7.2986,1,1,1,1
Streptomyces sp. NRRL S-1314,NZ_JOHU01000037.1,25150,31833,7.2977,1,1,1,1
Streptomyces sp. NPDC018964,NZ_JBIRYZ010000003.1,285339,292067,7.2994,1,1,1,1
Streptomyces sp. NPDC018955,NZ_JBIRZC010000008.1,78089,84829,7.2990,1,1,1,1
Streptomyces sp. NPDC005908,NZ_JBEXVW010000007.1,273611,280306,7.2981,1,1,1,1
Streptomyces sp. NPDC102359,NZ_JBIWLH010000003.1,24015,30710,7.2974,1,1,1,1
Streptomyces sp. NPDC057092,NZ_JBHUTS010000001.1,4840,11535,7.2999,1,1,1,1
Streptomyces sp. E1N211,NZ_RAII01000001.1,2248436,2255131,7.2964,1,1,1,1
Streptomyces sp. ETH9427,CP029624.1,14637,21332,7.2967,1,1,1,1
Streptomyces sp. ETH9427,CP029624.1,7724025,7730720,7.2967,1,1,1,1
Streptomyces sp. NRRL F-5527,NZ_JOHL01000040.1,32764,39447,7.2980,1,1,1,1
Streptomyces sp. Z38,NZ_WPIR01000067.1,15694,22389,7.2970,1,1,1,1
Streptomyces sp. HNS054,NZ_LDZX01000018.1,91581,98276,7.2967,1,1,1,1
Streptomyces sp. R02,NZ_CP163429.1,173473,180168,7.2964,1,1,1,1
Streptomyces sp. I4(2020),NZ_JACJDI010000004.1,155612,162307,7.2970,1,1,1,1
Streptomyces sp. I4(2020),JACJDI010000004.1,155612,162307,7.2960,1,1,1,1
Streptomyces sp. RK31,NZ_JAGPYC010000033.1,20789,27484,7.2969,1,1,1,1
Streptomyces sp. RK31,JAGPYC010000033.1,20789,27484,7.2960,1,1,1,1
Streptomyces sp. CSMPJR101,NZ_JBJDRD010000009.1,3790,10503,7.2969,1,1,1,1
Streptomyces sp. E2N171,NZ_RAIH01000643.1,3183,9878,7.2969,1,1,1,1
Streptomyces sp. TRM75561,NZ_JARWLV010000023.1,1751,8446,7.2967,1,1,1,1
Streptomyces sp. FW42,NZ_CP182295.1,7139518,7146213,7.2963,1,1,1,1
Streptomyces sp. PAM3C,NZ_JAHLXF010000022.1,2497,9192,7.2968,1,1,1,1
Streptomyces sp. PAM3C,JAHLXF010000022.1,2497,9192,7.2958,1,1,1,1
Streptomyces sp. NPDC056628,NZ_JBHTWG010000056.1,9775,16488,7.2970,1,1,1,1
Streptomyces sp. NRRL S-37,NZ_JOIZ01000001.1,77311,83956,7.2969,1,1,1,1
Streptomyces sp. BJ20,NZ_CP094918.1,3705678,3712373,7.2969,1,1,1,1
Streptomyces sp. NPDC000348,NZ_JBIAZD010000006.1,77925,84684,7.2976,1,1,1,1
Streptomyces sp. NPDC014676,NZ_JBIBZI010000017.1,78809,85463,7.2985,1,1,1,1
Streptomyces sp. NPDC051207,NZ_JBFBAX010000001.1,164655,171651,7.2998,1,1,1,1
Streptomyces sp. SLBN-134,NZ_VFOE01000001.1,834929,841460,7.2927,1,1,1,1
Streptomyces sp. PvP037,NZ_JBEPSS010000008.1,271078,277609,7.2917,1,1,1,1
Streptomyces sp. PvP037,JBEPSS010000008.1,271078,277609,7.2918,1,1,1,1
Streptomyces sp. NPDC051051,NZ_JBFBCB010000003.1,140696,147391,7.2984,1,1,1,1
Streptomyces sp. PDY-4,NZ_JBISVE010000003.1,796570,803101,7.2934,1,1,1,1
Streptomyces sp. NA02536,NZ_CP054939.1,6731999,6738533,7.2927,1,1,1,1
Streptomyces sp. NA02536,CP054939.1,6731999,6738533,7.2927,1,1,1,1
Streptomyces sp. NWU49,NZ_QFXB01000003.1,272758,279353,7.2925,1,1,1,1
Streptomyces sp. NPDC006147,NZ_JBEXTP010000045.1,39943,46638,7.2948,1,1,1,1
Streptomyces sp. NPDC102351,NZ_JBIWLL010000009.1,261105,267800,7.2944,1,1,1,1
Streptomyces sp. NPDC088766,NZ_JBIVKQ010000008.1,172120,178814,7.2930,1,1,1,1
Streptomyces sp. NPDC101213,NZ_JBIWOM010000020.1,33191,39965,7.2996,1,1,1,1
Streptomyces sp. NPDC014882,NZ_JBIBWL010000006.1,131852,138619,7.2994,1,1,1,1
Streptomyces sp. NPDC048737,NZ_JBEZGV010000017.1,64997,71735,7.2923,1,1,1,1
Streptomyces sp. NPDC048734,NZ_JBICUZ010000006.1,230591,237329,7.2923,1,1,1,1
Streptomyces sp. ISL-12,NZ_JAGGOO010000054.1,24695,31222,7.2835,1,1,1,1
Streptomyces sp. ISL-12,JAGGOO010000054.1,24695,31222,7.2835,1,1,1,1
Streptomyces sp. NPDC052013,NZ_JBIUBY010000062.1,10326,16993,7.2778,1,1,1,1
Streptomyces sp. NPDC052012,NZ_JBFAXA010000026.1,47664,54217,7.2758,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000002.1,174495,181145,7.4200,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000002.1,351564,358214,7.4200,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000002.1,351564,358214,7.4148,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000002.1,169159,175809,7.4200,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000002.1,169159,175809,7.4148,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000002.1,351564,358214,7.4148,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000002.1,351564,358214,7.4148,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,7356701,7363351,7.4200,1,1,1,1
Streptomyces coelicolor,CP133591.1,7010563,7017213,7.4148,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,7420947,7427597,7.4148,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,7263039,7269689,7.4200,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,7542376,7549032,7.4079,1,1,1,1
Streptomyces coelicolor CAI-140,JAANOB010000030.1,21174,27857,7.2974,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000002.1,60274,66924,7.4148,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000001.1,351564,358214,7.4148,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000029.1,57423,64151,7.4130,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000005.1,57825,64553,7.4130,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000021.1,59533,66201,7.4141,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,7206865,7213521,7.4142,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000003.1,421817,428473,7.4142,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000068.1,23415,30089,7.4146,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000005.1,528090,534764,7.4127,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000001.1,369345,376067,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000002.1,115855,122577,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000001.1,470753,477523,7.4137,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000001.1,707787,714497,7.4114,1,1,1,1
