Organism,Scaffold,Start,End,Score,CAB53319.1,CAB53320.1,CAB53321.1,CAB53322.1,CAB53323.1,CAB53324.1,CAB53325.1,CAB53326.1,CAB53327.1,CAB53328.1,CAB53329.1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000001.1,676032,698683,22.4289,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,JAPFQR010000001.1,676032,698683,22.4277,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000011.1,115894,138532,22.4296,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000012.1,70641,93254,22.4333,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000009.1,137133,159759,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000012.1,136921,159547,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000001.1,427112,449741,22.4290,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000006.1,69521,92134,22.4355,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000004.1,284777,307447,22.4268,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000011.1,127561,150181,22.4257,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000009.1,58,22728,22.4284,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000048.1,17926,40593,22.4273,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000047.1,19036,41703,22.4273,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000005.1,103530,126194,22.4276,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000001.1,274991,297658,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000004.1,19052,41719,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000007.1,115883,138550,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000007.1,19052,41719,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000001.1,19036,41703,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000001.1,274991,297658,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000029.1,19046,41698,22.4255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000015.1,136860,159512,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000002.1,210288,232906,22.4269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000003.1,155611,178240,22.4290,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000003.1,335994,358612,22.4293,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000009.1,220119,242763,22.4269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000002.1,374371,397029,22.4305,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000001.1,445413,468071,22.4305,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000003.1,136966,159595,22.4292,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000002.1,548346,570966,22.4293,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000005.1,155749,178407,22.4258,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000002.1,225952,248602,22.4286,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000002.1,155890,178519,22.4283,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,495972,518630,22.4257,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,458764,481422,22.4265,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,458764,481422,22.4267,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,7837916,7860574,22.4257,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,7837916,7860574,22.4266,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,466847,489505,22.4268,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,7873404,7896062,22.4266,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,7853274,7875932,22.4266,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,510822,533448,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,510822,533448,22.4391,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000015.1,75938,98564,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000015.1,75938,98564,22.4377,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,510822,533448,22.4391,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,8108349,8131054,22.4274,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000001.1,374488,397108,22.4290,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000008.1,27577,50267,22.4252,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000015.1,136948,159574,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,JAATOK010000015.1,136948,159574,22.4381,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000013.1,75926,98552,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000013.1,75926,98552,22.4377,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000026.1,24858,47484,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000026.1,24858,47484,22.4377,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000013.1,75938,98564,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000013.1,75938,98564,22.4377,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000012.1,75926,98552,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000012.1,75926,98552,22.4377,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,494127,516832,19.3596,1,1,1,1,1,1,1,0,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,489168,511794,22.4381,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,101747,124373,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,510857,533483,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,510864,533490,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000001.1,455570,478234,22.4265,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000001.1,455570,478234,22.4254,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000010.1,7580,30232,22.4303,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,7884804,7907456,22.4303,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000010.1,136919,159545,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000003.1,270972,293594,22.4326,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000009.1,8255,30884,22.4269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000001.1,350746,373375,22.4269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000002.1,200112,222732,22.4293,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000026.1,624,21771,18.3461,0,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000001.1,444236,466900,22.4293,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000001.1,32482,55140,22.4257,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,JXWX01000001.1,32482,55140,22.4268,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,594131,616782,22.4297,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,594131,616782,22.4306,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000005.1,47530,70150,22.4274,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,MUYY01000005.1,47530,70150,22.4283,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,591708,614359,22.4297,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,591708,614359,22.4306,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000003.1,39564,62212,22.4286,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000003.1,39564,62212,22.4310,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,510822,533448,22.4368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,510822,533448,22.4391,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. E5N91,NZ_RAIE01000826.1,29120,48586,16.2282,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000005.1,108457,131058,22.3611,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000006.1,115445,138035,22.3638,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000039.1,8728,31325,22.3547,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000004.1,287436,310131,22.2721,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000006.1,70691,93386,22.2721,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000023.1,27071,49768,22.2713,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,7520857,7543584,19.2010,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. RS2,JAPCIE010000001.1,7520857,7543584,19.2015,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000001.1,375504,398233,22.2673,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000007.1,61,22693,22.3534,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000003.1,637218,659853,22.3577,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000001.1,318728,341392,22.2707,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000006.1,60799,83432,22.3516,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000002.1,310270,332889,22.3603,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000004.1,429944,452563,22.3603,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000004.1,321879,344605,22.2537,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000007.1,209525,232264,22.2514,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000002.1,857684,880417,22.2518,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000003.1,242065,264804,22.2514,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000014.1,4898,27586,22.2694,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000009.1,91314,114096,22.2767,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000028.1,9865,32560,22.2646,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,7507040,7529706,22.2263,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000011.1,116935,139664,22.2646,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,JAGPYH010000011.1,116935,139664,22.2664,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000002.1,172323,195024,22.2734,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000003.1,249094,271815,22.2693,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000003.1,137655,160328,22.2731,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000024.1,100561,123282,22.2693,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,NZ_MQUH01000001.1,379012,401730,22.2618,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,MQUH01000001.1,379012,401730,22.2635,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. E5N298,NZ_RAIG01000594.1,5782,28487,22.2635,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000010.1,91191,113879,22.2766,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000002.1,198519,221220,22.2698,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,438636,461335,22.2704,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,438636,461335,22.2712,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000007.1,75244,97985,22.2654,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000006.1,217877,240618,22.2654,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,8122341,8145046,22.2653,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000001.1,79048,101727,22.2690,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC627_RSS907,NZ_JAGMUE010000091.1,8024,30671,13.9957,1,0,0,1,1,1,0,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000065.1,246882,269618,22.2358,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC053750,NZ_JBITXB010000009.1,134738,157383,14.0184,1,1,1,1,1,0,1,0,0,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,8266522,8289176,22.2360,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000006.1,102161,124899,22.1955,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000066.1,198897,221780,10.8945,1,1,0,1,0,1,1,0,0,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000010.1,95096,117950,16.0717,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. DG1A-41,NZ_CP146350.1,8282495,8304117,9.8571,1,1,1,1,0,0,1,0,0,1,0
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000003.1,389161,412087,22.2535,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,NZ_SOAV01000001.1,224098,247002,22.2311,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,SOAV01000001.1,224098,247002,22.2312,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000011.1,129433,152291,16.0888,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000012.1,129456,152314,16.0887,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. VN1,NZ_CP036534.1,7910264,7933343,10.8767,1,1,1,1,0,0,0,0,0,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000008.1,104200,127058,19.1826,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000010.1,253765,276623,16.0893,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000236.1,129271,152129,16.0893,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-4711,LGCX01000236.1,129271,152129,16.0845,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000173.1,49296,72154,16.0900,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-4707,LGEF01000173.1,49296,72154,16.0852,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000149.1,15412,38270,16.0845,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NRRL F-7442,LGEH01000149.1,15412,38270,16.0844,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000007.1,14480,37383,22.2295,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000013.1,86557,109444,22.2306,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000002.1,260820,283699,22.2292,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000010.1,262856,285764,22.2300,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000001.1,744406,767285,22.2292,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006235,NZ_JBEXSR010000002.1,312956,334599,10.8830,1,1,0,1,0,1,1,1,0,1,0
Streptomyces sp. NPDC050164,NZ_JBITJK010000005.1,359475,382264,13.9726,1,1,1,1,0,0,1,1,0,1,1
Streptomyces sp. HC307,NZ_CP176503.1,2069809,2092553,22.1994,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059862,NZ_JBHWJR010000051.1,16209,38874,22.2017,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059866,NZ_JBHWJT010000003.1,120898,143628,22.2095,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127197,NZ_JBHXVG010000016.1,16203,38868,22.1996,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. F001,NZ_QZWF01000011.1,148433,171293,19.1067,1,1,1,1,0,1,1,1,1,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,8136463,8159541,15.0424,1,1,1,1,1,1,0,0,0,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000011.1,197670,220556,22.2315,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC002838,NZ_JBEOVF010000021.1,72403,95039,19.1485,1,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. HP-A2021,NZ_CP094344.1,1440225,1461827,11.9113,1,1,1,1,0,0,1,1,0,1,0
Streptomyces sp. CoH17,NZ_JAPELJ010000015.1,80255,103116,16.0905,1,1,0,1,1,1,1,1,0,1,1
Streptomyces sp. B146,NZ_CP102359.1,7938107,7961227,15.0366,1,1,1,1,1,1,0,0,0,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000004.1,196071,219193,15.0407,1,1,1,1,1,1,0,0,0,1,1
Streptomyces sp. NPDC000070,NZ_JBEPFN010000004.1,399652,432935,13.9793,1,1,1,1,0,0,1,1,0,1,1
Streptomyces sp. G3,NZ_JAMOZC010000004.1,259351,282307,16.1200,1,0,1,1,1,1,1,1,0,1,1
Streptomyces sp. G3,JAMOZC010000004.1,259351,282307,16.1208,1,0,1,1,1,1,1,1,0,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000012.1,359551,382490,22.2715,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,224639,247570,13.9877,1,0,0,1,0,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,224639,247570,17.0875,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,7932359,7955317,19.1814,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,CP074111.1,7932359,7955317,19.1771,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,187482,210421,19.1861,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000010.1,2160,25207,19.1725,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,JADWMQ010000010.1,2160,25207,19.1734,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000009.1,106702,129642,17.0871,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000013.1,31460,54435,19.1814,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,JAOVZD010000013.1,31460,54435,19.1823,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000020.1,98235,121169,19.1869,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000017.1,30886,53840,19.1864,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000004.1,98180,121136,19.1833,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000001.1,176976,199951,19.1823,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000002.1,93183,116123,17.0872,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000003.1,183825,206858,19.1778,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,1862965,1885923,19.1855,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000002.1,625860,648814,19.1864,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000008.1,202319,225264,19.1886,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000005.1,354414,377349,17.0871,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000006.1,250869,273809,17.0861,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000077.1,2032,21605,12.9755,0,0,0,1,0,1,1,1,1,1,1
Streptomyces sp. NBC_01352,NZ_CP108354.1,1738766,1763602,13.9926,1,1,0,1,1,1,0,1,1,1,0
Streptomyces sp. A30,NZ_JAJPWD010000002.1,228941,253841,13.9945,1,1,0,1,1,1,0,1,1,1,0
Streptomyces sp. V4I2,NZ_JAUSZM010000003.1,9279119,9304057,15.0194,1,1,1,1,1,0,0,1,1,1,0
Streptomyces sp. V4I2,JAUSZM010000003.1,9279119,9304057,15.0197,1,1,1,1,1,0,0,1,1,1,0
Streptomyces sp. SID5464,NZ_WWIQ01000054.1,131472,153058,9.8672,1,1,1,1,0,0,0,1,0,1,0
Streptomyces sp. NPDC058676,NZ_JBHXSE010000014.1,32856,57933,20.1305,1,1,1,1,1,1,1,1,1,1,0
