Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39694.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39698.1,CAB39699.1,CAB39700.1,CAB39701.1,CAB39702.1,CAB39703.1,CAB39704.1
Streptomyces anthocyanicus NBC 01668,CP109228.1,7526519,7540294,25.8885,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,7516131,7529888,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,7516131,7529888,25.8979,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000002.1,145917,159674,25.8928,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000002.1,145917,159674,25.8934,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,7516016,7529773,25.8979,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000002.1,71113,84870,25.8928,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,JAATOK010000002.1,71113,84870,22.8812,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000002.1,447839,461596,25.8928,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000002.1,447839,461596,25.8934,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000002.1,65777,79534,25.8928,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000002.1,65777,79534,25.8934,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000002.1,447839,461596,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000002.1,447839,461596,25.8934,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000002.1,447839,461596,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000002.1,447839,461596,25.8934,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,7452976,7466733,22.8812,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,7106838,7120595,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,7517222,7530979,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,7359314,7373071,25.8928,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,7638082,7651857,25.8864,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000065.1,28687,37099,15.5438,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NRRL_B-16638,JARAWB010000065.1,28687,37099,15.5426,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. ME03-5684b,NZ_JARAXO010000002.1,206904,220661,25.8907,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,JARAXO010000002.1,206904,220661,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000116.1,16528,24940,15.5432,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. ME02-6987-2C,JARAXU010000116.1,16528,24940,15.5421,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000011.1,143167,156924,25.8906,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,JARAXV010000011.1,143167,156924,25.8895,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000044.1,16506,30263,25.8925,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,JARAYD010000044.1,16506,30263,25.8914,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000009.1,81632,95389,25.8905,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,JARAYG010000009.1,81632,95389,25.8894,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000057.1,30858,44615,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000057.1,30858,44615,25.8959,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,7516016,7529773,25.8916,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,7516016,7529773,25.8979,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000011.1,117,13874,25.8900,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,JARAXW010000011.1,117,13874,25.8889,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000076.1,319,8731,15.5417,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. WM6391,JXWX01000076.1,319,8731,12.5324,1,1,0,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC018026,NZ_JBIRFY010000001.1,1127589,1141364,25.8807,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000029.1,12797,26563,25.8888,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000024.1,81169,94925,25.8798,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000089.1,273,8694,15.5411,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. 111WW2,MUYY01000089.1,273,8694,15.5429,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. E5N91,NZ_RAIE01000805.1,16511,30277,25.8857,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000004.1,46587,60300,25.8771,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000036.1,28683,42449,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000036.1,28683,42449,22.8781,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,7545038,7558804,25.8879,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,7545038,7558804,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,7542544,7556310,25.8890,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,7542544,7556310,25.8896,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000022.1,30530,44245,25.8761,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000002.1,953991,967706,25.8773,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000008.1,25367,39135,25.8732,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000121.1,8132,21870,25.8786,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000063.1,36557,44985,15.5284,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. AD681,NZ_JAQISL010000003.1,333,8743,15.5292,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. SID5914,WWHW01000017.1,738,9145,15.5330,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC020571,NZ_JBIRUP010000026.1,66729,80484,25.8631,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000024.1,73296,87044,25.8753,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,6695826,6709564,25.8783,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,CP026730.1,6695826,6709564,25.8845,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000021.1,14902,28676,25.8645,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,JAGPYB010000021.1,14902,28676,22.8549,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000020.1,123683,137457,25.8645,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,JAGPYE010000020.1,123683,137457,22.8549,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000002.1,685842,699581,25.8696,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000064.1,213,8641,15.5275,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. MH60,MULI01000064.1,213,8641,15.5282,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,6805045,6818819,25.8637,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RS2,JAPCIE010000001.1,6805045,6818819,25.8626,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000001.1,464659,478398,25.8632,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000008.1,161949,175693,25.8684,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000005.1,149248,162964,22.8252,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,1127399,1141195,25.8653,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,1127399,1141195,25.8718,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000009.1,280693,294466,25.8557,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,1215231,1228972,25.8615,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,1215231,1228972,25.8658,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000007.1,26623,40404,25.8649,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001469.1,95158,108959,22.8563,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID5477,WWIG01000785.1,7125,20926,25.8695,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000005.1,150080,163824,25.8658,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000002.1,180432,194176,25.8688,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000025.1,231,8652,15.5292,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. H23,NZ_SOPG01000008.1,6991,20730,25.8653,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000191.1,16463,24864,15.5273,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. CS159,NZ_KZ195577.1,853785,867585,25.8664,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,853785,867585,25.8708,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000043.1,357,8760,15.5281,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,1045659,1059380,25.8639,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,1045659,1059380,22.8562,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000008.1,3494,17215,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000002.1,523495,537216,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000021.1,23107,36828,25.8653,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000007.1,122172,135903,25.8638,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,JAGPYH010000007.1,122172,135903,22.8551,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. E5N298,NZ_RAIG01000587.1,5325,19056,25.8635,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000335.1,437,8838,15.5264,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. x-45,NZ_JAJPWL010000006.1,71632,85363,25.8664,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000102.1,16530,24925,15.5268,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC021139,NZ_JBFADF010000031.1,73827,87557,25.8627,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000005.1,405670,419400,25.8627,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,776244,790040,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,WHZR01000001.1,776244,790040,22.8576,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000011.1,60067,73792,25.8663,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,1169752,1183491,25.8651,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,CP108643.1,1169752,1183491,25.8640,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PU10,NZ_JAVCPQ010000002.1,631078,644817,25.8659,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PU10,JAVCPQ010000002.1,631078,644817,25.8647,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000039.1,44584,58323,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000036.1,44739,58478,25.8643,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000018.1,32848,46587,25.8659,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000011.1,190791,204530,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,1119171,1132967,25.8633,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,793020,806816,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,WXVT01000001.1,793020,806816,22.8553,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,NZ_MQUH01000026.1,72908,86639,25.8635,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,MQUH01000026.1,72908,86639,22.8548,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000014.1,125336,139067,25.8663,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000023.1,125337,133738,15.5275,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. KPB2,NZ_CP034353.1,1010470,1024209,25.8649,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,CP034353.1,1010470,1024209,25.8709,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,955556,969295,25.8645,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NA03103,CP054920.1,955556,969295,22.8550,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,7079133,7092872,25.8648,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,CP074111.1,7079133,7092872,25.8665,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,1073451,1087210,25.8654,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,1067104,1080863,25.8654,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000148.1,6151,19890,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID10362,JAAGLJ010000148.1,6151,19890,22.8551,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000050.1,17265,31004,25.8659,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,JADWMQ010000050.1,17265,31004,22.8552,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000012.1,195701,209440,25.8662,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. G3,JAMOZC010000012.1,195701,209440,25.8612,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000027.1,28162,41901,25.8652,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000005.1,184825,198564,25.8646,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000003.1,334077,347816,25.8654,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000001.1,355046,368785,25.8648,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000009.1,203826,217565,25.8651,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000017.1,24248,37987,25.8658,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000001.1,355480,369219,25.8660,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000008.1,224381,238120,25.8683,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000001.1,25433,39172,25.8660,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000018.1,23596,37341,25.8674,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000002.1,222568,236313,25.8667,1,1,1,1,1,1,1,1,1,1,1,1,1
