Organism,Scaffold,Start,End,Score,CAA16486.1,CAA16487.1,CAA16488.1,CAA16489.1,CAD55237.1,CAA16173.1,CAA16174.1,CAA16175.1,CAA16176.1,CAA16177.1,CAA16178.1,CAA16179.1,CAA16180.1,CAA16181.1,CAA16182.1,CAA16183.1,CAA16184.1,CAA16185.1,CAA16186.1,CAD55238.1,CAA16434.1,CAA16435.1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,2283801,2315660,41.5042,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,WXVT01000001.1,2283801,2315645,41.4993,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,2246438,2278336,41.5070,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,2246438,2278321,41.5047,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000008.1,153862,185248,44.7289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,CP034353.1,2019969,2051684,41.5798,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,2019969,2051669,41.5774,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NA03103,CP054920.1,1988103,2019768,41.5804,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,1988103,2019684,41.5740,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,2123638,2155155,41.5060,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000003.1,149267,180943,41.5097,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,WHZR01000001.1,1979954,2011793,41.4995,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,1979954,2011724,41.5008,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000001.1,2025,33443,44.6876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000015.1,1919,33702,41.5852,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,2265801,2297411,41.5845,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,2265801,2297396,41.5826,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,2196910,2228540,44.7892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,2196910,2227684,42.7429,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000001.1,1988,33631,41.5741,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000017.1,1984,33257,44.7154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000007.1,99247,130520,44.7145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000043.1,38206,70054,41.5771,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000004.1,184599,216312,41.5013,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000006.1,422595,454267,41.5795,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000015.1,181788,209368,40.5290,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000007.1,2014,33903,41.5753,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000033.1,26202,58074,41.5774,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000007.1,147088,178925,41.5768,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000004.1,182081,213641,44.7888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,JBJPFQ010000004.1,182081,213641,44.7890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. H23,NZ_SOPG01000001.1,147760,179445,41.5775,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000035.1,43434,74315,44.5405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000037.1,43696,74577,44.5405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000001.1,147998,179682,41.5728,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000016.1,28224,59797,41.5804,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000065.1,1930,33518,41.5059,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000014.1,81047,112620,41.5832,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000001.1,445254,476842,41.5810,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000042.1,43953,75542,41.5796,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000017.1,154,31713,41.5259,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,2028379,2059557,44.7099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,2175609,2207509,41.5711,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,2023944,2055134,44.7092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PU10,NZ_JAVCPQ010000001.1,6003967,6035886,41.5555,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000005.1,2082,33843,41.5701,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000037.1,59382,86921,40.5314,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000001.1,1929,29503,40.5275,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000006.1,139230,170422,44.7106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,147693,178885,44.7088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000003.1,147563,179609,41.5726,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000005.1,497751,528943,44.7097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000001.1,1451074,1482569,41.5652,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000013.1,1981,33773,41.5759,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000076.1,3063,30632,40.5298,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000001.1,120571,152580,41.5738,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000033.1,7187,39167,41.5692,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000009.1,186995,218616,41.5674,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000013.1,53948,85339,41.6395,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00878,JAPEOK010000002.1,485639,517687,42.1015,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00878,NZ_JAPEOK010000002.1,485720,517687,42.0996,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK9,NZ_CP173703.1,1439701,1470413,33.9368,1,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC017941,NZ_JBIRHI010000001.1,515828,547490,30.8899,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. AN091965,NZ_JALDMY010000001.1,7937211,7967300,33.9595,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC050147,NZ_JBFALJ010000029.1,5549,36496,33.9733,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC047071,NZ_JBEYVD010000032.1,57022,87472,33.9589,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. SCA2-17,NZ_CP117521.1,5571990,5602110,39.1029,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. SCA2-17,CP117521.1,5571990,5602053,39.1013,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. So13.3,NZ_CP048835.1,1863710,1896768,32.9955,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. So13.3,CP048835.1,1863710,1896663,32.9953,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. MH191,NZ_CP150879.1,2422118,2453977,38.9860,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. ME12-02E,NZ_JARAXK010000014.1,55751,87743,38.9746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. ME12-02E,JARAXK010000014.1,55751,87743,38.9752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. ME02-6978a,NZ_JARAYB010000014.1,60069,92061,38.9746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. ME02-6978a,JARAYB010000014.1,60069,92061,38.9752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. ME02-6978.2a,NZ_JARAYC010000028.1,46835,78748,38.9854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. ME02-6978.2a,JARAYC010000028.1,46835,78748,38.9859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. STD57,NZ_JBFMIE010000005.1,185063,214678,39.1036,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NRRL B-1677,NZ_WPBY01000001.1,139769,169377,39.1045,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NRRL B-1677,WPBY01000001.1,139769,169320,39.1034,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. SID13588,NZ_JAAGLW010000029.1,12420,45479,32.9952,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. SID13588,JAAGLW010000029.1,12525,45479,32.9951,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. SID13666,NZ_JAAGLX010000020.1,40707,73766,32.9955,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. SID13666,JAAGLX010000020.1,40812,73766,32.9954,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. YIM 121038,NZ_CP030771.1,7868319,7898616,33.9608,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. YIM 121038,CP030771.1,7868319,7898616,33.9601,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. VNUA116,NZ_CP130487.1,6578542,6608188,39.1089,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. MNP-20,NZ_JAATOJ010000005.1,14626,44799,33.9623,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC127108,NZ_JBHXTE010000028.1,88663,118560,30.9484,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC057199,NZ_JBHUWI010000017.1,11161,42813,42.0829,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CC224B,NZ_JASCXL010000082.1,0,30128,31.9009,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. 891-h,CP050693.1,6841570,6871755,39.1126,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. 891-h,NZ_CP050693.1,6841594,6871755,39.1115,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. CNQ-617,KF711829.1,0,29955,39.1143,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC008001,NZ_JBIBIZ010000007.1,27640,57151,39.0994,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. B15,NZ_JAGPXJ010000071.1,19180,40690,24.8400,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. RK75,NZ_JAGPYF010000010.1,140438,170318,39.1130,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. RK75,JAGPYF010000010.1,140438,170318,39.1136,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. A73,JAGPXI010000032.1,19684,47843,37.0613,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC101225,NZ_JBIWOE010000008.1,33000,64714,37.9653,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101225,JBIWOE010000008.1,33000,64714,38.9753,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087844,NZ_JBIUVD010000014.1,35850,67811,42.0639,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017940,NZ_JBIRHJ010000002.1,631596,663248,33.9382,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NBC_00996,CP108723.1,9484883,9516673,42.0696,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00996,NZ_CP108723.1,9484934,9516673,41.0590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. TG1A-60,NZ_CP147520.1,2592378,2624038,41.0810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. TG1A-60,CP147520.1,2592378,2624038,42.0907,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC013178,NZ_JBEYDI010000002.1,252780,282275,33.9770,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC047070,NZ_JBEYVE010000004.1,17553,49359,39.0628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL B-1347,NZ_JOJM01000031.1,0,22019,29.7392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. NBC_00670,NZ_CP109017.1,5006884,5037401,39.0058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC057620,NZ_JBHVGX010000001.1,241594,273534,39.0613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC 01438,NZ_CP029601.1,3637437,3667687,38.0632,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. WAC 01420,NZ_QHHY01000027.1,21879,52129,38.0636,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC057621,NZ_JBHVGY010000023.1,4406,36375,39.0583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC053499,NZ_JBITXQ010000002.1,99966,130127,39.1096,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC019531,NZ_JBJDQL010000056.1,0,18770,17.6439,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059063,NZ_JBHYHN010000037.1,1286,33810,33.9085,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC059003,NZ_JBHYJH010000058.1,1304,33828,33.9132,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. MCC20,NZ_JBJWOT010000001.1,6725885,6757687,42.0619,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MCC57,NZ_JBJWOU010000003.1,1011330,1043132,42.0619,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058697,NZ_JBHXSU010000002.1,463522,495069,42.0807,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. JV178,PEKU01000006.1,474734,504501,39.0800,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. JV178,NZ_PEKU01000006.1,474824,504501,39.0782,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC058694,NZ_JBHXSR010000058.1,160,31695,42.0828,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC495_CC817,NZ_JAGPOR010000243.1,72993,102894,39.0770,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NBC_01283,NZ_CP108430.1,1062611,1092907,44.1925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017991,NZ_JBIRGP010000012.1,167190,199366,42.0596,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AA1529,NZ_ALAP01000103.1,59153,88973,39.0890,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC060205,NZ_JBHWZP010000025.1,18307,50347,39.0545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
