Organism,Scaffold,Start,End,Score,CAB41566.1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000011.1,134256,136458,1.1411,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000009.1,342811,345010,1.1410,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000008.1,75287,77489,1.1410,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,2084807,2087009,1.1410,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000011.1,103624,105826,1.1410,1
Streptomyces sp. MS2A,JAQIOU010000006.1,153524,155726,1.1410,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000003.1,16512,18753,1.1409,1
Streptomyces sp. ICN988,NZ_JAOVZD010000107.1,2488,4690,1.1409,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000003.1,536709,538920,1.1408,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000053.1,21865,24067,1.1408,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000001.1,201061,203263,1.1408,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000002.1,252412,254614,1.1408,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000012.1,103909,106111,1.1407,1
Streptomyces sp. H23,NZ_SOPG01000001.1,415995,418197,1.1407,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000005.1,269076,271278,1.1407,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000008.1,54154,56356,1.1406,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,459486,461688,1.1406,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000035.1,1221,3426,1.1406,1
Streptomyces sp. NA03103,NZ_CP054920.1,1750718,1752920,1.1406,1
Streptomyces sp. R1,NZ_JAJIBA010000005.1,242939,245141,1.1406,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000012.1,78625,80827,1.1405,1
Streptomyces sp. KPB2,NZ_CP034353.1,1781634,1783836,1.1405,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,1936870,1939072,1.1405,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000126.1,17729,19931,1.1405,1
Streptomyces sp. PU10,NZ_JAVCPQ010000001.1,6272405,6274607,1.1405,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000027.1,75184,77386,1.1405,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000043.1,12394,14596,1.1405,1
Streptomyces sp. CoH17,NZ_JAPELJ010000016.1,56150,58352,1.1405,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000022.1,98223,100425,1.1405,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000032.1,32371,34573,1.1405,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000006.1,1858,4060,1.1405,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000131.1,70681,72883,1.1405,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000004.1,380968,383170,1.1405,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000204.1,10168,12370,1.1404,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000009.1,170584,172786,1.1404,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000003.1,436142,438344,1.1402,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000020.1,53966,56438,1.1401,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000008.1,121430,123632,1.1400,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000034.1,24436,26653,1.1387,1
Streptomyces sp. NPDC044948,NZ_JBEZBI010000016.1,11702,13919,1.1387,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,6105241,6107458,1.1385,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000058.1,5535,7734,1.1385,1
Streptomyces sp. BK208,NZ_SOAV01000003.1,274670,276887,1.1381,1
Streptomyces sp. BRB040,NZ_CP155141.1,1846308,1848507,1.1380,1
Streptomyces sp. A144,NZ_CP083267.2,6125851,6128032,1.1380,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000008.1,177797,179978,1.1380,1
Streptomyces sp. VITNK9,NZ_JACWAA010000001.1,1676049,1678230,1.1380,1
Streptomyces sp. WAC05458,NZ_RPRU01000018.1,136338,138519,1.1380,1
Streptomyces sp. WAC08401,NZ_RPRV01000011.1,154391,156572,1.1380,1
Streptomyces sp. WAC08452,NZ_RPRW01000001.1,447312,449493,1.1380,1
Streptomyces sp. WAC06273,NZ_RPSD01000007.1,336483,338664,1.1380,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000088.1,183,2376,1.1380,1
Streptomyces sp. NRRL WC-3753,LGKF01001513.1,423044,425255,1.1380,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,6272340,6274521,1.1380,1
Streptomyces sp. CS207,NZ_KZ819185.1,740569,742750,1.1380,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000025.1,29001,31194,1.1379,1
Streptomyces sp. CS159,NZ_KZ195577.1,1806878,1809089,1.1379,1
Streptomyces sp. RT42,NZ_JAGPYJ010000028.1,19841,22022,1.1379,1
Streptomyces sp. DH1,NZ_JAHWGV010000010.1,92872,95053,1.1379,1
Streptomyces sp. WAC04189,NZ_RPRT01000008.1,23028,25209,1.1379,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,2034014,2036225,1.1379,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,6043220,6045401,1.1379,1
Streptomyces sp. MBT28,NZ_LARV01000392.1,4498,6679,1.1379,1
Streptomyces sp. CC71,NZ_LOSR01000121.1,4708,6889,1.1379,1
Streptomyces sp. CRB46,NZ_JACTMC010000301.1,1974,4155,1.1378,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,6131196,6133377,1.1378,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,6131905,6134086,1.1378,1
Streptomyces sp. RM99,NZ_JAGPYI010000006.1,346649,348830,1.1378,1
Streptomyces sp. CC302I,NZ_JBHOFE010000006.1,112880,115061,1.1378,1
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000045.1,10341,12522,1.1378,1
Streptomyces sp. WAC06128,NZ_RPSC01000002.1,318057,320238,1.1378,1
Streptomyces sp. Tu 4128,NZ_QTSY01000069.1,130454,132647,1.1378,1
Streptomyces sp. TOR3209,NZ_AGNH01000165.1,12637,14818,1.1377,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000005.1,317736,319917,1.1377,1
Streptomyces sp. AN-3,NZ_JASBOE010000005.1,220106,222287,1.1377,1
Streptomyces sp. SS52,NZ_CP039123.1,6123954,6126135,1.1377,1
Streptomyces sp. E2N166,NZ_RAIF01000032.1,315365,317549,1.1375,1
Streptomyces sp. AC627_RSS907,NZ_JAGMUE010000170.1,1896,4104,1.1375,1
Streptomyces sp. NPDC045251,NZ_JBEZAS010000010.1,210431,212612,1.1374,1
Streptomyces sp. NPDC029519,NZ_JBEZWF010000001.1,4814,6995,1.1374,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000001.1,362913,365130,1.1374,1
Streptomyces sp. BBFR51,NZ_CP172448.1,6723991,6726190,1.1374,1
Streptomyces sp. SID5910,NZ_WWHX01000719.1,845,3029,1.1373,1
Streptomyces sp. 067-1,NZ_JAJPWA010000003.1,613858,616081,1.1372,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000016.1,39451,41635,1.1371,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000002.1,398499,400716,1.1371,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000032.1,71469,73668,1.1371,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000003.1,355396,357595,1.1371,1
Streptomyces sp. NPDC000351,NZ_JBEPDW010000007.1,145047,147231,1.1370,1
Streptomyces sp. RM72,NZ_JAGPYH010000005.1,199368,201567,1.1369,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000004.1,45780,47964,1.1368,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000017.1,121015,123199,1.1368,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000007.1,112959,115143,1.1368,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000008.1,215081,217265,1.1368,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000040.1,22339,24523,1.1367,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000001.1,230969,233153,1.1367,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000003.1,451335,453519,1.1367,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000004.1,451333,453517,1.1367,1
Streptomyces sp. BK79,NZ_JBHVOC010000032.1,35764,37945,1.1367,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000005.1,149457,151680,1.1367,1
Streptomyces sp. BBFR25,NZ_CP172447.1,6569961,6572160,1.1367,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,1988854,1991077,1.1367,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000017.1,129231,131424,1.1367,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000004.1,232188,234381,1.1367,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000004.1,230630,232823,1.1367,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,1623341,1625564,1.1367,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000001.1,794418,796635,1.1367,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000008.1,149254,151471,1.1367,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000002.1,33243,35466,1.1366,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000011.1,207310,209503,1.1366,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000012.1,133541,135734,1.1366,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000017.1,155,2348,1.1366,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000037.1,68238,70431,1.1366,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000011.1,207310,209503,1.1366,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000008.1,68303,70496,1.1366,1
Streptomyces sp. DH41,NZ_JARVKY010000020.1,33565,35749,1.1366,1
Streptomyces sp. 4F,NACY01000622.1,228,2409,1.1366,1
Streptomyces sp. 4F,CP013142.1,6264216,6266373,1.1301,1
Streptomyces sp. Alain-F2R5,NQOS01000027.1,48817,50998,1.1366,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000003.1,684482,686675,1.1365,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000055.1,77499,79698,1.1365,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000018.1,46914,49095,1.1365,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000015.1,121128,123309,1.1365,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,1701601,1703782,1.1365,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,1797983,1800167,1.1365,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000003.1,306829,309016,1.1365,1
Streptomyces sp. 049-1,NZ_JAJPVW010000006.1,65319,67512,1.1365,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000007.1,244756,246949,1.1365,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000008.1,209140,211333,1.1365,1
Streptomyces sp. SID5789,NZ_WWHZ01000604.1,3213,5400,1.1365,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000002.1,262967,265160,1.1365,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000012.1,208714,210907,1.1365,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000034.1,66274,68467,1.1364,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000054.1,29009,31232,1.1364,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000118.1,1694,3878,1.1364,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000010.1,293763,295947,1.1364,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000039.1,14951,17135,1.1363,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000009.1,51134,53318,1.1363,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000050.1,50967,53151,1.1363,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000014.1,122588,124781,1.1363,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000008.1,58398,60591,1.1363,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000004.1,53019,55212,1.1363,1
Streptomyces sp. DH17,JARVKX010000012.1,139936,142117,1.1362,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000003.1,316939,319123,1.1362,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000003.1,317193,319377,1.1362,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000003.1,196220,198404,1.1362,1
Streptomyces sp. WAC02707,NZ_RPSB01000034.1,73679,75860,1.1360,1
Streptomyces sp. ARC32,CP096673.1,1674146,1676633,1.1360,1
Streptomyces sp. CL12-4,NZ_JAFETE010000001.1,1112529,1114713,1.1359,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000004.1,270147,272328,1.1358,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000003.1,269985,272166,1.1358,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000111.1,3906,6111,1.1358,1
Streptomyces sp. M1013,NZ_MQUH01000022.1,124165,126364,1.1358,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000043.1,30690,32874,1.1358,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000015.1,125783,127967,1.1357,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000031.1,23776,25957,1.1357,1
Streptomyces sp. VNUA74,NZ_CP133215.1,5718319,5720518,1.1356,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,1996911,1999110,1.1355,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000012.1,38055,40248,1.1354,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000005.1,334870,337054,1.1354,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000039.1,22935,25128,1.1354,1
Streptomyces sp. STD 3.1,JAKFGY010000017.1,92798,94991,1.1354,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000012.1,93230,95438,1.1354,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000025.1,28937,31130,1.1353,1
Streptomyces sp. M92,NZ_CP101137.1,4023378,4025559,1.1353,1
Streptomyces sp. NPDC057367,NZ_JBHVAT010000020.1,74981,77162,1.1353,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,6101940,6104133,1.1353,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000011.1,250609,252802,1.1353,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000002.1,359901,362094,1.1353,1
Streptomyces sp. LKA04,NZ_JBLUUE010000028.1,37178,39377,1.1353,1
Streptomyces sp. SID5606,NZ_WWIE01000303.1,326,2525,1.1352,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000070.1,25247,27428,1.1352,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000094.1,4849,7030,1.1352,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000004.1,141623,143804,1.1352,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000006.1,314460,316668,1.1352,1
Streptomyces sp. SCL15-6,NZ_JAOBTR010000001.1,3025131,3027348,1.1352,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000010.1,337478,339662,1.1352,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000011.1,31128,33312,1.1352,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,6531835,6534028,1.1351,1
Streptomyces sp. A108,NZ_JACBYP010000033.1,62069,64277,1.1351,1
Streptomyces sp. NPDC053750,NZ_JBITXB010000003.1,433303,435490,1.1351,1
Streptomyces sp. CB02414,NZ_LIPF01000013.1,47533,49714,1.1350,1
Streptomyces sp. HO565,NZ_BPRK01000017.1,72482,74699,1.1350,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000009.1,210151,212344,1.1350,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000003.1,113093,115304,1.1347,1
Streptomyces sp. B146,NZ_CP102359.1,6408327,6410538,1.1347,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000004.1,40756,42937,1.1347,1
Streptomyces sp. JHA26,NZ_BDJC01000013.1,61302,63486,1.1347,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000003.1,284290,286501,1.1346,1
Streptomyces sp. FXJ7.023,NZ_APIV01000003.1,176099,178310,1.1346,1
Streptomyces sp. VN1,NZ_CP036534.1,6402351,6404562,1.1346,1
Streptomyces sp. NBUA17,NZ_CP172414.1,6474247,6476458,1.1345,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000193.1,3039,5250,1.1345,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000022.1,53696,55877,1.1345,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000008.1,53618,55799,1.1345,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000009.1,111693,113874,1.1345,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000006.1,4762,6943,1.1345,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000001.1,425928,428109,1.1345,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000003.1,156431,158612,1.1345,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000017.1,53714,55895,1.1345,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000005.1,212022,214203,1.1345,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000006.1,121915,124096,1.1345,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000017.1,51421,53602,1.1345,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000009.1,83380,85561,1.1345,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000001.1,19460,21653,1.1345,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000011.1,192063,194256,1.1345,1
Streptomyces sp. CB09030,NZ_CP094676.1,2488756,2490967,1.1344,1
Streptomyces sp. WAC 04229,NZ_QHJH01000309.1,334,2527,1.1344,1
Streptomyces sp. NPDC032940,NZ_JBEZVJ010000012.1,123188,125396,1.1343,1
Streptomyces sp. NRRL S-37,NZ_JOIZ01000008.1,87627,89784,1.1343,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000030.1,64683,66864,1.1342,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000043.1,4844,7025,1.1342,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000020.1,51700,53893,1.1341,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000003.1,120109,122302,1.1341,1
Streptomyces sp. NPDC052309,NZ_JBFAUL010000004.1,276734,278915,1.1340,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000033.1,29372,31553,1.1340,1
Streptomyces sp. NPDC006367,NZ_JBEXQL010000004.1,107724,109908,1.1336,1
Streptomyces sp. NPDC006384,NZ_JBIAHR010000007.1,116699,118883,1.1336,1
Streptomyces sp. NPDC057238,NZ_JBHUXI010000001.1,653483,655643,1.1335,1
Streptomyces sp. NPDC047725,NZ_JBIDCV010000008.1,173710,175927,1.1334,1
Streptomyces sp. NPDC057239,NZ_JBHUXJ010000115.1,23614,25774,1.1333,1
Streptomyces sp. CB02400,NZ_LIWB01000001.1,580882,583042,1.1333,1
Streptomyces sp. NPDC020731,NZ_JBIRTN010000017.1,150245,152402,1.1333,1
Streptomyces sp. NPDC018955,NZ_JBIRZC010000005.1,155425,157585,1.1331,1
Streptomyces sp. NPDC051740,NZ_JBITCL010000004.1,343229,345389,1.1331,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000021.1,40307,42488,1.1331,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000001.1,128028,130209,1.1331,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000012.1,78269,80450,1.1331,1
Streptomyces sp. NPDC093586,NZ_JBIWJA010000022.1,125824,128008,1.1331,1
Streptomyces sp. NPDC057236,NZ_JBHUXH010000008.1,282652,284812,1.1330,1
Streptomyces sp. PU_AKi4,NZ_JASKHN010000415.1,81,2241,1.1329,1
Streptomyces sp. NPDC000931,NZ_JBEPBT010000011.1,75940,78100,1.1329,1
Streptomyces sp. NPDC014676,NZ_JBIBZI010000003.1,328789,330949,1.1329,1
Streptomyces sp. NPDC052492,NZ_JBIUAO010000012.1,233128,235285,1.1329,1
Streptomyces sp. AC558_RSS880,NZ_JAGMUJ010000133.1,40857,43017,1.1329,1
