Organism,Scaffold,Start,End,Score,CAB87217.1,CAB87218.1,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000038.1,8743,16073,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000028.1,15635,22965,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000005.1,15586,22916,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000015.1,15450,22780,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000002.1,254030,261360,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000022.1,15654,22981,11.4635,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000002.1,190200,197530,11.4648,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000001.1,195415,202745,11.4646,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000002.1,609580,616898,11.4626,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000001.1,1215556,1222883,11.4637,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000001.1,15483,22810,11.4634,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,3217098,3224425,11.4637,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000002.1,265522,272849,11.4638,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000002.1,265522,272849,11.4636,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,5346571,5353898,11.4633,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,5346571,5353898,11.4631,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,5577910,5585240,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,5577910,5585240,11.4640,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000006.1,181542,188869,11.4627,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,JAPFQR010000006.1,181542,188869,11.4625,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000003.1,15488,22815,11.4626,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000002.1,216974,224302,11.4642,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000009.1,51231,58558,11.4632,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000001.1,260868,268195,11.4628,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000001.1,185652,192979,11.4625,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000003.1,583296,590623,11.4625,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000001.1,312949,320276,11.4629,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000002.1,531146,538474,11.4634,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000001.1,592450,599777,11.4628,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000007.1,110004,117331,11.4632,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000007.1,110004,117331,11.4631,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,3053191,3060521,11.4647,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,3053191,3060521,11.4646,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,5588432,5595759,11.4632,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,5588432,5595759,11.4631,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000002.1,261250,268577,11.4627,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000006.1,189866,197197,11.4628,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,3245282,3252609,11.4636,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,5295106,5302433,11.4634,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,5295106,5302433,11.4636,1,1,1,1,1,1
Streptomyces lividans TK24,GG657756.1,5267727,5275054,11.4636,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,3024798,3032125,11.4634,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,5330734,5338061,11.4636,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,5310597,5317924,11.4636,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,3033361,3040689,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,3033361,3040689,11.4665,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000010.1,256083,263411,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000010.1,256083,263411,11.4664,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,3033354,3040682,11.4665,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL939114.1,181,6232,9.3967,0,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,5427259,5434586,11.4631,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000014.1,99764,107091,11.4628,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000022.1,37614,44941,11.4628,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000013.1,25185,32513,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000009.1,256083,263411,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000009.1,256083,263411,11.4664,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000010.1,25154,32482,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000010.1,25154,32482,11.4664,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000016.1,186002,193330,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000016.1,186002,193330,11.4664,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000015.1,185999,193327,11.4663,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000015.1,185999,193327,11.4664,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,3190560,3197887,11.4630,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,3005175,3012503,11.4663,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,2624287,2631615,11.4663,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,3033398,3040726,11.4663,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,3033411,3040739,11.4663,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000002.1,98394,105727,11.4631,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000002.1,98394,105727,11.4630,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000012.1,185947,193275,11.4663,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000031.1,45832,53159,11.4634,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,3033354,3040682,11.4663,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,3033354,3040682,11.4665,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000007.1,75741,83068,11.4629,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,JARAXW010000007.1,75741,83068,11.4627,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,3228191,3235518,11.4630,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,3228191,3235518,11.4632,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,3225753,3233080,11.4632,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000006.1,99634,106961,11.4632,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,JARAXO010000006.1,99634,106961,11.4631,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000017.1,73225,80555,11.4639,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000017.1,73225,80555,11.4642,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,5375221,5382551,11.4640,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000027.1,99706,107033,11.4628,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000012.1,93033,100361,11.4660,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000008.1,71824,79149,11.4635,1,1,1,1,1,1
Streptomyces sp. 111WW2,MUYY01000008.1,71824,79149,11.4636,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000015.1,157767,164931,11.4400,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000002.1,319949,327282,8.3975,1,0,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000019.1,83270,90592,8.3985,1,0,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000002.1,250265,257436,11.4481,1,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000001.1,273939,281027,8.4004,1,1,1,1,0,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000001.1,313969,321109,11.4405,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000003.1,21313,28453,11.4405,1,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000001.1,284079,291170,8.4009,1,1,1,1,0,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000005.1,228967,236102,11.4456,1,1,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000226.1,6214,13363,11.4461,1,1,1,1,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000014.1,121370,128461,8.4013,1,1,1,1,0,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000002.1,139043,146134,8.4013,1,1,1,1,0,1
Streptomyces sp. BK208,NZ_SOAV01000002.1,284169,291337,11.4289,1,1,1,1,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000002.1,271603,278690,8.4002,1,1,1,1,0,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,2046427,2053595,11.4463,1,1,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,2375500,2382642,11.4373,1,1,1,1,1,1
Streptomyces sp. CB09001,CP026730.1,2375500,2382642,11.4375,1,1,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000013.1,207829,214985,11.4465,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000012.1,184982,192138,11.4434,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000004.1,184989,192145,11.4434,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01000668.1,115006,122120,11.4326,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000012.1,218945,226140,11.4434,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,5514882,5522054,11.4473,1,1,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,5514882,5522054,11.4475,1,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000066.1,31867,39024,11.4382,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000001.1,340666,347768,8.4000,1,1,1,1,0,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000001.1,633508,640610,8.3991,1,1,1,1,0,1
Streptomyces sp. H23,NZ_SOPG01000004.1,207631,214733,8.4001,1,1,1,1,0,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000030.1,66179,73325,11.4359,1,1,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000003.1,197632,204771,11.4383,1,1,1,1,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000007.1,57914,65016,8.3997,1,1,1,1,0,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000003.1,302216,309392,11.4282,1,1,1,1,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000005.1,116,7292,11.4283,1,1,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000003.1,266304,273488,11.4287,1,1,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000001.1,255542,262715,11.4286,1,1,1,1,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000002.1,266221,273405,11.4287,1,1,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000008.1,68416,75518,8.4016,1,1,1,1,0,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000008.1,110915,118019,8.4022,1,1,1,1,0,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000011.1,110915,118019,8.4022,1,1,1,1,0,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000001.1,266575,273725,11.4307,1,1,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000003.1,578401,585549,11.4302,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,2879006,2886108,8.4025,1,1,1,1,0,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,5302528,5309630,8.4021,1,1,1,1,0,1
Streptomyces sp. ICN988,NZ_JAOVZD010000193.1,7436,14538,8.4027,1,1,1,1,0,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000011.1,93440,100541,8.4015,1,1,1,1,0,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000010.1,112183,119286,8.4012,1,1,1,1,0,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000008.1,58013,65115,8.3989,1,1,1,1,0,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000003.1,267667,274769,8.4024,1,1,1,1,0,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000007.1,318918,326020,8.3989,1,1,1,1,0,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000003.1,288703,295805,8.4018,1,1,1,1,0,1
Streptomyces sp. 067-1,NZ_JAJPWA010000001.1,200359,207478,11.4320,1,1,1,1,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,5228871,5235973,8.3989,1,1,1,1,0,1
Streptomyces sp. KPB2,CP034353.1,5228871,5235973,8.3991,1,1,1,1,0,1
Streptomyces sp. NA03103,NZ_CP054920.1,5196162,5203264,8.3991,1,1,1,1,0,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,5458362,5465464,8.3991,1,1,1,1,0,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000061.1,7490,14592,8.3989,1,1,1,1,0,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000001.1,179669,186771,8.3993,1,1,1,1,0,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000023.1,71158,78260,8.3992,1,1,1,1,0,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000039.1,7854,14956,8.3995,1,1,1,1,0,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000035.1,7635,14737,8.3992,1,1,1,1,0,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000008.1,346086,353228,11.4364,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000001.1,107871,115016,11.4370,1,1,1,1,1,1
Streptomyces sp. SID6013,WWHS01001600.1,2502,9644,11.4368,1,1,1,1,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000002.1,648603,655707,8.4006,1,1,1,1,0,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000009.1,15103,22207,8.4005,1,1,1,1,0,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000001.1,265722,272818,11.4393,1,1,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000001.1,615689,622791,8.4020,1,1,1,1,0,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000003.1,648015,655118,8.4023,1,1,1,1,0,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000006.1,79451,86554,8.4011,1,1,1,1,0,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000002.1,636895,643997,8.3998,1,1,1,1,0,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000116.1,14338,21441,8.4024,1,1,1,1,0,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,5220284,5227386,8.4016,1,1,1,1,0,1
Streptomyces sp. SID5477,WWIG01001587.1,5673,12790,11.4328,1,1,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,5230738,5237855,11.4321,1,1,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,5530753,5537870,11.4325,1,1,1,1,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000006.1,246073,253209,11.4321,1,1,1,1,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000004.1,219112,226214,8.4010,1,1,1,1,0,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,5582728,5589845,11.4342,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,5582728,5589845,11.4342,1,1,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000001.1,1097628,1104782,11.4388,1,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000002.1,503453,510583,11.4370,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000014.1,77342,84496,11.4365,1,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000001.1,207827,214957,11.4370,1,1,1,1,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000004.1,94140,101294,11.4366,1,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,5247482,5254599,11.4322,1,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,3168648,3175720,8.4025,1,1,1,1,0,1
Streptomyces sp. RM72,NZ_JAGPYH010000012.1,80586,87657,8.4025,1,1,1,1,0,1
Streptomyces sp. E5N298,NZ_RAIG01000497.1,6415,13487,8.4025,1,1,1,1,0,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000002.1,690807,697958,11.4307,1,1,1,1,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000015.1,45299,52371,8.3994,1,1,1,1,0,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000001.1,599870,606942,8.3994,1,1,1,1,0,1
Streptomyces sp. M1013,NZ_MQUH01000008.1,342048,349120,8.4022,1,1,1,1,0,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000007.1,360500,367625,11.4322,1,1,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000059.1,20332,27454,11.4361,1,1,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000003.1,252795,259953,11.4349,1,1,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000002.1,263146,270249,11.4255,1,1,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000002.1,262179,269281,11.4260,1,1,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000013.1,143814,150916,11.4260,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000116.1,26123,33225,11.4263,1,1,1,1,1,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000041.1,9567,16713,11.4165,1,1,1,1,1,1
Streptomyces sp. STD 3.1,JAKFGY010000029.1,54247,61393,11.4176,1,1,1,1,1,1
Streptomyces sp. AC627_RSS907,NZ_JAGMUE010000111.1,42894,50038,8.3870,1,1,1,1,0,1
Streptomyces sp. MH60,NZ_MULI01000013.1,69535,76659,11.4265,1,1,1,1,1,1
Streptomyces sp. MH60,MULI01000013.1,69535,76659,11.4257,1,1,1,1,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000005.1,118311,125447,11.4148,1,1,1,1,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000008.1,118514,125650,11.4148,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,5600774,5607912,8.3827,1,0,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,5600774,5607912,8.3833,1,0,1,1,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000015.1,65538,72685,11.4247,1,1,1,1,1,1
Streptomyces sp. WAC08401,RPRV01000015.1,65538,72685,11.4249,1,1,1,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000004.1,239468,246604,11.4159,1,1,1,1,1,1
Streptomyces sp. NPDC059701,NZ_JBHWFL010000035.1,31708,38881,8.3202,1,1,0,1,1,1
Streptomyces sp. NPDC127100,NZ_JBHXFL010000002.1,212844,220017,8.3200,1,1,0,1,1,1
Streptomyces sp. TOR3209,NZ_AGNH01000122.1,24583,31736,11.4236,1,1,1,1,1,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,2950608,2957755,11.4240,1,1,1,1,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000002.1,258455,265602,11.4241,1,1,1,1,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000003.1,487931,495078,11.4248,1,1,1,1,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000006.1,46776,53923,11.4247,1,1,1,1,1,1
Streptomyces sp. WAC08452,RPRW01000006.1,46776,53923,11.4249,1,1,1,1,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000038.1,10898,18045,11.4244,1,1,1,1,1,1
Streptomyces sp. WAC02707,RPSB01000038.1,10898,18045,11.4244,1,1,1,1,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000006.1,135086,142233,11.4242,1,1,1,1,1,1
Streptomyces sp. WAC06128,RPSC01000006.1,135086,142233,11.4244,1,1,1,1,1,1
Streptomyces sp. WAC06273,NZ_RPSD01000001.1,1055226,1062373,11.4241,1,1,1,1,1,1
Streptomyces sp. WAC06273,RPSD01000001.1,1055226,1062373,11.4243,1,1,1,1,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000001.1,271987,279123,11.4145,1,1,1,1,1,1
Streptomyces sp. SID5789,NZ_WWHZ01000616.1,38,7174,11.4145,1,1,1,1,1,1
Streptomyces sp. SID5789,WWHZ01000616.1,38,7174,11.4146,1,1,1,1,1,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000009.1,167466,174602,11.4149,1,1,1,1,1,1
Streptomyces sp. SS52,NZ_CP039123.1,2994162,3001309,11.4237,1,1,1,1,1,1
Streptomyces sp. SS52,CP039123.1,2994162,3001309,11.4238,1,1,1,1,1,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000003.1,243133,250280,11.4240,1,1,1,1,1,1
Streptomyces sp. AN-3,NZ_JASBOE010000001.1,1083984,1091128,11.4239,1,1,1,1,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000028.1,4831,11978,11.4238,1,1,1,1,1,1
Streptomyces sp. CS207,NZ_KZ819184.1,1451844,1458991,11.4241,1,1,1,1,1,1
Streptomyces sp. CS207,KZ819184.1,1451844,1458991,11.4243,1,1,1,1,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000016.1,107296,114443,11.4240,1,1,1,1,1,1
Streptomyces sp. WAC05458,RPRU01000016.1,107296,114443,11.4241,1,1,1,1,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000002.1,65612,72759,11.4242,1,1,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,3153328,3160455,11.4212,1,1,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,3026384,3033531,11.4242,1,1,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,3026588,3033735,11.4242,1,1,1,1,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,3073005,3080152,11.4237,1,1,1,1,1,1
Streptomyces sp. SGAir0924,CP027297.1,3073005,3080152,11.4238,1,1,1,1,1,1
Streptomyces sp. A144,NZ_CP083267.2,3018708,3025855,11.4233,1,1,1,1,1,1
Streptomyces sp. NPDC053750,NZ_JBITXB010000001.1,288772,297208,8.3901,1,1,1,1,0,1
Streptomyces sp. CRB46,NZ_JACTMC010000009.1,14769,21913,11.4234,1,1,1,1,1,1
Streptomyces sp. MBT28,NZ_LARV01000130.1,18179,25326,11.4241,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000001.1,75715,82862,11.4237,1,1,1,1,1,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000001.1,456121,463305,11.4160,1,1,1,1,1,1
Streptomyces sp. WAC04189,NZ_RPRT01000015.1,104868,112015,11.4241,1,1,1,1,1,1
Streptomyces sp. WAC04189,RPRT01000015.1,104868,112015,11.4242,1,1,1,1,1,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000042.1,34732,41887,11.4205,1,1,1,1,1,1
