Organism,Scaffold,Start,End,Score,CAC37459.1,CAC37460.1,CAC37461.1,CAC37462.1,CAD55222.1,CAC44189.1,CAC44190.1,CAC44191.1,CAC44192.1,CAC44193.1,CAC44194.1,CAC44195.1,CAC44196.1,CAC44197.1,CAC44198.1,CAC44199.1,CAC44200.1,CAC44201.1,CAC44202.1,CAC44203.1,CAC44204.1,CAC44205.1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000008.1,46680,67963,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000008.1,46680,67963,44.3437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,5103397,5124680,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,5512125,5533408,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,5590318,5611589,44.3323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000040.1,3414,24697,44.3540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,5513808,5535091,44.3542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,5513808,5535091,44.3545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000003.1,154913,176208,44.3510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000003.1,154913,176208,44.3426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000040.1,506,21826,44.3508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,2966088,2987371,44.3506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000113.1,3627,24897,44.3491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000006.1,117674,138944,44.3491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000008.1,117931,139214,44.3525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000057.1,571,21854,44.3532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000007.1,174555,195826,44.3497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000036.1,3440,24711,44.3478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,JXWX01000036.1,3440,24711,44.3469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,5634773,5656044,44.3483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,5634773,5656044,44.3388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000046.1,3446,24716,41.2858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. 111WW2,MUYY01000046.1,3446,24716,44.3263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,5632299,5653570,44.3483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,5632299,5653570,44.3388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000008.1,117778,139049,44.3493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000027.1,34518,55801,44.3507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000027.1,34518,55801,44.3510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000002.1,768986,790267,44.3130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000003.1,339244,360525,44.3102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000001.1,1007994,1029275,44.3102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052721,NZ_JBFATL010000054.1,2052,23378,44.1844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AS02,NZ_JAMJVZ010000048.1,16682,38093,44.1899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AS02,JAMJVZ010000048.1,16682,38093,44.1839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. R28,NZ_CP163439.1,6825024,6846414,44.1830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127595,NZ_JBHXWK010000008.1,349454,370946,44.1520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052727,NZ_JBFATK010000009.1,26537,47878,44.1827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057740,NZ_JBHVJV010000024.1,95883,117347,44.1810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC008086,NZ_JBIBIA010000010.1,32163,53612,44.1803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004065,NZ_JBJDQT010000020.1,127651,149497,41.1216,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMG1533,NZ_LGDG01000213.1,147154,168433,44.1614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMG1533,LGDG01000213.1,147154,168433,41.1034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC049627,NZ_JBITLW010000005.1,168911,186615,15.3121,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC001339,NZ_JBIAWT010000004.1,673103,691546,16.3459,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
Streptomyces sp. NPDC008001,NZ_JBIBIZ010000002.1,230204,252846,19.3910,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000026.1,53656,74939,44.3538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000007.1,3404,24675,44.3496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000007.1,3404,24675,44.3332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000009.1,364045,385316,44.3480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000009.1,364045,385316,44.3311,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,5389600,5410871,44.3508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,5389600,5410871,44.3421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,2893440,2914711,44.3480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,2893440,2914711,44.3393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,3101716,3122987,44.3481,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,CP109205.1,3101716,3122987,44.3394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,3204518,3225789,44.3482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,3204518,3225789,44.3395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,3210049,3231320,44.3493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,3210049,3231320,44.3406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,2840375,2861658,44.3493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,2840375,2861658,44.3424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000015.1,3408,24703,44.3510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,JAPFQR010000015.1,3408,24703,44.3423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000005.1,154485,175756,44.3475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000002.1,42835,64118,44.3515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000015.1,158022,179293,44.3492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000005.1,365393,386854,44.3496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000009.1,361549,382918,44.3498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000019.1,28663,50130,44.3498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000005.1,351316,372587,44.3486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000012.1,53791,75074,44.3525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000001.1,698013,719490,44.3507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000004.1,13060,34525,44.3513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000024.1,3426,24697,44.3487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,5550377,5571648,44.3410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000009.1,218540,239823,44.3509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000009.1,218540,239823,44.3341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,5556425,5577696,44.3478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,5556425,5577696,44.3450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,2961056,2982327,44.3478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,2961056,2982327,44.3388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,GG657756.1,2928211,2949568,44.3474,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,5335365,5356636,44.3309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,2968016,2989287,44.3388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,2966708,2987979,44.3388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,3013463,3034734,44.3490,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000030.1,75530,96801,44.3485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000013.1,39172,60443,44.3302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,JBHTEW010000002.1,3027297,3048069,24.8826,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000024.1,7073,28368,44.3510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces shaanxiensis JCM 16925,NZ_BAAAZY010000012.1,688648,710160,44.1926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces shaanxiensis JCM 16925,BAAAZY010000012.1,688648,710160,44.1802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cyaneus CGMCC 4.1671,NZ_RQJW01000026.1,8632,30127,44.1919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cyaneochromogenes MK-45,NZ_CP034539.1,6536480,6557867,44.1960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cyaneochromogenes MK-45,CP034539.1,6536480,6557867,44.1963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. T12,NZ_CP117866.1,6936614,6957979,44.1931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. T12,CP117866.1,6936614,6957979,44.1929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cellulosae NRRL B-2687,NZ_JOEV01000007.1,19445,40766,44.1986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces regalis NRRL 3151,NZ_LLZG01000288.1,5722,27173,44.1758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces regalis NRRL 3151,LLZG01000288.1,5722,27173,44.1751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces muensis DSM 103493,NZ_JAKEIP010000063.1,12249,34106,44.1727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces muensis DSM 103493,JAKEIP010000063.1,12249,34106,44.1661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces flaveolus NPDC004958,NZ_JBEXJH010000004.1,14467,35818,44.1859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces caeruleatus NRRL B-24802,NZ_KQ948926.1,765522,787013,44.1776,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces caeruleatus NRRL B-24802,KQ948926.1,765522,787013,44.1743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saccharopolyspora sp. NPDC000359,NZ_JBEPDU010000026.1,15613,46415,18.3416,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces humi MUSC 119,NZ_LBMU02000089.1,31035,53768,15.3364,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
Micromonospora sp. U56,NZ_JAGPYL010000077.1,4218,29687,18.3588,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. U56,JAGPYL010000077.1,4218,29687,18.3588,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. A200,NZ_JARXXY010000003.1,167543,192976,18.3574,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. A200,JARXXY010000003.1,167525,192976,18.3573,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. CPCC 206171,NZ_JBAKHT010000012.1,138704,164168,18.3566,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. NPDC049230,NZ_JBEZCZ010000016.1,77659,102805,18.3581,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. CNB394,NZ_KB895850.1,12899,40304,21.4348,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Micromonospora sp. NPDC049301,NZ_JBFAQO010000009.1,79973,107289,20.4304,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Umezawaea beigongshangensis REN6,NZ_JAEIOJ010000008.1,262790,276919,19.4309,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
Saccharothrix saharensis NPDC006247,NZ_JBIAIA010000003.1,466318,479574,15.3716,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
Saccharothrix saharensis DSM 45456,NZ_VFPP01000001.1,8195871,8209189,18.4116,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0
Saccharothrix saharensis DSM 45456,VFPP01000001.1,8195871,8210087,19.4336,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
Micromonospora purpureochromogenes NPDC047757,NZ_JBEYSK010000008.1,147386,172823,18.3591,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora purpureochromogenes DSM 43814,NZ_JACCCQ010000001.1,5780490,5805931,18.3581,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora purpureochromogenes DSM 43814,JACCCQ010000001.1,5780490,5805931,18.3573,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora purpureochromogenes NPDC050303,NZ_JBFAKR010000010.1,44198,69641,18.3578,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora purpureochromogenes NPDC057205,NZ_JBHUWM010000018.1,43279,68913,18.3566,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Actinoplanes cyaneus JCM 9082,NZ_BAAAUC010000024.1,86452,108727,21.4567,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Actinoplanes cyaneus NBRC 14990,NZ_BOMH01000068.1,85956,108231,21.4567,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Actinoplanes cyaneus NBRC 14990,BOMH01000068.1,85956,108231,20.4500,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Actinoplanes cyaneus DSM 46137,NZ_JAODUN010000008.1,86470,108745,21.4567,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Actinoplanes cyaneus DSM 46137,JAODUN010000008.1,86470,108745,21.4567,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Krasilnikovia sp. MM14-A1259,NZ_BAAGAJ010000002.1,5368276,5392611,18.3567,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Krasilnikovia sp. MM14-A1259,BAAGAJ010000002.1,5368276,5392611,18.3578,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora palomenae DSM 102131,NZ_VIXA01000001.1,619634,645082,18.3574,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Micromonospora palomenae DSM 102131,VIXA01000001.1,619616,645082,18.3573,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Amycolatopsis azurea DSM 43854,NZ_ANMG01000035.1,81691,96165,18.3971,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0
Amycolatopsis azurea DSM 43854,MUXN01000028.1,158294,172768,16.3873,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
Streptomyces gobiensis 1_25,NZ_CP086120.1,3334089,3363098,18.3820,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0
Streptomyces griseocarneus 132,PENC01000010.1,187824,208495,18.3442,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces rectiverticillatus B15-08,NZ_CP040752.1,3702152,3733614,20.4256,1,2,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
Streptomyces rectiverticillatus B15-08,CP040752.1,3702152,3733614,19.3959,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
Streptomyces telluris AA8,NZ_JANIID010000053.1,1693,22014,18.3868,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
Streptomyces aureoversilis CGMCC 4.1641,NZ_JBHSKJ010000031.1,927,19829,18.3870,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Streptomyces roseifaciens NPDC020024,JBEYKA010000040.1,1693,21913,16.3568,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
Streptomyces roseifaciens MBT76,NZ_LNBE01000006.1,44573,75883,20.4256,1,2,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
Streptomyces hiroshimensis A18,MH743143.1,10869,31133,19.4159,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
Streptomyces hiroshimensis JCM 4586,NZ_BMUT01000009.1,148,18755,18.3854,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
