Organism,Scaffold,Start,End,Score,CAB60184.1,CAB60185.1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000009.1,174451,176161,3.1073,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000355.1,1706,3416,3.1060,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000009.1,115226,116936,3.1073,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000031.1,2041,3751,3.1073,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000033.1,2041,3751,3.1073,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000032.1,86624,88334,3.1073,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000031.1,86625,88335,3.1073,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,7027528,7029238,3.1060,1,1
Streptomyces coelicolor,AJ007731.1,1969,3679,3.1073,1,1
Streptomyces coelicolor,CP133591.1,6481348,6483058,3.1073,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,6877695,6879405,3.1073,1,1
Streptomyces coelicolor M22,CP133590.1,6891732,6893442,3.1073,1,1
Streptomyces coelicolor M1152,CP181172.1,6784033,6785743,3.1073,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000048.1,2068,3778,3.1073,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000381.1,1257,2967,3.1073,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,1640729,1642439,3.1073,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000067.1,2632,4342,3.1073,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000303.1,6493,8203,3.1073,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000017.1,179242,180952,3.1073,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000013.1,3979,5689,3.1073,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000360.1,2039,3749,3.1073,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000002.1,3033,4744,3.1073,1,1
Streptomyces sp. WM6391,NZ_JXWX01000129.1,2039,3749,3.1073,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,7013228,7014938,3.1073,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000187.1,1605,3315,3.1073,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,7010728,7012438,3.1073,1,1
Streptomyces sp. LRa12,NZ_SSBN01000174.1,1646,3356,3.1073,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,6890527,6892237,3.1073,1,1
Streptomyces sp. E5N91,NZ_RAIE01000178.1,812,2522,3.1069,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000016.1,2045,3755,3.1071,1,1
Streptomyces sp. SID5926,WWHV01000289.1,1050,2760,3.1032,1,1
Streptomyces sp. NPDC051219,NZ_JBFBAS010000062.1,11479,13246,3.0829,1,1
Streptomyces sp. NPDC006368,NZ_JBEXQK010000047.1,25344,27211,3.0701,1,1
Streptomyces sp. NPDC093546,NZ_JBIWJG010000014.1,3732,5467,3.0672,1,1
Streptomyces sp. NPDC003036,NZ_JBEXNO010000010.1,175748,177484,3.0672,1,1
Streptomyces sp. NPDC006307,NZ_JBEXRP010000209.1,8897,10633,3.0672,1,1
Streptomyces sp. NPDC045431,NZ_JBEZAQ010000016.1,180071,181807,3.0668,1,1
Streptomyces sp. NPDC052309,NZ_JBFAUL010000004.1,476235,477969,3.0669,1,1
Streptomyces sp. ADI98-10,NZ_ML123119.1,736312,738052,3.0706,1,1
Streptomyces sp. NPDC020884,NZ_JBIRRY010000007.1,380300,382040,3.0698,1,1
Streptomyces sp. NPDC020880,NZ_JBJDQG010000007.1,95019,96759,3.0698,1,1
Streptomyces sp. SM13,NZ_NEUC01000355.1,26520,28260,3.0698,1,1
Streptomyces sp. TRM75563,NZ_JALDPQ010000063.1,365725,367465,3.0700,1,1
Streptomyces sp. MW-W600-10,NZ_JAGTPS010000001.1,67938,69678,3.0725,1,1
Streptomyces sp. CMC78,NZ_AP035884.1,8121576,8123316,3.0722,1,1
Streptomyces sp. WY228,NZ_CP079114.1,144131,145871,3.0722,1,1
Streptomyces sp. JUS-F4,NZ_CP098783.1,131400,133140,3.0721,1,1
Streptomyces sp. NRRL_ISP-5395,NZ_JARAVX010000011.1,66418,68158,3.0720,1,1
Streptomyces sp. ME02-6979.5a,NZ_JARAXX010000007.1,68997,70737,3.0724,1,1
Streptomyces sp. ID03-2B,NZ_JARAZG010000008.1,373668,375408,3.0723,1,1
Streptomyces sp. ID01-9D,NZ_JARAZI010000015.1,15023,16763,3.0722,1,1
Streptomyces sp. DE06-01C,NZ_JARAZO010000013.1,72584,74324,3.0722,1,1
Streptomyces sp. B226SN101,NZ_NEUH01000096.1,5027,6767,3.0720,1,1
Streptomyces sp. B188M101,NZ_NEUI01000019.1,15581,17321,3.0720,1,1
Streptomyces sp. st115,NZ_NTGT01000119.1,15623,17364,3.0721,1,1
Streptomyces sp. SID14515,NZ_JAAGMH010000097.1,278799,280539,3.0726,1,1
Streptomyces sp. BPSDS2,NZ_STGN01000004.1,382641,384381,3.0726,1,1
Streptomyces sp. 43Y-GA-1,NZ_JAMFLF010000006.1,390094,391834,3.0720,1,1
Streptomyces sp. 43Y-GA-1,JAMFLF010000006.1,390094,391834,3.0709,1,1
Streptomyces sp. NPDC048142,NZ_JBIDBC010000020.1,52532,54269,3.0714,1,1
Streptomyces sp. NPDC006415,NZ_JBEXQD010000052.1,25499,27242,3.0673,1,1
Streptomyces sp. CS149,NZ_KZ679082.1,47395,49139,3.0692,1,1
Streptomyces sp. CS149,KZ679082.1,47395,49139,3.0705,1,1
Streptomyces sp. WZ.A104,NZ_NWVL01000009.1,2371,4110,3.0698,1,1
Streptomyces sp. NPDC058375,NZ_JBHXJG010000162.1,11063,12806,3.0699,1,1
Streptomyces sp. PTY087I2,NZ_LZRD01000012.1,77179,78923,3.0666,1,1
Streptomyces sp. S063,NZ_CP021707.1,86490,88345,3.0669,1,1
Streptomyces sp. EN27,NZ_MJAG01000001.1,175113,176857,3.0670,1,1
Streptomyces sp. EN23,NZ_MJAI01000006.1,44459,46203,3.0682,1,1
Streptomyces sp. NPDC057107,NZ_JBHUUE010000102.1,8588,10334,3.0662,1,1
Streptomyces sp. NPDC101230,NZ_JBIWOB010000016.1,49487,51233,3.0660,1,1
Streptomyces sp. NPDC101223,NZ_JBIWOG010000014.1,68565,70311,3.0660,1,1
Streptomyces sp. YIM 132580,NZ_WUEJ01000007.1,57828,59574,3.0662,1,1
Streptomyces sp. NPDC058576,NZ_JBHXPF010000028.1,82808,84551,3.0709,1,1
Streptomyces sp. NPDC056007,NZ_JBHJXN010000014.1,123636,125391,3.0660,1,1
Streptomyces sp. NPDC059586,NZ_JBHWCF010000100.1,3978,5733,3.0660,1,1
Streptomyces sp. NPDC059607,NZ_JBHWCQ010000028.1,77614,79369,3.0660,1,1
Streptomyces sp. NPDC059612,NZ_JBHWCU010000027.1,77415,79170,3.0660,1,1
Streptomyces sp. NPDC059513,NZ_JBHYTO010000026.1,23641,25396,3.0660,1,1
Streptomyces sp. NPDC091406,NZ_JBIVTW010000004.1,72804,74547,3.0680,1,1
Streptomyces sp. NPDC091405,NZ_JBIVTX010000004.1,72804,74547,3.0680,1,1
Streptomyces sp. NPDC057644,NZ_JBHVHJ010000015.1,51270,53013,3.0682,1,1
Streptomyces sp. NPDC057718,NZ_JBHVJL010000011.1,172778,174521,3.0681,1,1
Streptomyces sp. NPDC056454,NZ_JBHTRK010000021.1,3975,5730,3.0659,1,1
Streptomyces sp. NPDC059258,NZ_JBHYZN010000014.1,52430,54173,3.0697,1,1
Streptomyces sp. NPDC059144,NZ_JBHZCZ010000024.1,46398,48141,3.0697,1,1
Streptomyces sp. SM11,NZ_NEUE01000298.1,133245,134985,3.0692,1,1
Streptomyces sp. JS01,NZ_JPWW01000025.1,66881,68625,3.0668,1,1
Streptomyces sp. JS01,JPWW01000025.1,66881,68625,3.0680,1,1
Streptomyces sp. SH5,NZ_CP123780.1,90837,92599,3.0688,1,1
Streptomyces sp. SCSIO-PteL053,CP059136.1,50563,52307,3.0706,1,1
Streptomyces sp. NPDC008259,NZ_JBIBGD010000008.1,57171,58917,3.0658,1,1
Streptomyces sp. NPDC018055,NZ_JBIRFD010000006.1,75706,77452,3.0658,1,1
Streptomyces sp. CS065A,NZ_KZ819168.1,137231,138977,3.0658,1,1
Streptomyces sp. PBSH9,NZ_JAKZEO010000001.1,82706,84450,3.0682,1,1
Streptomyces sp. NE06-03C,NZ_JARAWM010000037.1,37199,38943,3.0682,1,1
Streptomyces sp. FL06-04B,NZ_JARAZN010000007.1,8698,10442,3.0682,1,1
Streptomyces sp. FL06-04B,JARAZN010000007.1,8698,10442,3.0669,1,1
Streptomyces sp. NPDC059611,NZ_JBHWCT010000008.1,65593,67348,3.0661,1,1
Streptomyces sp. NBRC 110465,NZ_BDHJ01000016.1,25297,27041,3.0676,1,1
Streptomyces sp. YPW6,NZ_CP076457.1,7622276,7624020,3.0676,1,1
Streptomyces sp. NPDC007002,NZ_JBEYHE010000014.1,164718,166462,3.0663,1,1
Streptomyces sp. NPDC059164,NZ_JBHZCK010000016.1,102352,104096,3.0663,1,1
Streptomyces sp. NPDC004041,NZ_JBIAMY010000026.1,28059,29803,3.0676,1,1
Streptomyces sp. NPDC090126,NZ_JBIVDF010000013.1,102268,104012,3.0676,1,1
Streptomyces sp. CC216B,NZ_JASCXK010000051.1,14892,16636,3.0703,1,1
Streptomyces sp. CC216C,NZ_JASCXQ010000191.1,4791,6535,3.0691,1,1
Streptomyces sp. KL115B,NZ_JASERK010000030.1,14815,16559,3.0703,1,1
Streptomyces sp. CNS654,NZ_JNLT01000022.1,120295,122039,3.0704,1,1
Streptomyces sp. Ncost-T6T-1,NZ_FLTR01000005.1,157238,158982,3.0675,1,1
Streptomyces sp. CAI-121,NZ_JAANNV010000009.1,46174,47918,3.0675,1,1
Streptomyces sp. CAI-121,JAANNV010000009.1,46174,47918,3.0687,1,1
Streptomyces sp. CAI 127,NZ_JAANOC010000003.1,192981,194725,3.0675,1,1
Streptomyces sp. CAI 127,JAANOC010000003.1,192981,194725,3.0687,1,1
Streptomyces sp. CAI-68,NZ_JAANOD010000009.1,46174,47918,3.0675,1,1
Streptomyces sp. CAI-68,JAANOD010000009.1,46174,47918,3.0687,1,1
Streptomyces sp. ms115,NZ_NTHD01000031.1,27479,29223,3.0667,1,1
Streptomyces sp. gb14,NZ_NTHF01000012.1,75016,76760,3.0667,1,1
Streptomyces sp. f51,NZ_NTHH01000062.1,5027,6771,3.0669,1,1
Streptomyces sp. SID5614,NZ_WWID01000242.1,9400,11144,3.0680,1,1
Streptomyces sp. 7G,NZ_JAIUKD010000061.1,9633,11377,3.0667,1,1
Streptomyces sp. 7G,JAIUKD010000061.1,9633,11377,3.0679,1,1
Streptomyces sp. NPDC088729,NZ_JBIVLL010000006.1,216383,218150,3.0699,1,1
Streptomyces sp. ADI96-02,NZ_ML123034.1,180916,182683,3.0699,1,1
Streptomyces sp. MBT72,NZ_JAENRV010000129.1,9245,10989,3.0665,1,1
Streptomyces sp. MBT72,JAENRV010000129.1,9245,10989,3.0678,1,1
Streptomyces sp. MBT67,NZ_JAENRX010000109.1,9366,11110,3.0665,1,1
Streptomyces sp. MBT67,JAENRX010000109.1,9366,11110,3.0678,1,1
Streptomyces sp. MBT61,NZ_JAENSA010000071.1,9314,11058,3.0665,1,1
Streptomyces sp. MBT61,JAENSA010000071.1,9314,11058,3.0678,1,1
Streptomyces sp. MBT60,NZ_JAENSB010000013.1,9649,11393,3.0665,1,1
Streptomyces sp. MBT60,JAENSB010000013.1,9649,11393,3.0678,1,1
Streptomyces sp. MBT59,NZ_JAEQAW010000066.1,9441,11185,3.0665,1,1
Streptomyces sp. MBT59,JAEQAW010000066.1,9441,11185,3.0678,1,1
Streptomyces sp. SS07,NZ_KZ268499.1,66477,68221,3.0679,1,1
Streptomyces sp. SID6648,JAAGML010000958.1,281931,283675,3.0694,1,1
Streptomyces sp. f150,NZ_NTHG01000040.1,22239,23983,3.0666,1,1
Streptomyces sp. CS-7,NZ_JAJUKK010000005.1,188855,190599,3.0666,1,1
Streptomyces sp. CS-7,JAJUKK010000005.1,188855,190599,3.0679,1,1
Streptomyces sp. ms184,NZ_NTHC01000201.1,498,2242,3.0666,1,1
Streptomyces sp. 1268,NZ_CP162609.1,4091884,4093628,3.0699,1,1
Streptomyces sp. CS014,NZ_KZ819154.1,7758747,7760491,3.0686,1,1
Streptomyces sp. NPDC057638,NZ_JBHVHF010000032.1,37553,39313,3.0648,1,1
Streptomyces sp. t99,NZ_NTGQ01000048.1,4392,6136,3.0665,1,1
Streptomyces sp. b62,NZ_NTHK01000024.1,66420,68164,3.0665,1,1
Streptomyces sp. NP10,NZ_PDIQ01000028.1,66503,68247,3.0665,1,1
Streptomyces sp. NP10,PDIQ01000028.1,66503,68247,3.0677,1,1
Streptomyces sp. NPDC059452,NZ_JBHYVE010000018.1,71851,73583,3.0699,1,1
Streptomyces sp. 35M1,NZ_JBCLWP010000019.1,120575,122319,3.0701,1,1
Streptomyces sp. WA6-1-16,NZ_CP084357.1,4006088,4007832,3.0698,1,1
Streptomyces sp. JL1001,NZ_CP136798.1,93895,95639,3.0698,1,1
Streptomyces sp. Cmuel-A718b,NZ_FMDG01000149.1,62678,64422,3.0687,1,1
Streptomyces sp. Cmuel-A718b,FMDG01000149.1,62678,64422,3.0698,1,1
Streptomyces sp. PgraA7,NZ_FYEJ01000012.1,157976,159720,3.0699,1,1
Streptomyces sp. CACIS-1.16CA,NZ_JBITPV010000021.1,30547,32291,3.0698,1,1
Streptomyces sp. CS131,NZ_KZ819178.1,77267,79011,3.0698,1,1
Streptomyces sp. CS147,NZ_KZ819182.1,138424,140168,3.0687,1,1
Streptomyces sp. CS147,KZ819182.1,138424,140168,3.0699,1,1
Streptomyces sp. CB02613,NZ_NNBN01000003.1,85445,87189,3.0701,1,1
Streptomyces sp. st77,NZ_NTGU01000011.1,117692,119436,3.0687,1,1
Streptomyces sp. SID8378,NZ_WWGD01000035.1,157976,159720,3.0699,1,1
Streptomyces sp. SJE177,KR063256.1,607,2351,3.0698,1,1
Streptomyces sp. BF-3,NACZ01000052.1,5808,7552,3.0698,1,1
Streptomyces sp. Termitarium-T10T-6,FMCO01000279.1,4790,6534,3.0701,1,1
Streptomyces sp. R527F,NZ_CP090837.1,107932,109673,3.0655,1,1
Streptomyces sp. R527F,CP090837.1,107932,109673,3.0668,1,1
Streptomyces sp. TSRI0445,NZ_LIPC01000004.1,406797,408538,3.0655,1,1
Streptomyces sp. TSRI0445,LIPC01000004.1,406797,408538,3.0668,1,1
Streptomyces sp. NPDC101181,NZ_JBIWOX010000012.1,142813,144585,3.0658,1,1
Streptomyces sp. NPDC007117,NZ_JBEYFI010000016.1,109747,111491,3.0673,1,1
Streptomyces sp. NPDC007094,NZ_JBEYFT010000054.1,25884,27628,3.0673,1,1
Streptomyces sp. NPDC007027,NZ_JBEYGV010000044.1,60027,61771,3.0673,1,1
Streptomyces sp. NPDC007020,NZ_JBEYGZ010000023.1,124897,126641,3.0660,1,1
Streptomyces sp. NPDC006995,NZ_JBEYHJ010000008.1,31444,33188,3.0660,1,1
Streptomyces sp. NPDC006906,NZ_JBEYIG010000008.1,37635,39379,3.0672,1,1
Streptomyces sp. NPDC006864,NZ_JBEYIM010000091.1,4725,6469,3.0672,1,1
Streptomyces sp. NPDC006863,NZ_JBEYIN010000096.1,25794,27538,3.0673,1,1
Streptomyces sp. NPDC006854,NZ_JBEYIO010000071.1,4705,6449,3.0672,1,1
Streptomyces sp. NPDC006785,NZ_JBEYIV010000013.1,32496,34240,3.0673,1,1
Streptomyces sp. NPDC058869,NZ_JBHYMM010000016.1,63142,64886,3.0670,1,1
Streptomyces sp. NPDC059173,NZ_JBHZCB010000021.1,28699,30443,3.0670,1,1
Streptomyces sp. NPDC059171,NZ_JBHZCD010000036.1,36935,38679,3.0657,1,1
Streptomyces sp. NPDC007007,NZ_JBIAFU010000010.1,169447,171191,3.0660,1,1
Streptomyces sp. NPDC006856,NZ_JBIAGF010000013.1,40020,41764,3.0660,1,1
Streptomyces sp. NPDC006855,NZ_JBIAGG010000036.1,37047,38791,3.0660,1,1
Streptomyces sp. CB02130,NZ_LIXK01000006.1,422735,424479,3.0664,1,1
Streptomyces sp. CB02130,LIXK01000006.1,422735,424479,3.0676,1,1
Streptomyces sp. NPDC049916,NZ_JBFAMG010000015.1,38599,40371,3.0662,1,1
Streptomyces sp. st170,NZ_NTGR01000072.1,5601,7342,3.0654,1,1
Streptomyces sp. HB202,QRAT01000002.1,2997466,2999207,3.0667,1,1
Streptomyces sp. st140,NZ_NTGS01000067.1,5001,6745,3.0664,1,1
Streptomyces sp. NPDC096095,NZ_JBEOSR010000015.1,119557,121292,3.0677,1,1
Streptomyces sp. NPDC091649,NZ_JBIVTR010000016.1,62670,64405,3.0673,1,1
Streptomyces sp. MCL20-2,NZ_JAOBTP010000002.1,51404,53148,3.0671,1,1
Streptomyces sp. NPDC005951,NZ_JBEXVJ010000008.1,107110,108854,3.0668,1,1
Streptomyces sp. SM1P,CP149585.1,80350,82109,3.0663,1,1
Streptomyces sp. MBT56,NZ_JAENSD010000172.1,4723,6464,3.0654,1,1
Streptomyces sp. MBT56,JAENSD010000172.1,4723,6464,3.0666,1,1
Streptomyces sp. MBT54,NZ_JAENSE010000153.1,14134,15875,3.0654,1,1
Streptomyces sp. MBT54,JAENSE010000153.1,14134,15875,3.0666,1,1
Streptomyces sp. MBT98,NZ_JAENSF010000126.1,9545,11286,3.0654,1,1
Streptomyces sp. MBT98,JAENSF010000126.1,9545,11286,3.0666,1,1
Streptomyces sp. MBT55,NZ_JAEQAY010000129.1,9545,11286,3.0654,1,1
Streptomyces sp. MBT55,JAEQAY010000129.1,9545,11286,3.0666,1,1
Streptomyces sp. NPDC006267,NZ_JBEXSF010000004.1,320424,322159,3.0672,1,1
Streptomyces sp. NPDC006270,NZ_JBIAHX010000002.1,100716,102451,3.0672,1,1
Streptomyces sp. NPDC047967,NZ_JBEZOA010000037.1,36779,38523,3.0671,1,1
Streptomyces sp. NPDC006320,NZ_JBEXRI010000010.1,98369,100116,3.0653,1,1
Streptomyces sp. NPDC006174,NZ_JBEXTJ010000003.1,123253,125000,3.0653,1,1
Streptomyces sp. NPDC089173,NZ_JBFBHR010000009.1,348924,350671,3.0653,1,1
Streptomyces sp. NPDC058011,NZ_JBHVQZ010000004.1,408962,410709,3.0653,1,1
Streptomyces sp. NPDC091289,NZ_JBIVUT010000031.1,79580,81320,3.0692,1,1
Streptomyces sp. NPDC007346,NZ_JBEYKR010000043.1,12109,13840,3.0666,1,1
Streptomyces sp. ARC14,NZ_CP096674.1,30627,32363,3.0665,1,1
Streptomyces sp. ARC14,CP096674.1,30627,32363,3.0678,1,1
Streptomyces sp. IB2014 011-1,NZ_LZQS01000004.1,60656,62392,3.0666,1,1
Streptomyces sp. IB2014 011-1,LZQS01000004.1,60656,62392,3.0652,1,1
Streptomyces sp. IB2014 011-12,NZ_QEIK01000008.1,60857,62593,3.0666,1,1
Streptomyces sp. NRRL_B-2249,NZ_JARAWA010000003.1,935087,936822,3.0648,1,1
Streptomyces sp. NPDC088744,NZ_JBFBIA010000005.1,301831,303568,3.0653,1,1
Streptomyces sp. NPDC088706,NZ_JBIVLW010000006.1,36966,38703,3.0653,1,1
Streptomyces sp. NPDC101178,NZ_JBIWOZ010000006.1,144315,146062,3.0647,1,1
Streptomyces sp. ScaeMP-e48,NZ_AQTJ01000033.1,186884,188619,3.0643,1,1
Streptomyces sp. ScaeMP-e48,FMHN01000007.1,186884,188619,3.0645,1,1
Streptomyces sp. SID2119,NZ_WWKE01001631.1,5731,7467,3.0660,1,1
Streptomyces sp. NPDC012389,NZ_JBIBEZ010000007.1,47435,49181,3.0648,1,1
Streptomyces sp. ISL-111,NZ_JAGGOM010000001.1,311863,313598,3.0657,1,1
Streptomyces sp. ISL-111,JAGGOM010000001.1,311863,313598,3.0670,1,1
Streptomyces sp. ISL-112,NZ_JAGGON010000032.1,26719,28454,3.0657,1,1
Streptomyces sp. ISL-112,JAGGON010000032.1,26719,28454,3.0670,1,1
Streptomyces sp. ISL-63,NZ_JAGGOV010000026.1,302316,304051,3.0657,1,1
Streptomyces sp. ISL-63,JAGGOV010000026.1,302316,304051,3.0670,1,1
Streptomyces sp. NPDC058629,NZ_JBHXQW010000041.1,28308,30043,3.0657,1,1
Streptomyces sp. CB00316,NZ_LIXI01000008.1,29740,31475,3.0657,1,1
Streptomyces sp. CB00316,LIXI01000008.1,29740,31475,3.0670,1,1
Streptomyces sp. ME02-6991-2A,NZ_JARAXT010000014.1,185354,187090,3.0656,1,1
Streptomyces sp. SID8374,NZ_WWGH01000001.1,44234,45980,3.0646,1,1
Streptomyces sp. NPDC088755,NZ_JBIVKW010000007.1,33678,35415,3.0645,1,1
Streptomyces sp. YS-3,NZ_JBJHPC010000257.1,2758,4525,3.0601,1,1
Streptomyces sp. ScaeMP-e10,NZ_KB891311.1,461004,462739,3.0674,1,1
Streptomyces sp. CS090A,NZ_KZ819160.1,119114,120849,3.0662,1,1
Streptomyces sp. SID5594,NZ_WWIF01000005.1,461004,462739,3.0674,1,1
Streptomyces sp. ScaeMP-e83,NZ_FMCJ01000094.1,395417,397163,3.0644,1,1
Streptomyces sp. ScaeMP-e83,FMCJ01000094.1,395417,397163,3.0646,1,1
Streptomyces sp. SID4937,NZ_WWJD01000106.1,395417,397163,3.0644,1,1
Streptomyces sp. CBMAI 2042,NZ_RCOL01000001.1,41932,43667,3.0661,1,1
Streptomyces sp. CBMAI 2042,RCOL01000001.1,41932,43667,3.0667,1,1
