Organism,Scaffold,Start,End,Score,CAC01488.1,CAC01489.1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000005.1,126793,129207,3.1569,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000012.1,117674,120010,3.1568,1,1
Streptomyces anthocyanicus IPS92w,JAPFQR010000025.1,70828,73242,3.1565,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000025.1,70828,73164,3.1565,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,7366337,7368751,3.1567,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,7366337,7368673,3.1567,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,1302176,1304590,3.1567,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,1302254,1304590,3.1567,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,7023872,7026286,3.1567,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,7023872,7026208,3.1567,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000001.1,33254,35590,3.1567,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000002.1,383745,386081,3.1567,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000005.1,268493,270829,3.1567,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000015.1,43772,46108,3.1567,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000001.1,188942,191278,3.1565,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000001.1,188942,191356,3.1565,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,7122945,7125281,3.1563,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,7122945,7125359,3.1563,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000007.1,216291,218627,3.1571,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000006.1,188905,191241,3.1571,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000006.1,188905,191241,3.1571,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,1255977,1258313,3.1571,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000006.1,188905,191241,3.1571,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000006.1,188905,191319,3.1571,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000006.1,188905,191241,3.1571,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000006.1,188905,191319,3.1571,1,1
Streptomyces coelicolor,CP133591.1,868550,870886,3.1571,1,1
Streptomyces coelicolor M1152,CP181172.1,1277674,1280010,3.1571,1,1
Streptomyces coelicolor M22,CP133590.1,1277582,1279996,3.1571,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,1402218,1404632,3.1569,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000002.1,151715,154051,3.1571,1,1
Streptomyces sp. NRRL_B-16638,JARAWB010000002.1,151715,154129,3.1571,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000007.1,10357,12693,3.1568,1,1
Streptomyces sp. ME02-6987-2C,JARAXU010000007.1,10279,12693,3.1568,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000005.1,193819,196155,3.1568,1,1
Streptomyces sp. ME02-6985-2c,JARAXV010000005.1,193819,196233,3.1568,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000009.1,47406,49742,3.1571,1,1
Streptomyces sp. ME02-6979A,JARAXW010000009.1,47406,49820,3.1571,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000129.1,11327,13663,3.1571,1,1
Streptomyces sp. ME02-6977A,JARAYD010000129.1,11327,13741,3.1571,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000006.1,96732,99068,3.1568,1,1
Streptomyces sp. ME01-18h,JARAYG010000006.1,96732,99146,3.1568,1,1
Streptomyces sp. SID7813,WWHF01000001.1,1277624,1279960,3.1571,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,1277546,1279960,3.1571,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,7149432,7151846,3.1571,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,1329340,1331676,3.1566,1,1
Streptomyces sp. 2114.2,LT629768.1,1331777,1334113,3.1566,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,1331699,1334113,3.1566,1,1
Streptomyces sp. LRa12,SSBN01000048.1,20796,23132,3.1569,1,1
Streptomyces sp. LRa12,NZ_SSBN01000048.1,20718,23132,3.1569,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000012.1,10272,12686,3.1569,1,1
Streptomyces sp. E5N91,NZ_RAIE01000745.1,11660,14074,3.1560,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000042.1,47351,49765,3.1567,1,1
Streptomyces sp. 111WW2,MUYY01000042.1,47351,49687,3.1567,1,1
Streptomyces sp. ME03-5684b,JARAXO010000011.1,67811,70225,3.1564,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000011.1,67811,70147,3.1564,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000005.1,323095,325431,3.1567,1,1
Streptomyces sp. WM6391,JXWX01000009.1,21015,23351,3.1565,1,1
Streptomyces sp. WM6391,NZ_JXWX01000009.1,20937,23351,3.1565,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000026.1,24053,26467,3.1542,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000008.1,217654,220068,3.1533,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000004.1,515077,517491,3.1534,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000002.1,1513330,1515666,3.1534,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000019.1,53231,55627,3.1524,1,1
Streptomyces sp. M1013,MQUH01000003.1,436470,438806,3.1523,1,1
Streptomyces sp. M1013,NZ_MQUH01000003.1,436377,438806,3.1521,1,1
Streptomyces sp. RM72,JAGPYH010000040.1,26448,28784,3.1523,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000040.1,26448,28877,3.1521,1,1
Streptomyces sp. MH60,MULI01000018.1,21701,24037,3.1520,1,1
Streptomyces sp. MH60,NZ_MULI01000018.1,21701,24115,3.1520,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,539011,541425,3.1519,1,1
Streptomyces sp. CB09001,CP026730.1,539089,541425,3.1519,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000051.1,8076,10490,3.1519,1,1
Streptomyces sp. SID5914,WWHW01000045.1,126,2462,3.1519,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000001.1,195802,198138,3.1518,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000001.1,195802,198138,3.1518,1,1
Streptomyces sp. RS2,JAPCIE010000001.1,250692,253088,3.1518,1,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,250752,253088,3.1518,1,1
Streptomyces sp. E5N298,NZ_RAIG01000617.1,96452,98881,3.1518,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000005.1,182895,185231,3.1518,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,7386853,7389189,3.1515,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000008.1,285660,288056,3.1518,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000009.1,174619,176955,3.1527,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000020.1,50614,52950,3.1515,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000004.1,302193,304529,3.1514,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000014.1,208433,210769,3.1515,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,7474477,7476813,3.1515,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,7474477,7476873,3.1514,1,1
Streptomyces sp. MS2A,JAQIOU010000016.1,114038,116434,3.1515,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,7256412,7258748,3.1522,1,1
Streptomyces sp. KO7888,WXVT01000001.1,7256412,7258697,3.1470,1,1
Streptomyces sp. AD681,NZ_JAQISL010000012.1,262662,265058,3.1517,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000002.1,170428,172824,3.1516,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,7428830,7431226,3.1522,1,1
Streptomyces sp. R1,NZ_JAJIBA010000023.1,72400,74796,3.1514,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,7332292,7334628,3.1521,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000009.1,210525,212861,3.1521,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,7015210,7017606,3.1520,1,1
Streptomyces sp. OM5714,WHZR01000001.1,7015210,7017495,3.1468,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000006.1,294951,297365,3.1513,1,1
Streptomyces sp. SID5477,WWIG01000801.1,18184,20520,3.1514,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000037.1,27447,29783,3.1514,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,7124191,7126587,3.1514,1,1
Streptomyces sp. CS159,KZ195577.1,7124191,7126527,3.1514,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001624.1,161358,163694,3.1514,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000012.1,1129153,1131567,3.1512,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000003.1,179083,181497,3.1508,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000018.1,89240,91669,3.1514,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000013.1,47789,50218,3.1514,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000007.1,155696,158092,3.1514,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,1478737,1481166,3.1509,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000029.1,23176,25605,3.1508,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000008.1,176641,179055,3.1497,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000001.1,1099178,1101592,3.1497,1,1
Streptomyces sp. KPB2,CP034353.1,7015855,7018191,3.1513,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,7015855,7018269,3.1513,1,1
Streptomyces sp. HB-N217,JADWMQ010000002.1,81269,83605,3.1513,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000002.1,81269,83683,3.1513,1,1
Streptomyces sp. NA03103,CP054920.1,6989974,6992310,3.1514,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,6989974,6992388,3.1514,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000026.1,141978,144392,3.1514,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000016.1,48797,51133,3.1506,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,7213675,7216089,3.1513,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000007.1,132864,135278,3.1509,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000005.1,188505,190919,3.1513,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000032.1,65647,68061,3.1513,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000068.1,17042,19456,3.1513,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000003.1,188390,190804,3.1513,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000002.1,318508,320922,3.1513,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000002.1,191511,193925,3.1513,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000014.1,38693,41107,3.1514,1,1
Streptomyces sp. H23,NZ_SOPG01000010.1,188140,190554,3.1511,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000007.1,168476,170872,3.1504,1,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000008.1,168086,170422,3.1511,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000002.1,176791,179205,3.1504,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000009.1,116544,118940,3.1512,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000008.1,188233,190647,3.1511,1,1
Streptomyces sp. SID10362,JAAGLJ010000305.1,65540,67876,3.1509,1,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000305.1,65462,67876,3.1508,1,1
Streptomyces sp. V17-9,CP074111.1,956786,959122,3.1506,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,956708,959122,3.1505,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000036.1,22139,24553,3.1511,1,1
Streptomyces sp. PU10,NZ_JAVCPQ010000001.1,1024177,1026591,3.1511,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000007.1,65951,68365,3.1511,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000012.1,126444,128858,3.1511,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000005.1,199113,201527,3.1511,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000009.1,269847,272261,3.1511,1,1
Streptomyces sp. NPDC059409,NZ_JBHYWH010000027.1,17444,19858,3.1511,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000008.1,213992,216406,3.1511,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000005.1,283892,286306,3.1507,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,1357074,1359470,3.1494,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000006.1,213398,215812,3.1511,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000001.1,168813,171209,3.1505,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,7061017,7063431,3.1510,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000005.1,213247,215661,3.1510,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000002.1,153533,155947,3.1510,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000071.1,13738,16152,3.1505,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000003.1,331624,334038,3.1510,1,1
Streptomyces sp. G3,JAMOZC010000002.1,189924,192260,3.1508,1,1
Streptomyces sp. G3,NZ_JAMOZC010000002.1,189924,192338,3.1507,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000003.1,386556,388970,3.1510,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000004.1,285594,287990,3.1501,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000004.1,168481,170877,3.1501,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,7050880,7053294,3.1506,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000097.1,843499,845901,3.1497,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,1085843,1088257,3.1486,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000184.1,6112,8526,3.1485,1,1
Streptomyces sp. NPDC044948,NZ_JBEZBI010000333.1,3612,6026,3.1485,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000007.1,199382,201796,3.1501,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000001.1,145462,147846,3.1497,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000017.1,147050,149446,3.1489,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000003.1,88424,90820,3.1488,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000112.1,88439,90835,3.1488,1,1
Streptomyces sp. NRRL F-4707,LGEF01000112.1,88499,90835,3.1488,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000116.1,61283,63679,3.1488,1,1
Streptomyces sp. NRRL F-7442,LGEH01000116.1,61283,63619,3.1488,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000004.1,475403,477739,3.1489,1,1
Streptomyces sp. NRRL F-4711,LGCX01000213.1,147311,149647,3.1485,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000213.1,147311,149707,3.1484,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000001.1,147441,149837,3.1483,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000013.1,88397,90793,3.1484,1,1
Streptomyces sp. VN1,NZ_CP036534.1,1012200,1014602,3.1448,1,1
Streptomyces sp. VN1,CP036534.1,1012278,1014602,3.1447,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000004.1,287860,290262,3.1448,1,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000002.1,106075,108447,3.1449,1,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000002.1,21215,23587,3.1449,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000009.1,234912,237299,3.1447,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,7313966,7316338,3.1443,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000004.1,492198,494585,3.1447,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000005.1,173542,175914,3.1443,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000005.1,173542,175914,3.1443,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000006.1,173542,175914,3.1443,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000011.1,71549,73921,3.1443,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000072.1,13532,15904,3.1443,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000005.1,172628,175000,3.1443,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000098.1,11876,14248,3.1443,1,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000006.1,160360,162732,3.1443,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000013.1,42091,44463,3.1435,1,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000014.1,198922,201294,3.1435,1,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000013.1,42609,44981,3.1435,1,1
Streptomyces sp. DH41,NZ_JARVKY010000017.1,189069,191423,3.1425,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000084.1,13424,15778,3.1425,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000013.1,42934,45288,3.1425,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000012.1,15286,17640,3.1425,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000014.1,15286,17640,3.1425,1,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000028.1,45620,47974,3.1427,1,1
Streptomyces sp. RM99,JAGPYI010000001.1,17072,19390,3.1439,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000001.1,17072,19450,3.1438,1,1
Streptomyces sp. Osf17,JADBJP010000001.1,1304162,1306480,3.1439,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,1304102,1306480,3.1438,1,1
Streptomyces sp. Babs14,JADBJQ010000002.1,1304412,1306730,3.1439,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,1304352,1306730,3.1438,1,1
Streptomyces sp. KAI 90,JAANNZ010000005.1,313637,315955,3.1439,1,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000005.1,313577,315955,3.1438,1,1
Streptomyces sp. SGAir0924,CP027297.1,1410525,1412843,3.1439,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,1410465,1412843,3.1438,1,1
Streptomyces sp. TOR3209,NZ_AGNH01000284.1,28579,30957,3.1439,1,1
Streptomyces sp. SS52,NZ_CP039123.1,1315096,1317474,3.1439,1,1
Streptomyces sp. SS52,CP039123.1,1315156,1317474,3.1439,1,1
Streptomyces sp. A144,NZ_CP083267.2,1361238,1363616,3.1439,1,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,1289192,1291570,3.1439,1,1
Streptomyces sp. DHE17-7,JACJDL010000001.1,1289252,1291570,3.1439,1,1
Streptomyces sp. CRB46,NZ_JACTMC010000023.1,12506,14884,3.1439,1,1
Streptomyces sp. RT42,NZ_JAGPYJ010000004.1,149975,152353,3.1439,1,1
Streptomyces sp. RT42,JAGPYJ010000004.1,149975,152293,3.1439,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000009.1,166203,168581,3.1439,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000001.1,155948,158326,3.1439,1,1
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000034.1,51231,53609,3.1436,1,1
Streptomyces sp. CS207,NZ_KZ819184.1,3103991,3106369,3.1439,1,1
Streptomyces sp. CS207,KZ819184.1,3103991,3106309,3.1439,1,1
Streptomyces sp. WAC04189,NZ_RPRT01000011.1,164943,167321,3.1439,1,1
Streptomyces sp. WAC04189,RPRT01000011.1,164943,167261,3.1439,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000006.1,150121,152499,3.1439,1,1
Streptomyces sp. WAC05458,RPRU01000006.1,150121,152439,3.1439,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000003.1,166255,168633,3.1439,1,1
Streptomyces sp. WAC08401,RPRV01000003.1,166255,168573,3.1439,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000017.1,41222,43600,3.1439,1,1
Streptomyces sp. WAC08452,RPRW01000017.1,41282,43600,3.1439,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000005.1,131996,134374,3.1439,1,1
Streptomyces sp. WAC02707,RPSB01000005.1,132056,134374,3.1439,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000005.1,150801,153179,3.1435,1,1
Streptomyces sp. WAC06128,RPSC01000005.1,150801,153119,3.1435,1,1
Streptomyces sp. WAC06273,NZ_RPSD01000006.1,150783,153161,3.1439,1,1
Streptomyces sp. WAC06273,RPSD01000006.1,150783,153101,3.1439,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000004.1,150929,153307,3.1437,1,1
Streptomyces sp. AN-3,NZ_JASBOE010000009.1,155705,158083,3.1438,1,1
Streptomyces sp. NPDC000351,NZ_JBEPDW010000054.1,18880,21252,3.1435,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000012.1,88167,90545,3.1437,1,1
Streptomyces sp. MBT28,NZ_LARV01000072.1,20729,23107,3.1437,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000054.1,366318,368699,3.1436,1,1
Streptomyces sp. M92,CP101137.1,6659549,6661852,3.1433,1,1
Streptomyces sp. M92,NZ_CP101137.1,6659489,6661852,3.1433,1,1
Streptomyces sp. NPDC057367,NZ_JBHVAT010000005.1,130738,133101,3.1433,1,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000020.1,87417,89780,3.1432,1,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000020.1,29177,31540,3.1432,1,1
Streptomyces sp. CC71,LOSR01000168.1,6760,9078,3.1432,1,1
Streptomyces sp. CC71,NZ_LOSR01000168.1,6700,9078,3.1432,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000032.1,63277,65658,3.1432,1,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000084.1,25620,28001,3.1432,1,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000066.1,6808,9189,3.1428,1,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000007.1,405970,408351,3.1431,1,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000015.1,172525,174906,3.1431,1,1
Streptomyces sp. CB02414,NZ_LIPF01000010.1,240806,243187,3.1428,1,1
Streptomyces sp. CB02414,LIPF01000010.1,240884,243187,3.1428,1,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000019.1,149571,151991,3.1416,1,1
Streptomyces sp. NPDC045251,NZ_JBEZAS010000019.1,119152,121515,3.1430,1,1
Streptomyces sp. NPDC029519,NZ_JBEZWF010000015.1,147038,149401,3.1430,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000002.1,158591,160987,3.1418,1,1
Streptomyces sp. A108,NZ_JACBYP010000119.1,13957,16377,3.1417,1,1
Streptomyces sp. A108,JACBYP010000119.1,14035,16377,3.1417,1,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000008.1,64718,67081,3.1429,1,1
