Organism,Scaffold,Start,End,Score,CAB92267.1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000006.1,276602,277172,1.0359,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000006.1,102297,102867,1.0359,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000001.1,279746,280316,1.0359,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000003.1,495959,496529,1.0359,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000001.1,408808,409378,1.0359,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000001.1,110478,111048,1.0358,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000002.1,394804,395374,1.0358,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000003.1,348233,348803,1.0358,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000058.1,15223,15793,1.0358,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000053.1,17887,18457,1.0358,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000024.1,15187,15757,1.0358,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000005.1,109901,110471,1.0358,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000015.1,109765,110335,1.0358,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000002.1,348345,348915,1.0358,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000002.1,520997,521567,1.0358,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,2965729,2966290,1.0346,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000002.1,311337,311898,1.0346,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000020.1,84496,85066,1.0366,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000021.1,61965,62535,1.0366,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000021.1,84464,85034,1.0366,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000022.1,84464,85034,1.0366,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000021.1,61965,62535,1.0366,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,2916126,2916696,1.0366,1
Streptomyces coelicolor,CP133591.1,2535238,2535808,1.0366,1
Streptomyces coelicolor M22,CP133590.1,2944349,2944919,1.0366,1
Streptomyces coelicolor M1152,CP181172.1,2944362,2944932,1.0366,1
Streptomyces coelicolor JCM 4020,AP025454.1,3101621,3102191,1.0363,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000019.1,84468,85038,1.0366,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000169.1,7617,8187,1.0366,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,2944305,2944875,1.0366,1
Streptomyces sp. 2114.2,NZ_LT629768.1,3139031,3139601,1.0364,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,3136592,3137162,1.0364,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000168.1,7629,8199,1.0363,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000302.1,7680,8250,1.0363,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000002.1,403160,403730,1.0363,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000012.1,4149,4719,1.0363,1
Streptomyces sp. LRa12,NZ_SSBN01000075.1,31769,32339,1.0363,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,5469538,5470108,1.0361,1
Streptomyces sp. 111WW2,NZ_MUYY01000068.1,31154,31724,1.0361,1
Streptomyces sp. RK76,NZ_JAGPYG010000002.1,194360,194930,1.0359,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000006.1,195569,196139,1.0359,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000007.1,171601,172171,1.0359,1
Streptomyces sp. WM6391,NZ_JXWX01000018.1,55932,56502,1.0359,1
Streptomyces sp. E5N91,NZ_RAIE01000672.1,7121,7691,1.0358,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000023.1,75580,76120,1.0322,1
Streptomyces sp. CB09001,NZ_CP026730.1,2286993,2287524,1.0317,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000015.1,62223,62781,1.0309,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000002.1,343232,343799,1.0308,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000034.1,49324,49915,1.0304,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000005.1,132422,132983,1.0299,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000001.1,411633,412194,1.0295,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000003.1,118977,119538,1.0295,1
Streptomyces sp. x-45,NZ_JAJPWL010000001.1,1003220,1003805,1.0294,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000001.1,827534,828119,1.0294,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000002.1,408775,409360,1.0293,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000001.1,113149,113734,1.0293,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000002.1,603014,603590,1.0288,1
Streptomyces sp. M1013,NZ_MQUH01000008.1,249049,249625,1.0287,1
Streptomyces sp. AD681,NZ_JAQISL010000013.1,114520,115123,1.0286,1
Streptomyces sp. CS113,NZ_KZ195574.1,5619826,5620426,1.0285,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000002.1,422148,422727,1.0284,1
Streptomyces sp. BBFR25,NZ_CP172447.1,3076956,3077532,1.0284,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000016.1,12296,12863,1.0283,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000001.1,507884,508451,1.0283,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000001.1,382670,383234,1.0281,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000001.1,371918,372482,1.0281,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,1912287,1912857,1.0281,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000014.1,29932,30496,1.0280,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000002.1,236943,237507,1.0280,1
Streptomyces sp. RM72,NZ_JAGPYH010000012.1,180976,181543,1.0280,1
Streptomyces sp. MH60,NZ_MULI01000082.1,10311,10917,1.0280,1
Streptomyces sp. E5N298,NZ_RAIG01000465.1,9725,10301,1.0279,1
Streptomyces sp. RK23,NZ_JAGPYB010000012.1,94358,94928,1.0278,1
Streptomyces sp. RK74B,NZ_JAGPYE010000004.1,94365,94935,1.0278,1
Streptomyces sp. SID5914,WWHW01001296.1,2316,2901,1.0276,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000422.1,926,1490,1.0275,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000336.1,1335,1899,1.0275,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000003.1,349382,349991,1.0274,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000002.1,370318,370882,1.0273,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000001.1,362672,363257,1.0270,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000099.1,15039,15648,1.0258,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000001.1,366743,367361,1.0256,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000001.1,521957,522578,1.0253,1
Streptomyces sp. PB17,NZ_JBJPFQ010000012.1,123842,124451,1.0248,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000003.1,489275,489836,1.0248,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000003.1,359042,359636,1.0247,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000002.1,358959,359553,1.0247,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000007.1,275972,276572,1.0244,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000033.1,142273,142852,1.0243,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000010.1,22223,22790,1.0243,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000024.1,21559,22126,1.0243,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000001.1,289961,290513,1.0241,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000001.1,463318,463885,1.0241,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000017.1,222607,223180,1.0240,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000008.1,21062,21656,1.0240,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000011.1,21062,21656,1.0240,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000019.1,57238,57814,1.0240,1
Streptomyces sp. MS2A,JAQIOU010000001.1,217220,217796,1.0239,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000011.1,938,1532,1.0239,1
Streptomyces sp. V17-9,NZ_CP074111.1,2787994,2788588,1.0239,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000002.1,347709,348276,1.0239,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000013.1,64901,65468,1.0239,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000132.1,98637,99204,1.0239,1
Streptomyces sp. KPB2,NZ_CP034353.1,5323030,5323651,1.0239,1
Streptomyces sp. NA03103,NZ_CP054920.1,5291064,5291685,1.0239,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000007.1,230341,230962,1.0239,1
Streptomyces sp. G3,NZ_JAMOZC010000016.1,32809,33403,1.0239,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,5317529,5318123,1.0238,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000236.1,12026,12620,1.0238,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,5709771,5710347,1.0238,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000008.1,252481,253057,1.0238,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000001.1,274630,275224,1.0238,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000003.1,390867,391461,1.0238,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000003.1,553413,554007,1.0238,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000006.1,346293,346860,1.0237,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,5399659,5400253,1.0238,1
Streptomyces sp. PU10,NZ_JAVCPQ010000001.1,2686620,2687214,1.0238,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000005.1,432992,433559,1.0236,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000271.1,9625,10192,1.0236,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000009.1,115307,115901,1.0236,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000002.1,554739,555333,1.0236,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000017.1,164285,164906,1.0236,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000063.1,29281,29875,1.0236,1
Streptomyces sp. BK208,NZ_SOAV01000002.1,378648,379224,1.0235,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000001.1,545606,546200,1.0236,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,5552854,5553448,1.0236,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000144.1,16523,17117,1.0236,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000136.1,14808,15402,1.0235,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000078.1,16653,17247,1.0235,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000048.1,57234,57828,1.0235,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000002.1,545740,546334,1.0235,1
Streptomyces sp. H23,NZ_SOPG01000004.1,305390,305984,1.0235,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000002.1,348593,349160,1.0235,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000004.1,15939,16560,1.0236,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000001.1,252563,253157,1.0234,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000003.1,375434,376055,1.0234,1
Streptomyces sp. ICN988,NZ_JAOVZD010000173.1,14299,14920,1.0234,1
Streptomyces sp. CoH17,NZ_JAPELJ010000001.1,535996,536563,1.0233,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000002.1,325606,326230,1.0233,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000001.1,348176,348770,1.0233,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000017.1,29366,29987,1.0233,1
Streptomyces sp. NRRL WC-3753,LGKF01000668.1,217444,217969,1.0231,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000003.1,394872,395466,1.0232,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000005.1,92764,93340,1.0231,1
Streptomyces sp. A108,NZ_JACBYP010000015.1,42007,42631,1.0231,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000036.1,37969,38539,1.0227,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000123.1,4514,5156,1.0228,1
Streptomyces sp. R1,NZ_JAJIBA010000039.1,4656,5241,1.0226,1
Streptomyces sp. BBFR51,NZ_CP172448.1,3052696,3053293,1.0224,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,2660654,2661296,1.0225,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,5678211,5678763,1.0224,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000001.1,172057,172609,1.0222,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000001.1,992604,993156,1.0222,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000001.1,372833,373385,1.0222,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000032.1,80745,81297,1.0222,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000206.1,886,1438,1.0222,1
Streptomyces sp. BK79,NZ_JBHVOC010000002.1,73548,74073,1.0221,1
Streptomyces sp. SID5926,WWHV01002690.1,549,882,1.0218,1
Streptomyces sp. NPDC044948,NZ_JBEZBI010000043.1,23229,23796,1.0221,1
Streptomyces sp. WAC06273,RPSD01000001.1,964135,964627,1.0219,1
Streptomyces sp. WAC06273,NZ_RPSD01000001.1,964135,964744,1.0220,1
Streptomyces sp. VITNK9,NZ_JACWAA010000002.1,356099,356708,1.0220,1
Streptomyces sp. CS207,NZ_KZ819184.1,1549416,1550025,1.0220,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000013.1,23331,23910,1.0219,1
Streptomyces sp. SS52,CP039123.1,2903042,2903534,1.0218,1
Streptomyces sp. SS52,NZ_CP039123.1,2903042,2903651,1.0219,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000046.1,31944,32511,1.0218,1
Streptomyces sp. CRB46,NZ_JACTMC010000391.1,3399,4008,1.0219,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000111.1,17811,18396,1.0218,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000001.1,531588,532173,1.0218,1
Streptomyces sp. NPDC006367,NZ_JBEXQL010000016.1,38211,38757,1.0217,1
Streptomyces sp. NPDC006384,NZ_JBIAHR010000008.1,145148,145694,1.0217,1
Streptomyces sp. 067-1,NZ_JAJPWA010000001.1,299104,299737,1.0218,1
Streptomyces sp. NPDC006284,NZ_JBEXRY010000002.1,345632,346160,1.0217,1
Streptomyces sp. RM99,NZ_JAGPYI010000003.1,396809,397418,1.0218,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,5346496,5347129,1.0218,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,5630626,5631259,1.0217,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000001.1,365562,366138,1.0216,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,5682136,5682784,1.0217,1
Streptomyces sp. E2N166,NZ_RAIF01000012.1,1076156,1076705,1.0212,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000005.1,21559,22135,1.0212,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000008.1,21559,22135,1.0212,1
Streptomyces sp. WAC 04229,NZ_QHJH01000193.1,7734,8262,1.0211,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000003.1,304752,305319,1.0211,1
Streptomyces sp. NPDC016675,NZ_JBIBQW010000001.1,782196,782724,1.0211,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000002.1,404442,404985,1.0211,1
Streptomyces sp. CS159,NZ_KZ195577.1,5443387,5443843,1.0209,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000034.1,69654,70242,1.0211,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000006.1,354490,355069,1.0210,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000002.1,556461,556983,1.0209,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000101.1,49560,50058,1.0208,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000001.1,371521,372058,1.0208,1
Streptomyces sp. SID5789,NZ_WWHZ01000756.1,1206,1743,1.0208,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000004.1,145278,145827,1.0207,1
Streptomyces sp. FXJ7.023,NZ_APIV01000010.1,129416,130043,1.0207,1
Streptomyces sp. VN1,NZ_CP036534.1,2655271,2655898,1.0207,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000011.1,138095,138722,1.0207,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000060.1,31484,32012,1.0205,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000022.1,109759,110287,1.0205,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000006.1,966,1494,1.0205,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000002.1,389473,389977,1.0204,1
Streptomyces sp. NBUA17,NZ_CP172414.1,2935491,2936118,1.0205,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000002.1,568595,569105,1.0204,1
Streptomyces sp. NPDC056568,NZ_JBHTUU010000005.1,358282,358810,1.0204,1
Streptomyces sp. NPDC057074,NZ_JBHUTI010000693.1,2585,3112,1.0202,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000001.1,337232,337760,1.0202,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000022.1,50354,50864,1.0202,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000011.1,50355,50865,1.0202,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000009.1,75768,76308,1.0202,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,2575656,2576184,1.0202,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000001.1,364455,364983,1.0202,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000001.1,362509,363037,1.0202,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,2780062,2780602,1.0202,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000001.1,112362,112932,1.0202,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000003.1,583955,584465,1.0201,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000001.1,373378,373888,1.0201,1
Streptomyces sp. SGAir0924,CP027297.1,2981866,2982358,1.0201,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,2981866,2982475,1.0202,1
Streptomyces sp. WAC08401,RPRV01000015.1,163300,163792,1.0201,1
Streptomyces sp. WAC08401,NZ_RPRV01000015.1,163183,163792,1.0202,1
Streptomyces sp. STD 3.1,JAKFGY010000019.1,44960,45488,1.0201,1
Streptomyces sp. Osf17,JADBJP010000001.1,2935294,2935903,1.0201,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,2935294,2935774,1.0198,1
Streptomyces sp. Babs14,JADBJQ010000002.1,2935498,2936107,1.0201,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,2935498,2935978,1.0198,1
Streptomyces sp. AN-3,NZ_JASBOE010000001.1,992924,993533,1.0200,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,2859474,2860083,1.0200,1
Streptomyces sp. WAC05458,RPRU01000016.1,16197,16689,1.0199,1
Streptomyces sp. WAC05458,NZ_RPRU01000016.1,16197,16806,1.0199,1
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000001.1,173214,173823,1.0200,1
Streptomyces sp. MBT28,NZ_LARV01000122.1,16271,16880,1.0199,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000032.1,44947,45469,1.0198,1
Streptomyces sp. KAI 90,JAANNZ010000003.1,340879,341371,1.0197,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000003.1,340762,341371,1.0198,1
Streptomyces sp. WAC02707,RPSB01000070.1,15717,16209,1.0197,1
Streptomyces sp. WAC02707,NZ_RPSB01000070.1,15600,16209,1.0198,1
Streptomyces sp. WAC06128,RPSC01000006.1,232950,233442,1.0197,1
Streptomyces sp. WAC06128,NZ_RPSC01000006.1,232833,233442,1.0198,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000002.1,161862,162396,1.0197,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000001.1,55445,55979,1.0197,1
Streptomyces sp. BRB040,NZ_CP155141.1,5330693,5331155,1.0197,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000090.1,59561,60089,1.0197,1
Streptomyces sp. RT42,NZ_JAGPYJ010000002.1,338803,339412,1.0198,1
Streptomyces sp. TOR3209,NZ_AGNH01000117.1,71232,71841,1.0198,1
Streptomyces sp. DH1,NZ_JAHWGV010000002.1,163342,163951,1.0198,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000011.1,338514,339123,1.0198,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000006.1,388864,389377,1.0197,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000006.1,388874,389387,1.0197,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000038.1,1221,1734,1.0197,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000021.1,32399,32912,1.0197,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000001.1,393444,393957,1.0197,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000001.1,360821,361334,1.0197,1
Streptomyces sp. A144,NZ_CP083267.2,2927644,2928253,1.0198,1
Streptomyces sp. CC302I,NZ_JBHOFE010000029.1,1352,1832,1.0196,1
Streptomyces sp. WAC04189,RPRT01000015.1,202579,203071,1.0195,1
Streptomyces sp. WAC04189,NZ_RPRT01000015.1,202591,203071,1.0192,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000355.1,0,381,1.0194,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000009.1,114439,114976,1.0196,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000022.1,108664,109252,1.0196,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000207.1,10730,11357,1.0196,1
Streptomyces sp. CB09030,NZ_CP094676.1,7081379,7082006,1.0196,1
Streptomyces sp. WAC08452,RPRW01000006.1,144605,145097,1.0194,1
Streptomyces sp. WAC08452,NZ_RPRW01000006.1,144488,145097,1.0194,1
Streptomyces sp. CC71,LOSR01000246.1,15971,16463,1.0194,1
Streptomyces sp. CC71,NZ_LOSR01000246.1,15971,16580,1.0194,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,5278712,5279219,1.0193,1
Streptomyces sp. VNUA74,NZ_CP133215.1,2500465,2500972,1.0193,1
Streptomyces sp. LKA04,NZ_JBLUUE010000001.1,256894,257401,1.0193,1
Streptomyces sp. SID5606,NZ_WWIE01000236.1,1297,1804,1.0193,1
Streptomyces sp. 049-1,NZ_JAJPVW010000019.1,116013,116562,1.0193,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000002.1,372691,373216,1.0193,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000005.1,58056,58581,1.0193,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000009.1,67503,68028,1.0192,1
Streptomyces sp. Tu 4128,NZ_QTSY01000081.1,347569,348118,1.0192,1
Streptomyces sp. B146,NZ_CP102359.1,2788162,2788789,1.0193,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000020.1,87043,87670,1.0193,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000015.1,76217,76736,1.0191,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000003.1,13766,14303,1.0191,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000002.1,375705,376242,1.0191,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000001.1,264518,265118,1.0189,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000042.1,79412,80051,1.0187,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000007.1,79457,80096,1.0187,1
Streptomyces sp. M92,NZ_CP101137.1,980745,981276,1.0184,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000001.1,304371,304986,1.0185,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000001.1,684440,685055,1.0185,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000035.1,73762,74293,1.0183,1
