Organism,Scaffold,Start,End,Score,NP_626681.1,NP_626682.1,NP_626683.1,NP_626684.1,NP_626685.1,NP_626686.1,NP_626687.1,NP_626688.1,NP_626689.1,NP_626690.1,NP_626691.1,NP_626692.1,NP_626693.1,NP_626694.1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,5997456,6019243,28.3135,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,5997456,6019243,28.3167,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000005.1,73946,95745,28.3153,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000002.1,611916,633703,28.3135,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000022.1,67871,89645,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000012.1,27051,48825,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000021.1,27051,48825,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000021.1,27051,48825,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000021.1,27051,48825,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000024.1,27051,48825,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000021.1,27051,48825,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000002.1,585474,607228,28.3126,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000007.1,221038,242828,28.3140,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000001.1,680527,702334,28.3149,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000003.1,73941,95748,28.3149,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000001.1,176744,198512,28.3149,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000002.1,676932,698712,28.3147,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000002.1,676932,698712,28.3172,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,5652653,5674440,28.3134,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,CP109571.1,5652653,5674440,28.3166,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000001.1,704397,726160,28.3131,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000002.1,80293,102091,28.3137,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,2637208,2658958,28.3151,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,2637208,2658958,28.3183,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000009.1,132894,154665,28.3154,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000003.1,418263,440029,28.3131,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000001.1,663643,685409,28.3131,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000003.1,202024,223799,28.3145,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000002.1,151138,172940,28.3122,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000001.1,416327,438092,28.3176,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,5870443,5892227,28.3124,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,2830827,2852587,21.9998,1,0,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces lividans 1326,CM001889.1,2830869,2852587,21.9966,1,0,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces lividans TK24,NZ_CP009124.1,5695625,5717382,28.3147,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_GG657756.1,5668766,5690586,25.1672,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,5695625,5717382,28.3172,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,GG657756.1,5668766,5690544,25.1679,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,2609988,2631745,28.3172,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,5731113,5752870,28.3172,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,5710976,5732733,28.3172,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,2616331,2638102,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,2616331,2638102,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000001.1,221196,242967,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000001.1,221196,242967,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,2616325,2638096,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,5830434,5852214,28.3183,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,CP137734.1,5830434,5852214,28.3152,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,JBHTEW010000002.1,5841750,5863519,12.6334,1,0,1,0,1,1,0,1,0,1,1,1,0,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000004.1,135593,157368,28.3126,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000008.1,220753,242524,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,JAATOK010000008.1,220753,242524,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000001.1,694309,716080,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000001.1,694309,716080,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000008.1,79966,101737,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000008.1,79966,101737,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000009.1,221196,242967,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000009.1,221196,242967,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000001.1,220681,242452,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000001.1,220681,242452,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,2772935,2794715,28.3175,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,2588296,2610067,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,2207256,2229027,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,2616368,2638139,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,2616381,2638152,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000002.1,547244,569027,28.3063,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000004.1,220784,242555,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000006.1,270940,292700,28.3173,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,JARAXW010000006.1,270940,292700,28.3142,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000008.1,206955,228740,28.3173,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,JARAYG010000008.1,206955,228740,28.3142,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000007.1,135527,157284,28.3147,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,JXWX01000007.1,135527,157242,28.3123,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,2616325,2638096,28.3211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,2616325,2638096,28.3243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000005.1,277265,299045,25.2288,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000002.1,74090,95866,28.3133,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000029.1,33384,49860,23.9919,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. ME02-6977A,JARAYD010000029.1,33384,49860,23.9888,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. 2114.2,NZ_LT629768.1,2810445,2832213,28.3142,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,2810445,2832213,28.3174,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,2807967,2829735,28.3142,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,2807967,2829735,28.3174,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000073.1,531,8234,13.4600,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,5770248,5792034,28.3125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000002.1,673902,695514,28.2202,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000013.1,66744,88837,28.2134,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000014.1,111129,134260,23.0901,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000001.1,191305,213068,28.2078,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000001.1,777614,799393,28.2062,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000003.1,484728,506507,28.2062,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,1942236,1963944,28.2042,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000008.1,154584,176332,28.2356,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000024.1,18757,40459,28.2029,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ARC32,CP096673.1,5669092,5676924,13.4160,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. BRB040,NZ_CP155141.1,5618890,5633479,18.7774,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,5659100,5673681,18.7787,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. OM5714,WHZR01000001.1,5659100,5673681,18.7752,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,5972712,5987268,18.7812,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000033.1,177,16624,23.9125,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CS159,NZ_KZ195577.1,5770608,5785283,18.7726,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. 067-1,NZ_JAJPWA010000001.1,579632,594211,18.7786,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. BK208,NZ_SOAV01000002.1,656854,672094,18.7588,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. BK208,SOAV01000002.1,656854,672094,18.7568,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,5921756,5936395,18.7761,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. KO7888,WXVT01000001.1,5921756,5936395,18.7732,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. AD681,NZ_JAQISL010000008.1,38845,60686,28.1599,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000008.1,124744,146612,28.1627,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,JAGPYB010000008.1,124744,146612,28.1596,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000040.1,45313,67181,28.1627,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,JAGPYE010000040.1,45313,67181,28.1596,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000001.1,621809,634733,13.6427,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000008.1,172897,185825,13.6464,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000010.1,36542,59322,25.0163,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000001.1,649759,669189,13.6497,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000002.1,658226,679896,28.1463,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,6062177,6091908,13.6496,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. CCM_MD2014,CP009754.1,6062177,6091866,13.6493,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000013.1,63320,93057,13.6500,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000002.1,170532,200257,13.6497,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000003.1,637089,650094,13.6469,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000002.1,637006,650011,13.6469,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000003.1,195226,210200,18.7559,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000004.1,309529,324305,13.6696,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000001.1,241204,256092,18.7953,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000098.1,305,13419,17.7140,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC091294,NZ_JBIVUP010000001.1,670635,692321,28.1509,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000063.1,5637,29491,28.0787,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000001.1,230285,253802,28.0787,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000007.1,90415,113233,28.0812,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000045.1,33724,42816,15.5124,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. BSE6.1,NZ_CP085300.1,5692967,5708076,18.7820,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,5698519,5713622,18.7821,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000003.1,676326,691368,18.7802,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. G3,NZ_JAMOZC010000017.1,74066,89178,18.7803,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000014.1,101928,117124,18.7984,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000016.1,100580,115646,18.7956,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000001.1,226316,241086,18.7973,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000003.1,651941,666960,18.7843,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000007.1,282230,297296,18.7956,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000002.1,261712,276958,18.7968,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000004.1,202475,217588,18.7889,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000001.1,168514,183311,13.6695,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000001.1,677537,699221,28.1481,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000026.1,80091,94984,18.7985,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000021.1,24578,39827,15.7429,1,0,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NRRL WC-3753,LGKF01000668.1,724714,739372,18.7713,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000008.1,50951,65601,18.7962,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000001.1,12631,27174,18.7610,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. PB17,NZ_JBJPFQ010000003.1,337008,358895,28.1511,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,5933078,5954973,28.1518,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,5933078,5954973,28.1547,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000003.1,244640,259802,18.7967,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000005.1,236110,257801,28.1444,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000002.1,524915,546579,28.1338,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,5606943,5621553,18.7976,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. KPB2,CP034353.1,5608453,5621553,17.7298,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NA03103,NZ_CP054920.1,5585971,5600615,18.7985,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NA03103,CP054920.1,5587468,5600615,17.7307,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NBC_01124,NZ_CP108643.1,5836388,5850991,18.7957,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. PU10,NZ_JAVCPQ010000001.1,2387746,2402414,18.7957,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000017.1,79468,94124,18.7968,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000007.1,79895,94710,18.7951,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000040.1,52661,67331,18.7953,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000025.1,59262,73892,18.7981,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000002.1,242520,257158,18.7836,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. H23,NZ_SOPG01000015.1,126833,141355,18.7963,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000003.1,157835,173060,18.7809,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000013.1,166506,181401,18.7798,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000012.1,111,13489,16.7076,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. ICN988,NZ_JAOVZD010000075.1,13347,26459,17.7320,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. V17-9,NZ_CP074111.1,2479903,2494988,18.7805,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. V17-9,CP074111.1,2479903,2494988,18.7804,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000012.1,8407,30182,28.1238,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000004.1,561464,583735,28.0741,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000002.1,58816,81061,28.0724,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000010.1,12901,48088,28.1034,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000010.1,252608,275068,28.1534,1,1,1,1,1,1,1,1,1,1,1,1,1,1
