Organism,Scaffold,Start,End,Score,CAB60185.1
Streptomyces sp. NPDC017520,NZ_JBIRKB010000009.1,54649,55594,1.0387,1
Streptomyces sp. 021-4,NZ_JAJPVS010000008.1,39800,40670,1.0385,1
Streptomyces sp. SM11,NZ_NEUE01000298.1,134040,134985,1.0386,1
Streptomyces sp. MMBL 11-1,NZ_CP117709.1,39961,40906,1.0385,1
Streptomyces sp. NPDC017546,NZ_JBIRJT010000013.1,35738,36683,1.0385,1
Streptomyces sp. st77,NZ_NTGU01000011.1,117692,118580,1.0384,1
Streptomyces sp. NPDC020330,NZ_JBIRWC010000010.1,325198,326143,1.0384,1
Streptomyces sp. NPDC020328,NZ_JBIRWD010000012.1,35833,36778,1.0384,1
Streptomyces sp. rh34,NZ_NTGZ01000011.1,3889,4834,1.0383,1
Streptomyces sp. CS014,NZ_KZ819154.1,7759546,7760491,1.0382,1
Streptomyces sp. CAI-121,JAANNV010000009.1,46174,47119,1.0382,1
Streptomyces sp. CAI-121,NZ_JAANNV010000009.1,46174,47062,1.0370,1
Streptomyces sp. CAI 127,JAANOC010000003.1,193780,194725,1.0382,1
Streptomyces sp. CAI 127,NZ_JAANOC010000003.1,193837,194725,1.0370,1
Streptomyces sp. CAI-68,JAANOD010000009.1,46174,47119,1.0382,1
Streptomyces sp. CAI-68,NZ_JAANOD010000009.1,46174,47062,1.0370,1
Streptomyces sp. SH5,NZ_CP123780.1,90837,91800,1.0382,1
Streptomyces sp. ScaeMP-e10,NZ_KB891311.1,461788,462739,1.0381,1
Streptomyces sp. SID5594,NZ_WWIF01000005.1,461788,462739,1.0381,1
Streptomyces sp. ARC14,CP096674.1,30627,31578,1.0380,1
Streptomyces sp. ARC14,NZ_CP096674.1,30627,31497,1.0367,1
Streptomyces sp. b84,NZ_NTHJ01000001.1,162791,163736,1.0380,1
Streptomyces sp. NPDC094466,NZ_JBIWGQ010000041.1,5852,6797,1.0380,1
Streptomyces sp. W007,NZ_AGSW01000252.1,72736,73681,1.0379,1
Streptomyces sp. W007,AGSW01000252.1,72736,73651,1.0368,1
Streptomyces sp. CB00072,NZ_LIPB01000005.1,134952,135897,1.0379,1
Streptomyces sp. wa1071,NZ_NTGN01000498.1,497,1442,1.0379,1
Streptomyces sp. wa1063,NZ_NTGO01000277.1,4291,5236,1.0379,1
Streptomyces sp. wa1002,NZ_NTGP01000236.1,4269,5214,1.0379,1
Streptomyces sp. or20,NZ_NTHA01000010.1,72647,73592,1.0379,1
Streptomyces sp. DH8,NZ_JAHWGQ010000014.1,103806,104751,1.0379,1
Streptomyces sp. NBC_01116,NZ_CP108644.1,335907,336852,1.0379,1
Streptomyces sp. NPDC087897,NZ_JBIUUF010000026.1,19339,20284,1.0378,1
Streptomyces sp. NPDC088180,NZ_JBIUSJ010000012.1,123175,124120,1.0378,1
Streptomyces sp. ZL-24,MTHF01000004.1,243233,244184,1.0378,1
Streptomyces sp. ZL-24,NZ_MTHF01000004.1,243314,244184,1.0359,1
Streptomyces sp. HNA39,CP077652.1,126822,127773,1.0377,1
Streptomyces sp. HNA39,NZ_CP077652.1,126822,127692,1.0359,1
Streptomyces sp. RB110-2,NZ_JAEKDR010000004.1,295882,296827,1.0377,1
Streptomyces sp. RB110-2,JAEKDR010000004.1,295882,296788,1.0366,1
Streptomyces sp. RB110-1,NZ_JAEKDS010000003.1,748521,749466,1.0377,1
Streptomyces sp. RB110-1,JAEKDS010000003.1,748560,749466,1.0366,1
Streptomyces sp. AFD10,NZ_JASSVZ010000008.1,51962,52907,1.0377,1
Streptomyces sp. PBSH9,NZ_JAKZEO010000001.1,82706,83651,1.0377,1
Streptomyces sp. NE06-03C,NZ_JARAWM010000037.1,37199,38144,1.0377,1
Streptomyces sp. FL06-04B,NZ_JARAZN010000007.1,9497,10442,1.0377,1
Streptomyces sp. FL06-04B,JARAZN010000007.1,9554,10442,1.0364,1
Streptomyces sp. SID4944,WWIZ01000084.1,6773,7724,1.0377,1
Streptomyces sp. NPDC102283,NZ_JBIWLQ010000019.1,81796,82741,1.0377,1
Streptomyces sp. NPDC057644,NZ_JBHVHJ010000015.1,51270,52215,1.0376,1
Streptomyces sp. CBMAI 2042,RCOL01000001.1,41932,42865,1.0376,1
Streptomyces sp. CBMAI 2042,NZ_RCOL01000001.1,41932,42802,1.0370,1
Streptomyces sp. NPDC088719,NZ_JBIVLS010000012.1,121231,122176,1.0376,1
Streptomyces sp. NPDC098077,NZ_JBIWAX010000012.1,77976,78921,1.0376,1
Streptomyces sp. KAI-26,JAANNR010000003.1,481043,481994,1.0375,1
Streptomyces sp. KAI-26,NZ_JAANNR010000003.1,481124,481994,1.0358,1
Streptomyces sp. NPDC096095,NZ_JBEOSR010000015.1,119557,120463,1.0375,1
Streptomyces sp. NPDC057718,NZ_JBHVJL010000011.1,173576,174521,1.0375,1
Streptomyces sp. SID5614,NZ_WWID01000242.1,10199,11144,1.0375,1
Streptomyces sp. W4I9-2,NZ_JAUSXW010000001.1,8095988,8096933,1.0375,1
Streptomyces sp. EN16,NZ_MJAF01000003.1,139649,140594,1.0375,1
Streptomyces sp. ISL-111,JAGGOM010000001.1,312647,313598,1.0375,1
Streptomyces sp. ISL-111,NZ_JAGGOM010000001.1,312728,313598,1.0362,1
Streptomyces sp. C3-3,NZ_JAGPXG010000018.1,15375,16320,1.0375,1
Streptomyces sp. ISL-112,JAGGON010000032.1,26719,27670,1.0375,1
Streptomyces sp. ISL-112,NZ_JAGGON010000032.1,26719,27589,1.0362,1
Streptomyces sp. ISL-63,JAGGOV010000026.1,303100,304051,1.0375,1
Streptomyces sp. ISL-63,NZ_JAGGOV010000026.1,303181,304051,1.0362,1
Streptomyces sp. CB00316,LIXI01000008.1,29740,30691,1.0375,1
Streptomyces sp. CB00316,NZ_LIXI01000008.1,29740,30610,1.0362,1
Streptomyces sp. EN23,NZ_MJAI01000006.1,44459,45404,1.0375,1
Streptomyces sp. CAI-24,JAANOE010000002.1,987,1938,1.0375,1
Streptomyces sp. CAI-24,NZ_JAANOE010000002.1,987,1857,1.0357,1
Streptomyces sp. CAI-155,JAANOA010000002.1,54529,55480,1.0375,1
Streptomyces sp. CAI-155,NZ_JAANOA010000002.1,54529,55399,1.0357,1
Streptomyces sp. 404i,NZ_JAGPXH010000008.1,121076,122021,1.0375,1
Streptomyces sp. ID05-18,NZ_JARAZB010000004.1,462896,463841,1.0375,1
Streptomyces sp. NPDC017448,NZ_JBIRLM010000018.1,120815,121778,1.0375,1
Streptomyces sp. CS-7,JAJUKK010000005.1,189654,190599,1.0375,1
Streptomyces sp. CS-7,NZ_JAJUKK010000005.1,189711,190599,1.0362,1
Streptomyces sp. M54,CP059898.1,45946,46891,1.0374,1
Streptomyces sp. M54,NZ_CP059898.1,45946,46852,1.0363,1
Streptomyces sp. SS07,NZ_KZ268499.1,66477,67422,1.0374,1
Streptomyces sp. 7G,JAIUKD010000061.1,10432,11377,1.0374,1
Streptomyces sp. 7G,NZ_JAIUKD010000061.1,10489,11377,1.0362,1
Streptomyces sp. NP10,PDIQ01000028.1,67302,68247,1.0374,1
Streptomyces sp. NP10,NZ_PDIQ01000028.1,67359,68247,1.0362,1
Streptomyces sp. SID10692,NZ_JAAGLL010000157.1,1841,2786,1.0374,1
Streptomyces sp. SID10692,JAAGLL010000157.1,1841,2747,1.0363,1
Streptomyces sp. COG21,JAHHEH010000008.1,3475208,3476159,1.0374,1
Streptomyces sp. COG21,NZ_JAHHEH010000008.1,3475289,3476159,1.0357,1
Streptomyces sp. COG20,JAHHEG010000002.1,79856,80807,1.0374,1
Streptomyces sp. COG20,NZ_JAHHEG010000002.1,79856,80726,1.0357,1
Streptomyces sp. CYG21,JAHHEJ010000027.1,337049,338000,1.0374,1
Streptomyces sp. CYG21,NZ_JAHHEJ010000027.1,337130,338000,1.0357,1
Streptomyces sp. CBG30,JAHHEE010000066.1,17277,18228,1.0374,1
Streptomyces sp. CBG30,NZ_JAHHEE010000066.1,17277,18147,1.0357,1
Streptomyces sp. COG19,JAHHEF010000008.1,195513,196464,1.0374,1
Streptomyces sp. COG19,NZ_JAHHEF010000008.1,195594,196464,1.0357,1
Streptomyces sp. CYG20,JAHHEI010000006.1,12416,13367,1.0374,1
Streptomyces sp. CYG20,NZ_JAHHEI010000006.1,12497,13367,1.0357,1
Streptomyces sp. OUCMDZ-4982,JANRMN010000037.1,49308,50259,1.0374,1
Streptomyces sp. OUCMDZ-4982,NZ_JANRMN010000037.1,49308,50178,1.0357,1
Streptomyces sp. JS01,JPWW01000025.1,67680,68625,1.0374,1
Streptomyces sp. JS01,NZ_JPWW01000025.1,67737,68625,1.0362,1
Streptomyces sp. NPDC091406,NZ_JBIVTW010000004.1,72804,73749,1.0374,1
Streptomyces sp. NPDC091405,NZ_JBIVTX010000004.1,72804,73749,1.0374,1
Streptomyces sp. CB02130,LIXK01000006.1,423534,424479,1.0374,1
Streptomyces sp. CB02130,NZ_LIXK01000006.1,423591,424479,1.0362,1
Streptomyces sp. MBT72,JAENRV010000129.1,10044,10989,1.0373,1
Streptomyces sp. MBT72,NZ_JAENRV010000129.1,10101,10989,1.0360,1
Streptomyces sp. MBT67,JAENRX010000109.1,10165,11110,1.0373,1
Streptomyces sp. MBT67,NZ_JAENRX010000109.1,10222,11110,1.0360,1
Streptomyces sp. MBT60,JAENSB010000013.1,10448,11393,1.0373,1
Streptomyces sp. MBT60,NZ_JAENSB010000013.1,10505,11393,1.0360,1
Streptomyces sp. MBT61,JAENSA010000071.1,10113,11058,1.0373,1
Streptomyces sp. MBT61,NZ_JAENSA010000071.1,10170,11058,1.0360,1
Streptomyces sp. MBT59,JAEQAW010000066.1,10240,11185,1.0373,1
Streptomyces sp. MBT59,NZ_JAEQAW010000066.1,10297,11185,1.0360,1
Streptomyces sp. NRRL B-1381,NZ_JOHG01000003.1,47175,48120,1.0373,1
Streptomyces sp. SBI034,KP986447.1,1413,2364,1.0373,1
Streptomyces sp. LaPpAH-199,NZ_FMYS01000008.1,49205,50150,1.0372,1
Streptomyces sp. 020-2-3H-GM,NZ_JAJPVQ010000005.1,835104,836049,1.0372,1
Streptomyces sp. NRRL F-5681,NZ_JOHA01000006.1,92667,93612,1.0372,1
Streptomyces sp. SID8369,NZ_WWGL01000026.1,49205,50150,1.0372,1
Streptomyces sp. SID8369,WWGL01000026.1,49205,50111,1.0362,1
Streptomyces sp. NRRL F-2295,NZ_LGCY01000001.1,362161,363106,1.0372,1
Streptomyces sp. NRRL F-2295,LGCY01000001.1,362200,363106,1.0362,1
Streptomyces sp. JV180,NZ_JACGMP010000001.1,90290,91235,1.0372,1
Streptomyces sp. JV180,JACGMP010000001.1,90290,91196,1.0361,1
Streptomyces sp. NPDC006270,NZ_JBIAHX010000002.1,100716,101622,1.0371,1
Streptomyces sp. NPDC006267,NZ_JBEXSF010000004.1,321253,322159,1.0371,1
Streptomyces sp. NPDC057552,NZ_JBHVFJ010000007.1,55417,56287,1.0371,1
Streptomyces sp. NPDC057554,NZ_JBHVFL010000005.1,73218,74088,1.0371,1
