Organism,Scaffold,Start,End,Score,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,3228041,3233080,7.3383,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000253.1,6157,11196,7.3384,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,5375221,5380263,7.3395,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000031.1,45832,50871,7.3386,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000002.1,98394,103433,7.3382,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000006.1,99634,104673,7.3385,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000166.1,13904,18943,7.3382,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000027.1,99706,104745,7.3382,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000007.1,75741,80780,7.3380,1,1,1,1
Streptomyces sp. SID5926,WWHV01001074.1,511,5550,7.3315,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000019.1,83270,88321,7.3300,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000002.1,319949,324997,7.3289,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000226.1,8330,13363,7.3288,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000002.1,250265,255307,7.3307,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,5514882,5519924,7.3311,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,5514882,5519924,7.3313,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000237.1,34,5067,7.3287,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000013.1,209946,214985,7.3288,1,1,1,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,2048562,2053595,7.3290,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000012.1,187105,192138,7.3284,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000004.1,187112,192145,7.3284,1,1,1,1
Streptomyces sp. NPDC045251,NZ_JBEZAS010000002.1,64463,69493,7.3190,1,1,1,1
Streptomyces sp. NPDC029519,NZ_JBEZWF010000012.1,148376,153406,7.3190,1,1,1,1
Streptomyces sp. SID5914,WWHW01000513.1,6468,11501,7.3284,1,1,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,5002562,5007589,7.3199,1,1,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000001.1,169414,174444,7.3168,1,1,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000026.1,89848,94875,7.3196,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000003.1,252795,257843,7.3271,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01000668.1,115006,120033,7.3224,1,1,1,1
Streptomyces sp. SID5477,WWIG01001587.1,7763,12790,7.3232,1,1,1,1
Streptomyces sp. DH17,JARVKX010000003.1,322039,327066,7.3194,1,1,1,1
Streptomyces sp. Alain-F2R5,NQOS01000068.1,22721,27748,7.3193,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,5342525,5347558,7.3231,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,5342525,5347558,7.3233,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000013.1,71608,76659,7.3248,1,1,1,1
Streptomyces sp. MH60,MULI01000013.1,71608,76659,7.3240,1,1,1,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000030.1,68283,73325,7.3258,1,1,1,1
Streptomyces sp. alain-838,NQNW01000125.1,13045,18072,7.3196,1,1,1,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000011.1,160087,165117,7.3192,1,1,1,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000001.1,206339,211369,7.3190,1,1,1,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000001.1,778241,783271,7.3190,1,1,1,1
Streptomyces sp. CB02414,NZ_LIPF01000001.1,1063174,1068204,7.3190,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,5582728,5587755,7.3218,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,5582728,5587755,7.3219,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,5247482,5252509,7.3229,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,5530753,5535780,7.3231,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,3028501,3033531,7.3202,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,3028705,3033735,7.3202,1,1,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000003.1,490048,495078,7.3204,1,1,1,1
Streptomyces sp. RT42,NZ_JAGPYJ010000002.1,241145,246172,7.3197,1,1,1,1
Streptomyces sp. E2N166,NZ_RAIF01000012.1,1167597,1172627,7.3167,1,1,1,1
Streptomyces sp. 4F,NACY01000097.1,3245,8272,7.3190,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000003.1,197632,202668,7.3258,1,1,1,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000001.1,261707,266734,7.3196,1,1,1,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000010.1,258759,263789,7.3166,1,1,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000003.1,81773,86806,7.3178,1,1,1,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000001.1,55440,60473,7.3178,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000001.1,73057,78087,7.3171,1,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000001.1,1087126,1092156,7.3171,1,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000001.1,273833,278863,7.3171,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000001.1,200359,205389,7.3226,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000005.1,231051,236102,7.3277,1,1,1,1
Streptomyces sp. WAC04189,NZ_RPRT01000015.1,104868,109898,7.3199,1,1,1,1
Streptomyces sp. WAC04189,RPRT01000015.1,104868,109898,7.3201,1,1,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000015.1,65538,70568,7.3201,1,1,1,1
Streptomyces sp. WAC08401,RPRV01000015.1,65538,70568,7.3203,1,1,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000006.1,46776,51806,7.3201,1,1,1,1
Streptomyces sp. WAC08452,RPRW01000006.1,46776,51806,7.3203,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000012.1,221074,226140,7.3293,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000002.1,505526,510583,7.3260,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000001.1,209900,214957,7.3260,1,1,1,1
Streptomyces sp. AN-3,NZ_JASBOE010000001.1,1086101,1091128,7.3194,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000059.1,20332,25380,7.3260,1,1,1,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000001.1,458275,463305,7.3164,1,1,1,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000003.1,243133,248163,7.3197,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000011.1,83354,88396,7.3247,1,1,1,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000010.1,48711,53744,7.3180,1,1,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000002.1,80273,85306,7.3182,1,1,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000011.1,48773,53806,7.3180,1,1,1,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000019.1,46600,51633,7.3180,1,1,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000027.1,46618,51651,7.3180,1,1,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000012.1,128885,133918,7.3180,1,1,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000010.1,48705,53738,7.3180,1,1,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000003.1,133579,138612,7.3180,1,1,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000001.1,262763,267796,7.3180,1,1,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000001.1,893137,898170,7.3180,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000022.1,40471,45504,7.3182,1,1,1,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000001.1,892946,897979,7.3180,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,5565746,5570776,7.3170,1,1,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,3075122,3080152,7.3198,1,1,1,1
Streptomyces sp. SGAir0924,CP027297.1,3075122,3080152,7.3200,1,1,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000002.1,65612,70642,7.3199,1,1,1,1
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000001.1,75715,80745,7.3195,1,1,1,1
Streptomyces sp. MBT28,NZ_LARV01000130.1,18179,23209,7.3198,1,1,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000038.1,13015,18045,7.3201,1,1,1,1
Streptomyces sp. WAC02707,RPSB01000038.1,13015,18045,7.3201,1,1,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000007.1,177062,182092,7.3172,1,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000016.1,78923,83953,7.3172,1,1,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000002.1,692916,697958,7.3213,1,1,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000006.1,256856,261886,7.3162,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000049.1,26883,31925,7.3246,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000001.1,107871,112913,7.3245,1,1,1,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000010.1,87935,92971,7.3194,1,1,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000091.1,8552,13582,7.3156,1,1,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000002.1,496026,501056,7.3158,1,1,1,1
Streptomyces sp. A144,NZ_CP083267.2,3020825,3025855,7.3194,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000007.1,362577,367625,7.3229,1,1,1,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000007.1,169248,174284,7.3197,1,1,1,1
Streptomyces sp. CS207,NZ_KZ819184.1,1451844,1456874,7.3199,1,1,1,1
Streptomyces sp. CS207,KZ819184.1,1451844,1456874,7.3201,1,1,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000011.1,240923,245953,7.3196,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,5600774,5605816,7.3240,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,5600774,5605816,7.3246,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000008.1,348186,353228,7.3242,1,1,1,1
Streptomyces sp. SID6013,WWHS01001600.1,2502,7544,7.3248,1,1,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000006.1,135086,140116,7.3198,1,1,1,1
Streptomyces sp. WAC06128,RPSC01000006.1,135086,140116,7.3200,1,1,1,1
Streptomyces sp. TOR3209,NZ_AGNH01000122.1,26706,31736,7.3197,1,1,1,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,2952725,2957755,7.3195,1,1,1,1
Streptomyces sp. CRB46,NZ_JACTMC010000009.1,16886,21913,7.3192,1,1,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000002.1,258455,263485,7.3196,1,1,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000016.1,109413,114443,7.3196,1,1,1,1
Streptomyces sp. WAC05458,RPRU01000016.1,109413,114443,7.3198,1,1,1,1
Streptomyces sp. WAC06273,NZ_RPSD01000001.1,1057343,1062373,7.3195,1,1,1,1
Streptomyces sp. WAC06273,RPSD01000001.1,1057343,1062373,7.3197,1,1,1,1
Streptomyces sp. SS52,NZ_CP039123.1,2996279,3001309,7.3193,1,1,1,1
Streptomyces sp. SS52,CP039123.1,2996279,3001309,7.3195,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000017.1,113203,118245,7.3246,1,1,1,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000030.1,19895,24925,7.3154,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,5230738,5235765,7.3226,1,1,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000028.1,4831,9861,7.3194,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000001.1,265722,270740,7.3254,1,1,1,1
Streptomyces sp. NPDC016675,NZ_JBIBQW010000001.1,873587,878614,7.3160,1,1,1,1
Streptomyces sp. NPDC006284,NZ_JBEXRY010000002.1,447965,452992,7.3155,1,1,1,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000013.1,120504,125531,7.3156,1,1,1,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000003.1,59021,64048,7.3156,1,1,1,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000006.1,91999,97026,7.3156,1,1,1,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000003.1,302216,307288,7.3205,1,1,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000126.1,37024,42054,7.3178,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000012.1,43401,48446,7.3194,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000066.1,33991,39024,7.3250,1,1,1,1
Streptomyces sp. CC71,NZ_LOSR01000251.1,12916,17946,7.3184,1,1,1,1
Streptomyces sp. BK79,NZ_JBHVOC010000002.1,165651,170687,7.3176,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,2377609,2382642,7.3243,1,1,1,1
Streptomyces sp. CB09001,CP026730.1,2377609,2382642,7.3245,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,3155419,3160455,7.3205,1,1,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000005.1,116,5188,7.3205,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000001.1,255542,260614,7.3207,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000003.1,266304,271385,7.3208,1,1,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000002.1,266221,271302,7.3208,1,1,1,1
Streptomyces sp. NPDC057367,NZ_JBHVAT010000030.1,50098,55134,7.3187,1,1,1,1
Streptomyces sp. NPDC056568,NZ_JBHTUU010000005.1,260452,265479,7.3148,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000117.1,28211,33229,7.3219,1,1,1,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000042.1,34732,39762,7.3163,1,1,1,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000001.1,628922,633952,7.3163,1,1,1,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000001.1,428204,433231,7.3149,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000001.1,266575,271623,7.3197,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000002.1,262179,267197,7.3218,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000013.1,145898,150916,7.3218,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000116.1,28207,33225,7.3221,1,1,1,1
Streptomyces sp. BK208,NZ_SOAV01000002.1,284169,289226,7.3216,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000005.1,512614,517632,7.3221,1,1,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000259.1,127437,132455,7.3221,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000001.1,629569,634587,7.3220,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000001.1,1099701,1104782,7.3256,1,1,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000004.1,96213,101294,7.3252,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000003.1,580510,585549,7.3212,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000015.1,159889,164931,7.3260,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000002.1,263146,268164,7.3217,1,1,1,1
Streptomyces sp. M92,NZ_CP101137.1,1075816,1080852,7.3186,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000014.1,77342,82423,7.3251,1,1,1,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000094.1,11676,16706,7.3154,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000001.1,374448,379475,7.3203,1,1,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000005.1,159493,164523,7.3166,1,1,1,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000009.1,8537,13567,7.3166,1,1,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000028.1,9523,14553,7.3160,1,1,1,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000002.1,271902,276932,7.3157,1,1,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000009.1,164850,169880,7.3163,1,1,1,1
Streptomyces sp. Tu 4128,NZ_QTSY01000081.1,245126,250156,7.3163,1,1,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,2875387,2880417,7.3159,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,2754166,2759193,7.3225,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000126.1,8031,13058,7.3217,1,1,1,1
Streptomyces sp. NPDC044948,NZ_JBEZBI010000012.1,4874,9901,7.3212,1,1,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000006.1,246073,251115,7.3222,1,1,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000006.1,281697,286727,7.3161,1,1,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000006.1,281707,286737,7.3161,1,1,1,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000024.1,8523,13553,7.3161,1,1,1,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000030.1,8565,13595,7.3161,1,1,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000001.1,286277,291307,7.3161,1,1,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000001.1,463471,468501,7.3161,1,1,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000001.1,9528,14558,7.3156,1,1,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000002.1,653801,658831,7.3153,1,1,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,2672343,2677373,7.3150,1,1,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000001.1,263266,268296,7.3150,1,1,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000001.1,261324,266354,7.3156,1,1,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000019.1,14360,19390,7.3159,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000001.1,313969,319017,7.3266,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000003.1,21313,26361,7.3266,1,1,1,1
Streptomyces sp. VN1,NZ_CP036534.1,2758344,2763407,7.3159,1,1,1,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000002.1,52315,57345,7.3161,1,1,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000029.1,49132,54162,7.3161,1,1,1,1
Streptomyces sp. WAC 04229,NZ_QHJH01000129.1,12068,17098,7.3140,1,1,1,1
Streptomyces sp. WAC 04229,QHJH01000129.1,12068,17098,7.3142,1,1,1,1
Streptomyces sp. STD 3.1,JAKFGY010000029.1,56363,61393,7.3150,1,1,1,1
Streptomyces sp. NPDC052020,NZ_JBFAWY010000003.1,94297,99309,7.3080,1,1,1,1
Streptomyces sp. NPDC006134,NZ_JBEXTV010000086.1,15073,20145,7.3051,1,1,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000010.1,231810,236873,7.3154,1,1,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000011.1,30623,35686,7.3156,1,1,1,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000002.1,287015,292045,7.3155,1,1,1,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000045.1,9560,14590,7.3154,1,1,1,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000045.1,8611,13641,7.3154,1,1,1,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000002.1,663955,668985,7.3158,1,1,1,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000001.1,273376,278406,7.3158,1,1,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000002.1,273909,278939,7.3147,1,1,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000015.1,173475,178505,7.3150,1,1,1,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000041.1,9567,14597,7.3142,1,1,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000005.1,120417,125447,7.3139,1,1,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000008.1,120620,125650,7.3139,1,1,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000011.1,278661,283691,7.3152,1,1,1,1
Streptomyces sp. SID5910,NZ_WWHX01000399.1,10423,15447,7.3126,1,1,1,1
Streptomyces sp. SID5910,WWHX01000399.1,10423,15447,7.3127,1,1,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000004.1,289602,294626,7.3143,1,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000015.1,28335,33359,7.3190,1,1,1,1
Streptomyces sp. HMX87,NZ_JBKKQY010000001.1,4825416,4830446,7.3087,1,1,1,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000009.1,169572,174602,7.3149,1,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000004.1,241574,246604,7.3153,1,1,1,1
Streptomyces sp. CL12-4,NZ_JAFETE010000003.1,855618,860642,7.3118,1,1,1,1
Streptomyces sp. NPDC093586,NZ_JBIWJA010000001.1,346524,351551,7.3127,1,1,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000001.1,271987,277017,7.3146,1,1,1,1
Streptomyces sp. SID5789,NZ_WWHZ01000616.1,38,5068,7.3146,1,1,1,1
Streptomyces sp. SID5789,WWHZ01000616.1,38,5068,7.3147,1,1,1,1
Streptomyces sp. NPDC006367,NZ_JBEXQL010000016.1,127845,132872,7.3118,1,1,1,1
Streptomyces sp. NPDC006384,NZ_JBIAHR010000008.1,234782,239809,7.3118,1,1,1,1
Streptomyces sp. HO565,NZ_BPRK01000002.1,416193,421217,7.3130,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000005.1,27440,32482,7.3413,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000047.1,15571,20613,7.3413,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000002.1,216974,222016,7.3395,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000002.1,265522,270561,7.3389,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000015.1,15484,20523,7.3389,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000003.1,253918,258960,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000050.1,44318,49360,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000038.1,8743,13785,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000028.1,15635,20677,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000005.1,15586,20628,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000015.1,15450,20492,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000002.1,254030,259072,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000002.1,190200,195242,7.3402,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000001.1,15483,20522,7.3385,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,5577910,5582952,7.3393,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,3219386,3224425,7.3388,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000007.1,112292,117331,7.3385,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,3055479,3060521,7.3400,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,5588432,5593471,7.3385,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000009.1,53519,58558,7.3384,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000022.1,15654,20693,7.3386,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000001.1,195415,200457,7.3397,1,1,1,1
