Organism,Scaffold,Start,End,Score,CAB53319.1,CAB53320.1,CAB53322.1,CAB53328.1,CAB53329.1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,510822,533448,9.9554,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000015.1,75938,98564,9.9554,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,510822,533448,9.9554,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,8108349,8131054,9.9472,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000001.1,374488,397108,9.9479,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000008.1,27577,50267,9.9452,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000015.1,136948,159574,9.9554,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000013.1,75926,98552,9.9554,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000026.1,24858,47484,9.9554,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000013.1,75938,98564,9.9554,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000012.1,75926,98552,9.9554,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,494127,516832,9.9472,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,489168,511794,9.9554,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,101747,124373,9.9554,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,510857,533483,9.9554,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,510864,533490,9.9554,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000001.1,455570,478234,9.9461,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000010.1,7580,30232,9.9504,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,7884804,7907456,9.9504,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000010.1,136919,159545,9.9554,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000003.1,270972,293594,9.9523,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000009.1,8255,30884,9.9466,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000001.1,350746,373375,9.9466,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000002.1,200112,222732,9.9483,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000001.1,444236,466900,9.9493,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000001.1,32482,55140,9.9464,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,594131,616782,9.9489,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000005.1,47530,70150,9.9469,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,591708,614359,9.9489,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000003.1,39564,62212,9.9477,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,510822,533448,9.9554,1,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000005.1,108457,131058,9.8900,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000006.1,115445,138035,9.8918,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000039.1,8728,31325,9.8829,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000004.1,287436,310131,9.8308,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000006.1,70691,93386,9.8308,1,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000023.1,27071,49768,9.8298,1,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000001.1,375504,398233,9.8176,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000007.1,61,22693,9.8868,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000003.1,637218,659853,9.8884,1,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000001.1,318728,341392,9.8345,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000006.1,60799,83432,9.8874,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000002.1,310270,332889,9.8918,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000004.1,429944,452563,9.8918,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000004.1,321879,344605,9.8322,1,1,1,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000007.1,209525,232264,9.8314,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000002.1,857684,880417,9.8317,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000003.1,242065,264804,9.8314,1,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000014.1,4898,27586,9.8285,1,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000009.1,91314,114096,9.8347,1,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000028.1,9865,32560,9.8293,1,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,7507040,7529706,9.8108,1,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000011.1,116935,139664,9.8396,1,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000002.1,172323,195024,9.8444,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000003.1,249094,271815,9.8422,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000003.1,137655,160328,9.8431,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000024.1,100561,123282,9.8422,1,1,1,1,1
Streptomyces sp. M1013,NZ_MQUH01000001.1,379012,401730,9.8367,1,1,1,1,1
Streptomyces sp. E5N298,NZ_RAIG01000594.1,5782,28487,9.8382,1,1,1,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000010.1,91191,113879,9.8451,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000002.1,198519,221220,9.8227,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,438636,461335,9.8245,1,1,1,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000007.1,75244,97985,9.8380,1,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000006.1,217877,240618,9.8380,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,8122341,8145046,9.8378,1,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000001.1,79048,101727,9.8376,1,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000065.1,246882,269618,9.8098,1,1,1,1,1
Streptomyces sp. NPDC053750,NZ_JBITXB010000009.1,134738,157383,9.7829,1,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,8266522,8289176,9.8153,1,1,1,1,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000006.1,102161,124899,9.7891,1,1,1,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000066.1,198897,221780,9.7853,1,1,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000010.1,95096,117950,9.8074,1,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000003.1,389161,412087,9.8171,1,1,1,1,1
Streptomyces sp. BK208,NZ_SOAV01000001.1,224098,247002,9.8108,1,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000011.1,129433,152291,9.8100,1,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000012.1,129456,152314,9.8099,1,1,1,1,1
Streptomyces sp. VN1,NZ_CP036534.1,7910264,7933343,9.7843,1,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000008.1,104200,127058,9.8121,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000010.1,253765,276623,9.8098,1,1,1,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000236.1,129271,152129,9.8098,1,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000173.1,49296,72154,9.8103,1,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000149.1,15412,38270,9.8103,1,1,1,1,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000007.1,14480,37383,9.8160,1,1,1,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000013.1,86557,109444,9.8151,1,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000002.1,260820,283699,9.8145,1,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000010.1,262856,285764,9.8147,1,1,1,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000001.1,744406,767285,9.8145,1,1,1,1,1
Streptomyces sp. NPDC050164,NZ_JBITJK010000005.1,359475,382264,9.7807,1,1,1,1,1
Streptomyces sp. HC307,NZ_CP176503.1,2069809,2092553,9.7908,1,1,1,1,1
Streptomyces sp. NPDC059862,NZ_JBHWJR010000051.1,16209,38874,9.7921,1,1,1,1,1
Streptomyces sp. NPDC059866,NZ_JBHWJT010000003.1,120898,143628,9.7989,1,1,1,1,1
Streptomyces sp. NPDC127197,NZ_JBHXVG010000016.1,16203,38868,9.7903,1,1,1,1,1
Streptomyces sp. F001,NZ_QZWF01000011.1,148433,171293,9.7927,1,1,1,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,8136463,8159541,9.7888,1,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000011.1,197670,220556,9.8095,1,1,1,1,1
Streptomyces sp. NPDC002838,NZ_JBEOVF010000021.1,72403,95039,9.7924,1,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000015.1,80255,103116,9.8107,1,1,1,1,1
Streptomyces sp. B146,NZ_CP102359.1,7938107,7961227,9.7838,1,1,1,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000004.1,196071,219193,9.7874,1,1,1,1,1
Streptomyces sp. NPDC000070,NZ_JBEPFN010000004.1,399652,432935,9.7868,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000012.1,359551,382490,9.8308,1,1,1,1,1
Streptomyces sp. DH41,NZ_JARVKY010000004.1,201597,224306,9.7866,1,1,1,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000070.1,6867,29576,9.7861,1,1,1,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000003.1,272261,294970,9.7862,1,1,1,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000035.1,6835,29544,9.7872,1,1,1,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000035.1,6835,29544,9.7872,1,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,130621,153550,9.8184,1,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000006.1,353719,376649,9.8166,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,126211,149144,9.8151,1,1,1,1,1
Streptomyces sp. OM5714,WHZR01000001.1,126211,149144,9.8149,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001112.1,146125,169055,9.8096,1,1,1,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,4057642,4080749,9.7864,1,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,145158,168088,9.8107,1,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000002.1,570158,593057,9.8116,1,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,193475,216405,9.8231,1,1,1,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000007.1,328081,350911,9.7952,1,1,1,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000005.1,135840,158670,9.7965,1,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,125730,148660,9.8176,1,1,1,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000014.1,37874,60772,9.7976,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000004.1,1112379,1135009,9.9183,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000313.1,5966,28563,9.9216,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000033.1,21186,43783,9.9195,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000017.1,122275,144904,9.9197,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000031.1,21149,43746,9.9211,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000027.1,53931,76511,9.9211,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000020.1,21148,43745,9.9207,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000023.1,23074,45705,9.9188,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000002.1,387679,410390,9.8256,1,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000002.1,266831,289542,9.8283,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000003.1,372182,394881,9.8213,1,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000002.1,221221,243920,9.8213,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000007.1,219563,242244,9.8306,1,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000007.1,44279,66953,9.8307,1,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000018.1,124,22805,9.8336,1,1,1,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000006.1,57681,80381,9.8242,1,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000015.1,45539,68271,9.8262,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000006.1,44258,66928,9.8299,1,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000001.1,201757,224450,9.8215,1,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000002.1,231790,254497,9.8228,1,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000002.1,361933,384649,9.8252,1,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000005.1,103374,126096,9.8242,1,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000001.1,436963,459677,9.8251,1,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000002.1,362119,384847,9.8227,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000013.1,72,22752,9.8302,1,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000005.1,166278,188958,9.8322,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000001.1,264026,286699,9.8295,1,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000004.1,285384,308095,9.8278,1,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000005.1,414456,437149,9.8209,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000009.1,337330,360015,9.8208,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000004.1,425763,448454,9.8248,1,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000001.1,295702,318401,9.8266,1,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000005.1,420989,443662,9.8307,1,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000008.1,127288,149958,9.8250,1,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000018.1,7812,30512,9.8214,1,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000004.1,28458,51131,9.8307,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000002.1,264359,287029,9.8296,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000002.1,429378,452051,9.8274,1,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000001.1,1043100,1065800,9.8243,1,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000006.1,324574,347300,9.8284,1,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000001.1,433316,456009,9.8232,1,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000005.1,266202,288922,9.8271,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000005.1,266004,288724,9.8271,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000004.1,300871,323591,9.8271,1,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000007.1,193158,215844,9.8253,1,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000001.1,252124,274826,9.8216,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000006.1,220989,243691,9.8216,1,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000001.1,1358766,1381482,9.8282,1,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000002.1,410497,433197,9.8251,1,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000006.1,189540,212240,9.8251,1,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000005.1,305097,327825,9.8227,1,1,1,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000004.1,311049,333731,9.8332,1,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000025.1,45504,68215,9.8260,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000003.1,290041,312732,9.8264,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000008.1,165315,187998,9.8222,1,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000014.1,182273,204996,9.8235,1,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000016.1,127330,150077,9.8220,1,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000005.1,66806,89529,9.8217,1,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000006.1,64873,87596,9.8217,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000003.1,267885,290614,9.8235,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000005.1,198523,221244,9.8237,1,1,1,1,1
Streptomyces tendae SAI-227,NZ_JBIYET010000001.1,8131070,8153776,9.8234,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000037.1,283472,306196,9.8302,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000014.1,11228,33952,9.8302,1,1,1,1,1
Streptomyces violaceorubidus NPDC001615,NZ_JBEOZY010000015.1,124061,146781,9.8229,1,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_BAAATN010000003.1,582105,604763,9.8112,1,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHSJO010000001.1,355834,378492,9.8112,1,1,1,1,1
Streptomyces lienomycini DSM 41475,NZ_CP116257.1,3612449,3635107,9.8112,1,1,1,1,1
Streptomyces olivaceus N11-26,NZ_BNEG01000002.1,1033196,1056284,9.7831,1,1,1,1,1
Streptomyces olivaceus N11-26,BNEG01000002.1,1033196,1056284,9.7830,1,1,1,1,1
Streptomyces olivaceus KLBMP 1036,NZ_JAHSTH010000012.1,18639,41718,9.7826,1,1,1,1,1
Streptomyces olivaceus NPDC056357,NZ_JBHJQK010000069.1,31,23128,9.7870,1,1,1,1,1
Streptomyces olivaceus NPDC101122,NZ_JBIVZD010000007.1,170345,193434,9.7867,1,1,1,1,1
Streptomyces olivaceus FXJ1.045,NZ_JAHSSQ010000017.1,18676,41764,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ1.066,NZ_JAHSSR010000018.1,18678,41766,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ1.268,NZ_JAHSSS010000017.1,18676,41764,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ2.410,NZ_JAHSSU010000010.1,126119,149223,9.7839,1,1,1,1,1
Streptomyces olivaceus FXJ2.411,NZ_JAHSSV010000010.1,194384,217488,9.7839,1,1,1,1,1
Streptomyces olivaceus FXJ2.417,NZ_JAHSSW010000017.1,13864,36968,9.7822,1,1,1,1,1
Streptomyces olivaceus FXJ2.418,NZ_JAHSSX010000019.1,192454,215558,9.7822,1,1,1,1,1
Streptomyces olivaceus FXJ2.420,NZ_JAHSSY010000015.1,193931,217025,9.7822,1,1,1,1,1
Streptomyces olivaceus FXJ3.001,NZ_JAHSSZ010000022.1,148937,172025,9.7829,1,1,1,1,1
Streptomyces olivaceus MM5-2,NZ_JAHSTD010000017.1,148937,172025,9.7829,1,1,1,1,1
Streptomyces olivaceus xian7,NZ_JAHSTF010000001.1,149014,172109,9.7831,1,1,1,1,1
Streptomyces olivaceus xian20,NZ_JAHSTG010000016.1,192390,215478,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ6.020,NZ_JAHSTI010000018.1,148937,172025,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ6.027,NZ_JAHSTJ010000015.1,148937,172025,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ7.023,NZ_JAHSTK010000021.1,148936,172024,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ7.105,NZ_JAHSTL010000019.1,148937,172025,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ7.129,NZ_JAHSTM010000020.1,18676,41764,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ7-4,NZ_JAHSTN010000015.1,148937,172025,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ8.006,NZ_JAHSTO010000020.1,20000,43088,9.7829,1,1,1,1,1
Streptomyces olivaceus FXJ8.063,NZ_JAHSTQ010000017.1,20000,43088,9.7829,1,1,1,1,1
Streptomyces olivaceus NPDC000398,NZ_JBEPDQ010000011.1,97795,120871,9.7816,1,1,1,1,1
