Organism,Scaffold,Start,End,Score,CAC37460.1,CAC37461.1,CAD55222.1,CAC44193.1,CAC44197.1,CAC44199.1,CAC44200.1,CAC44201.1,CAC44202.1,CAC44203.1,CAC44204.1,CAC44205.1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000008.1,235737,256506,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000008.1,235737,256506,23.7888,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) M145,X63449.1,106,5268,11.3392,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,5514322,5535091,23.7978,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,3013463,3034220,23.7960,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000030.1,75530,96287,23.7954,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000013.1,39172,59929,23.7852,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,JBHTEW010000002.1,3027297,3046570,19.6540,0,1,1,1,1,1,1,1,1,1,1,0
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000008.1,235737,256506,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000008.1,235737,256506,23.7888,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000009.1,47194,67963,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000009.1,47194,67963,23.7888,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000010.1,235737,256506,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000010.1,235737,256506,23.7888,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000008.1,47194,67963,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000008.1,47194,67963,23.7888,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,5590832,5611589,23.7873,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,5103911,5124680,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,5512639,5533408,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000003.1,155427,176208,23.7956,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000003.1,155427,176208,23.7872,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000040.1,506,21312,23.7963,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,2966088,2986857,23.7948,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000040.1,3928,24697,23.7973,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000008.1,117778,138535,23.7953,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000113.1,4141,24897,23.7953,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000006.1,117674,138430,23.7953,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000008.1,117931,138700,23.7967,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000057.1,571,21340,23.7969,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000007.1,175069,195826,23.7958,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000036.1,3954,24711,23.7953,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,JXWX01000036.1,3954,24711,23.7952,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,5635287,5656044,23.7960,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,5635287,5656044,23.7873,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000046.1,3960,24716,20.7329,1,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. 111WW2,MUYY01000046.1,3960,24716,23.7752,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,5632813,5653570,23.7960,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,5632813,5653570,23.7873,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,5514322,5535091,23.7975,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,5514322,5535091,23.7978,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000027.1,35032,55801,23.7951,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000027.1,35032,55801,23.7954,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000049.1,58686,64842,13.3890,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000017.1,55,6211,13.3890,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000002.1,769500,790267,23.7680,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000003.1,339758,360525,23.7682,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000001.1,1008508,1029275,23.7682,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052727,NZ_JBFATK010000009.1,26537,47364,23.7070,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052721,NZ_JBFATL010000054.1,2566,23378,23.7082,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AS02,NZ_JAMJVZ010000048.1,16682,37579,23.7111,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AS02,JAMJVZ010000048.1,16682,37579,23.7051,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. R28,NZ_CP163439.1,6825538,6846414,23.7084,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ISL-14,JAGGQF010000468.1,0,6004,13.3393,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. MMG1533,NZ_LGDG01000213.1,147668,168433,23.6997,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMG1533,LGDG01000213.1,147668,168433,20.6473,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC008086,NZ_JBIBIA010000010.1,32677,53612,23.7012,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057740,NZ_JBHVJV010000024.1,95883,116833,23.7022,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004065,NZ_JBJDQT010000020.1,128173,149497,23.6945,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060223,NZ_JBHXAA010000336.1,2848,9037,13.3471,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC127595,NZ_JBHXWK010000008.1,349454,370432,23.6901,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048383,NZ_JBEZKS010000044.1,9830,20488,8.2518,0,1,1,1,0,0,1,1,0,0,1,0
Streptomyces sp. NPDC001339,NZ_JBIAWT010000004.1,673103,691546,12.2919,1,1,1,1,0,0,1,1,1,1,0,0
Streptomyces sp. DK15,NZ_JAMYEJ010000024.1,57777,92702,11.3152,1,1,2,1,0,0,1,1,0,0,1,0
Streptomyces sp. NPDC017949,NZ_JBIRHE010000032.1,9757,20403,8.2515,0,1,1,1,0,0,1,1,0,0,1,0
Streptomyces sp. NPDC090054,NZ_JBIVES010000036.1,9758,20404,8.2518,0,1,1,1,0,0,1,1,0,0,1,0
Streptomyces sp. NPDC008001,NZ_JBIBIZ010000002.1,233903,247651,14.3280,2,1,1,0,0,1,1,1,1,1,0,0
Streptomyces sp.,NZ_DASQNP010000188.1,2085,13542,12.2918,2,1,1,0,0,0,1,1,1,1,0,0
Streptomyces sp. NBC_00094,NZ_JAPEMB010000001.1,6409142,6420537,9.2945,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces sp. NPDC006482,NZ_JBEXPI010000048.1,10187,21544,9.2941,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces sp. NPDC101490,NZ_JBIWNI010000004.1,73150,84710,12.2871,2,1,1,0,0,0,1,1,1,1,0,0
Streptomyces sp. NPDC051173,NZ_JBFBBD010000067.1,4700,17643,8.2303,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC051162,NZ_JBFBBF010000083.1,14345,27318,8.2303,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC001407,NZ_JBIAWF010000048.1,6422,19469,8.2299,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC020799,NZ_JBIRSV010000021.1,68268,81316,8.2298,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC015220,NZ_JBIBUK010000017.1,28208,41819,13.2871,1,1,1,0,0,0,1,1,1,1,1,0
Streptomyces sp. NPDC094049,NZ_JBEOUB010000029.1,4631,16119,12.2859,2,1,1,0,0,0,1,1,1,1,0,0
Streptomyces sp. NPDC020379,NZ_JBIRVR010000015.1,4476,17461,8.2291,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces sp. GMR22,JACGSQ010000036.1,196432,206739,7.2532,0,0,1,1,0,1,1,1,0,0,1,0
Streptomyces sp. GMR22,NZ_JACGSQ010000036.1,196432,206739,7.2532,0,0,1,1,0,1,1,1,0,0,1,0
Streptomyces sp. NPDC049627,NZ_JBITLW010000005.1,168911,185955,9.2310,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC050538,NZ_JBITHC010000008.1,439803,457388,9.2298,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC050528,NZ_JBITHH010000016.1,92765,110368,9.2299,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC048362,NZ_JBICYK010000011.1,102900,128513,10.2586,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces sp. NPDC040750,NZ_JBEZCL010000001.1,290275,315892,10.2589,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces sp. NPDC051452,NZ_JBITEB010000010.1,111033,136634,10.2585,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces sp. NPDC088196,NZ_JBFBIU010000015.1,97737,116575,9.2288,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. SP18BB07,NZ_JAQYWT010000215.1,119441,130690,9.2299,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. SP17KL33,NZ_JAQYXK010000388.1,8305,19486,9.2299,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. HU2014,NZ_CP097123.1,4832449,4839927,10.2449,0,0,0,0,0,1,1,1,0,1,1,1
Streptomyces sp. HU2014,CP097123.1,4832449,4839927,10.2442,0,0,0,0,0,1,1,1,0,1,1,1
Streptomyces sp. CS014,NZ_KZ819154.1,3888605,3904060,10.2249,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC002825,NZ_JBEOVH010000007.1,111669,131763,9.2291,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. MSC1_001,NZ_JAMOZN010000047.1,4299,23485,9.2282,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC007355,NZ_JBIAFC010000005.1,18542,37811,9.2292,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC006477,NZ_JBIAHO010000003.1,375586,394770,9.2292,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. NPDC012693,NZ_JBIBDD010000002.1,319867,339130,9.2283,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. SID2955,WWKA01001080.1,10781,22427,10.2249,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. SID486,NZ_WWJT01000452.1,13839,25485,10.2248,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces sp. QH1-20,NZ_CP166299.1,1309760,1327927,8.2154,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces sp. B6B3,NZ_JBDPLU010000039.1,14657,32860,9.2419,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000024.1,7587,28368,23.7956,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces shaanxiensis JCM 16925,NZ_BAAAZY010000012.1,689162,710160,23.7164,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces shaanxiensis JCM 16925,BAAAZY010000012.1,689162,710160,23.7099,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cyaneochromogenes MK-45,NZ_CP034539.1,6536994,6557867,23.7158,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cyaneochromogenes MK-45,CP034539.1,6536994,6557867,23.7161,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cellulosae NRRL B-2687,NZ_JOEV01000007.1,19445,40243,23.7175,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces cyaneus CGMCC 4.1671,NZ_RQJW01000026.1,9146,30127,23.7145,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. T12,NZ_CP117866.1,6937128,6957979,23.7123,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. T12,CP117866.1,6937128,6957979,23.7121,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces flaveolus NPDC004958,NZ_JBEXJH010000004.1,14981,35818,23.7090,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces regalis NRRL 3151,NZ_LLZG01000288.1,6236,27173,23.7034,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces regalis NRRL 3151,LLZG01000288.1,6236,27173,23.7036,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces caeruleatus NRRL B-24802,NZ_KQ948926.1,765522,786499,23.7009,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces caeruleatus NRRL B-24802,KQ948926.1,765522,786499,23.7011,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces muensis DSM 103493,NZ_JAKEIP010000063.1,12249,33592,23.7042,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces muensis DSM 103493,JAKEIP010000063.1,12249,33592,23.6976,1,1,1,1,1,1,1,1,1,1,1,1
Micromonospora sp. NPDC049301,NZ_JBFAQO010000009.1,86228,107289,13.3212,0,0,1,1,0,1,1,1,1,1,1,1
Micromonospora sp. CNB394,NZ_KB895850.1,12899,34053,13.3203,0,0,1,1,0,1,1,1,1,1,1,1
Micromonospora sp. NPDC049230,NZ_JBEZCZ010000016.1,78271,102805,13.2868,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora sp. NPDC049171,NZ_JBEZDJ010000027.1,2043,8441,11.2137,0,0,0,0,0,0,1,1,1,1,1,1
Micromonospora sp. NPDC049101,NZ_JBEZED010000052.1,5893,12291,11.2138,0,0,0,0,0,0,1,1,1,1,1,1
Micromonospora sp. NPDC048898,NZ_JBICUF010000015.1,2069,8467,11.2146,0,0,0,0,0,0,1,1,1,1,1,1
Micromonospora sp. U56,NZ_JAGPYL010000077.1,4861,29687,13.2911,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora sp. U56,JAGPYL010000077.1,4861,29687,13.2911,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora sp. A200,NZ_JARXXY010000003.1,167543,192333,13.2899,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora sp. A200,JARXXY010000003.1,167525,192333,13.2898,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora sp. CPCC 206171,NZ_JBAKHT010000012.1,139351,164168,13.2887,0,0,0,1,0,1,1,1,1,1,1,1
Streptomyces rectiverticillatus B15-08,CP040752.1,3713303,3733614,14.3336,1,1,1,1,0,1,1,1,1,1,0,0
Streptomyces rectiverticillatus B15-08,NZ_CP040752.1,3713303,3733614,15.3622,2,1,1,1,0,1,1,1,1,1,0,0
Streptomyces aureoversilis CGMCC 4.1641,NZ_JBHSKJ010000031.1,927,14723,14.3312,2,1,1,0,0,1,1,1,1,1,0,0
Streptomyces roseifaciens MBT76,NZ_LNBE01000006.1,44573,64799,15.3631,2,1,1,1,0,1,1,1,1,1,0,0
Streptomyces roseifaciens NPDC020024,JBEYKA010000040.1,1693,21913,13.3037,1,1,0,1,0,1,1,1,1,1,0,0
Streptomyces roseifaciens NPDC020049,JBEYJZ010000062.1,1685,17402,11.2591,0,0,1,1,0,1,1,1,1,1,0,0
Streptomyces hiroshimensis JCM 4586,NZ_BMUT01000009.1,148,13563,14.3311,2,1,1,0,0,1,1,1,1,1,0,0
Streptomyces hiroshimensis A18,MH743143.1,10869,31133,15.3628,2,1,1,1,0,1,1,1,1,1,0,0
Streptomyces telluris AA8,JAATER010000104.1,136,14047,13.3025,1,1,1,0,0,1,1,1,1,1,0,0
Streptomyces telluris AA8,NZ_JAATER010000104.1,136,14047,13.3023,1,1,1,0,0,1,1,1,1,1,0,0
Streptomyces telluris AA8,NZ_JANIID010000053.1,1693,22014,14.3337,1,1,1,1,0,1,1,1,1,1,0,0
Streptomyces bacillaris NPDC056332,NZ_JBHJQY010000002.1,68870,80067,9.2965,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis JCM 4086,NZ_BMRZ01000025.1,9910,21000,9.2943,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC012760,NZ_JBIBCR010000021.1,9946,21036,9.2947,1,1,0,1,0,1,1,1,0,0,1,0
