Organism,Scaffold,Start,End,Score,CAC36059.1,CAD55403.1,CAC44647.1,CAC44648.1,CAC44649.1,CAC44650.1,CAC44651.1,CAC44652.1,CAC44653.1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,8218874,8227281,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,8281012,8289419,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,8125480,8133887,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,8254083,8262490,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000021.1,171,8578,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,JARAWB010000021.1,171,8578,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000015.1,1918,10325,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,JARAYD010000015.1,1918,10325,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000005.1,292066,300473,17.5357,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,JARAYG010000005.1,292066,300473,17.5347,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000078.1,18593,27000,17.5351,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000078.1,18593,27000,17.5363,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,8279636,8288043,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,8279636,8288043,17.5365,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000001.1,373676,382083,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,JARAXO010000001.1,373676,382083,17.5335,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000023.1,170,8577,17.5312,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,JXWX01000023.1,170,8577,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000047.1,14123,22530,17.5352,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000009.1,129799,138206,17.5352,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,8207386,8215793,17.5339,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,8207386,8215793,17.5350,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,8204880,8213286,17.5349,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,8204880,8213286,17.5350,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000001.1,332765,341172,17.5350,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000071.1,18345,26754,17.5345,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,MUYY01000071.1,18345,26754,17.5355,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000004.1,129204,137611,17.5337,1,1,1,1,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000310.1,1907,8701,13.4273,1,1,1,1,1,1,1,0,0
Streptomyces sp. E5N91,NZ_RAIE01000741.1,11438,19845,17.5333,1,1,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,379361,387768,17.5344,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000032.1,56121,64470,17.5007,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000016.1,56111,64460,17.4982,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000022.1,56190,64539,17.5003,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000219.1,15018,23367,17.5003,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4711,LGCX01000219.1,15018,23367,17.4957,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000205.1,91638,99987,17.4983,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,LGEH01000205.1,91638,99987,17.4938,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000129.1,68930,77279,17.4980,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,LGEF01000129.1,68930,77279,17.4935,1,1,1,1,1,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000004.1,309317,317666,17.5008,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000003.1,309308,317715,17.5166,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000033.1,55398,63747,17.5001,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000048.1,15246,23671,17.5155,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC053750,NZ_JBITXB010000009.1,208924,217323,17.4755,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000040.1,41425,49859,17.5166,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000005.1,140960,149351,17.4926,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000023.1,41912,50301,17.4929,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000002.1,800309,808704,17.4927,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000001.1,469920,478315,17.4926,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000006.1,570913,579307,17.4927,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000003.1,140522,148906,17.4984,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000003.1,362201,370585,17.4984,1,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000015.1,18498,26888,17.4974,1,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000031.1,18503,26891,17.4972,1,1,1,1,1,1,1,1,1
Streptomyces sp. RS2,NZ_JAPCIE010000002.1,616635,625013,17.4946,1,1,1,1,1,1,1,1,1
Streptomyces sp. RS2,JAPCIE010000002.1,616635,625013,17.4966,1,1,1,1,1,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000020.1,79652,88050,17.4981,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000004.1,352954,361380,17.4898,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000026.1,76156,84543,17.4961,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000004.1,434743,443243,14.4692,1,1,1,0,1,1,1,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000002.1,361347,369736,17.4906,1,1,1,1,1,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000011.1,17691,26054,17.4931,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000007.1,297867,306253,17.4923,1,1,1,1,1,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,8012974,8021338,17.4901,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,7662565,7670930,17.4916,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,WHZR01000001.1,7662565,7670930,17.4930,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,7605305,7613663,17.4897,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,CP034353.1,7605305,7613663,17.4903,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,7802280,7810638,17.4897,1,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000073.1,26928,35286,17.4897,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,7859109,7867473,17.4929,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,WXVT01000001.1,7859109,7867473,17.4907,1,1,1,1,1,1,1,1,1
Streptomyces sp. ARC32,CP096673.1,7934793,7941541,10.3028,1,1,0,1,1,1,1,0,0
Streptomyces sp. CS113,KZ195574.1,8234620,8243001,17.4962,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,8234629,8243001,17.4926,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001224.1,132023,140387,17.4889,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID5477,WWIG01000803.1,1594,9958,17.4919,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,7728024,7736388,17.4894,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,7728024,7736388,17.4920,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000015.1,54975,63333,17.4898,1,1,1,1,1,1,1,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,7578663,7587021,17.4891,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,7921201,7929565,17.4896,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,7921201,7929565,17.4921,1,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000001.1,465391,473763,17.4935,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000039.1,53124,61508,17.4895,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000005.1,315876,323156,15.4241,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC020947,NZ_JBFADN010000012.1,123208,130488,15.4241,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC001599,NZ_JBIAVA010000008.1,15863,24291,17.5051,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,7238996,7247402,17.5020,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,CP026730.1,7238996,7247402,17.5054,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000007.1,159903,168300,14.4673,1,1,1,0,1,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000016.1,21318,29689,17.4945,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,JAGPYH010000016.1,21318,29689,17.4972,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,SOAV01000016.1,53115,61579,17.4812,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,NZ_SOAV01000016.1,53115,61498,14.4542,1,1,1,0,1,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000007.1,123557,131943,17.4954,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000030.1,54862,63220,17.4888,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,NZ_MQUH01000028.1,67244,75615,17.4900,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,MQUH01000028.1,67244,75615,17.4921,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000003.1,13509,21867,17.4890,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000014.1,44493,52931,17.5012,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000017.1,89503,97889,17.4946,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000083.1,19071,27457,17.4955,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000048.1,16852,25223,17.4947,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000002.1,292402,300773,17.4947,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,902986,911357,17.4943,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000011.1,13407,21765,17.4888,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000002.1,143938,152296,17.4890,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000016.1,144740,153098,17.4889,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000014.1,13674,22032,17.4888,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000015.1,108878,117236,17.4886,1,1,1,1,1,1,1,1,1
Streptomyces sp. H23,NZ_SOPG01000009.1,239209,247567,17.4885,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000013.1,163221,171579,17.4883,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000008.1,317200,325558,17.4889,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000005.1,55722,64080,17.4885,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000008.1,138919,147363,17.5053,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000002.1,418199,426643,17.5053,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000010.1,171086,179444,17.4890,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000009.1,127490,135848,14.4577,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000015.1,126467,134929,17.4848,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000017.1,76078,84436,17.4897,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000023.1,57637,65993,17.4899,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000002.1,85000,93358,17.4886,1,1,1,1,1,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000011.1,221278,229636,14.4584,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000007.1,125945,134303,17.4886,1,1,1,1,1,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,7658349,7666707,14.4592,1,1,1,1,1,1,1,0,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,7722245,7730603,14.4581,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000010.1,108434,116792,14.4596,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000009.1,6143,14501,14.4586,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000013.1,245113,253471,14.4596,1,1,1,1,1,1,1,0,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000554.1,10803,19161,14.4587,1,1,1,1,1,1,1,0,1
Streptomyces sp. SID10362,JAAGLJ010000554.1,10803,19161,14.4585,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000124.1,9607,17967,17.4850,1,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000269.1,3216,9953,13.3911,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC005395,NZ_JBEXFE010000009.1,139333,147691,14.4587,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000005.1,226777,235135,14.4591,1,1,1,1,1,1,1,0,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,7990947,7999307,17.4850,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,7990947,7999307,17.4871,1,1,1,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000032.1,5539,13899,17.4850,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000009.1,122648,131006,17.4888,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000014.1,54791,63249,17.4788,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000014.1,54791,63249,17.4788,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000010.1,317530,325888,17.4879,1,1,1,1,1,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000007.1,215583,223886,14.4611,1,1,1,0,1,1,1,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000017.1,109907,118263,17.4873,1,1,1,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000003.1,249173,257531,17.4856,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000016.1,122418,130776,17.4887,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000015.1,105385,113865,17.4790,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000029.1,55507,63896,17.4788,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000013.1,127178,135567,17.4788,1,1,1,1,1,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000004.1,318663,327044,17.4961,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,353474,361832,17.4872,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000040.1,42230,50687,17.4786,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000097.1,320925,329346,17.4690,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000021.1,73208,81605,17.4739,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000009.1,264300,272682,17.4728,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,477875,486237,17.4810,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000167.1,6751,13499,13.3810,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC044948,NZ_JBEZBI010000243.1,1280,9642,17.4806,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,564303,572636,17.4724,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000027.1,68310,76691,17.4704,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000031.1,83108,91482,17.4658,1,1,1,1,1,1,1,1,1
Streptomyces sp. E2N166,NZ_RAIF01000032.1,1750049,1758558,14.4391,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000031.1,59833,68214,17.4725,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000066.1,29438,37819,17.4725,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000008.1,135778,144156,17.4669,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC000351,NZ_JBEPDW010000006.1,240037,248415,17.4701,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000001.1,351357,359735,17.4688,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000003.1,330837,339215,17.4688,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000002.1,409224,417602,17.4688,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000014.1,37528,45964,17.4717,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000012.1,146093,154529,17.4717,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000014.1,37528,45964,17.4717,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000059.1,28560,36967,17.4642,1,1,1,1,1,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,7983121,7991502,17.4724,1,1,1,1,1,1,1,1,1
Streptomyces sp. DH41,NZ_JARVKY010000011.1,209265,217634,17.4704,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000015.1,40345,48714,17.4680,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000012.1,114450,122824,17.4699,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000014.1,86569,94943,17.4699,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000007.1,134640,143014,17.4699,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC627_RSS907,NZ_JAGMUE010000005.1,68673,77005,14.4345,1,1,1,0,1,1,1,1,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000008.1,113118,121479,17.4704,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,643835,652282,11.3644,1,0,1,0,1,1,1,1,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000039.1,60137,68537,17.4690,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000013.1,59858,68258,17.4690,1,1,1,1,1,1,1,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000019.1,132451,140895,17.4695,1,1,1,1,1,1,1,1,1
Streptomyces sp. VN1,NZ_CP036534.1,470272,478715,11.4147,1,1,1,0,1,1,1,0,1
Streptomyces sp. VN1,CP036534.1,470272,478715,14.4416,1,1,1,1,1,1,1,0,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000016.1,5399,13843,14.4445,1,1,1,0,1,1,1,1,1
Streptomyces sp. CT1-17,JAJEJZ010000016.1,5399,13843,17.4711,1,1,1,1,1,1,1,1,1
Streptomyces sp. B146,NZ_CP102359.1,507835,516277,17.4695,1,1,1,1,1,1,1,1,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000103.1,18033,24869,13.3762,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC018322,NZ_JBIREU010000005.1,441147,449517,17.4614,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000005.1,146947,155317,17.4614,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000050.1,31474,39821,14.3974,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000053.1,16179,24526,14.3970,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000008.1,124907,133276,17.4629,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB02414,NZ_LIPF01000007.1,460849,469218,17.4629,1,1,1,1,1,1,1,1,1
Streptomyces sp. Alain-F2R5,NQOS01000001.1,85943,94289,14.4025,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000021.1,31810,40239,17.4631,1,1,1,1,1,1,1,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000011.1,72638,81089,17.4673,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC045251,NZ_JBEZAS010000003.1,34721,43086,14.3998,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC029519,NZ_JBEZWF010000017.1,147220,155585,14.3998,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057367,NZ_JBHVAT010000051.1,27663,36029,14.4000,1,1,1,1,0,1,1,1,1
Streptomyces sp. DH17,JARVKX010000002.1,394502,402848,14.4002,1,1,1,1,0,1,1,1,1
Streptomyces sp. M92,NZ_CP101137.1,6052219,6060583,14.4019,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000039.1,14603,22968,17.4581,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000042.1,10200,18565,17.4581,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,7244857,7253196,14.3999,1,1,1,1,0,1,1,1,1
Streptomyces sp. DSM 42143,JAUSVD010000001.1,7244857,7253196,14.3988,1,1,1,1,0,1,1,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,4805209,4813660,17.4673,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09030,CP094676.1,4805209,4813660,17.4670,1,1,1,1,1,1,1,1,1
Streptomyces sp. alain-838,NQNW01000018.1,32793,41132,14.4013,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000049.1,15021,23387,14.4025,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000007.1,280947,289313,14.4023,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000008.1,281204,289570,14.4023,1,1,1,1,0,1,1,1,1
