Organism,Scaffold,Start,End,Score,CAB94607.1,CAB94608.1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000012.1,212672,215140,3.1673,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000025.1,92352,94820,3.1669,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000007.1,235920,238388,3.1671,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000016.1,133516,135984,3.1669,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000002.1,210133,212601,3.1671,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000017.1,79078,81546,3.1671,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000143.1,5567,8035,3.1668,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000003.1,92576,95044,3.1670,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000001.1,549441,551909,3.1670,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000009.1,215770,218238,3.1670,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000009.1,215770,218166,3.1620,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000007.1,203188,205656,3.1670,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000019.1,64239,66707,3.1670,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000040.1,62074,64542,3.1670,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000025.1,33236,35704,3.1670,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000026.1,59773,62241,3.1670,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000022.1,64425,66893,3.1670,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000005.1,321659,324127,3.1670,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,5718993,5721461,3.1665,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,2953273,2955741,3.1668,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000021.1,61863,64331,3.1668,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,5681126,5683594,3.1673,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000008.1,87245,89713,3.1673,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000008.1,87245,89641,3.1623,1,1
Streptomyces coelicolor A3(2),AL645882.2,5681015,5683483,3.1673,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,2865186,2867654,3.1673,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000021.1,69626,72094,3.1670,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000007.1,72751,75147,3.1623,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000001.1,540295,542763,3.1673,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000008.1,87245,89713,3.1673,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000008.1,87245,89641,3.1623,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000009.1,213987,216455,3.1673,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000009.1,214059,216455,3.1623,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000010.1,87245,89713,3.1673,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000010.1,87245,89641,3.1623,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000008.1,213987,216455,3.1673,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000008.1,214059,216455,3.1623,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,5693319,5695787,3.1673,1,1
Streptomyces coelicolor,CP133591.1,5271670,5274138,3.1673,1,1
Streptomyces coelicolor M22,CP133590.1,5680398,5682866,3.1673,1,1
Streptomyces coelicolor M1152,CP181172.1,5599416,5601884,3.1673,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,5757098,5759494,3.1623,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000003.1,322092,324560,3.1673,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000045.1,20075,22543,3.1673,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,2817232,2819700,3.1673,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000015.1,87249,89717,3.1673,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000034.1,69867,72335,3.1673,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000038.1,13591,16059,3.1671,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000040.1,38212,40680,3.1671,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000070.1,12089,14557,3.1673,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000030.1,28114,30582,3.1673,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,5804182,5806650,3.1672,1,1
Streptomyces sp. 2114.2,LT629768.1,5804254,5806650,3.1622,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000034.1,47858,50326,3.1673,1,1
Streptomyces sp. 111WW2,MUYY01000034.1,47858,50254,3.1623,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,5801708,5804176,3.1672,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,5801780,5804176,3.1622,1,1
Streptomyces sp. E5N91,NZ_RAIE01000778.1,12133,14601,3.1672,1,1
Streptomyces sp. LRa12,NZ_SSBN01000035.1,48156,50624,3.1671,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,5681015,5683483,3.1673,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000035.1,28194,30662,3.1670,1,1
Streptomyces sp. WM6391,NZ_JXWX01000044.1,37967,40435,3.1664,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000003.1,507742,510210,3.1659,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000001.1,1176492,1178960,3.1659,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000061.1,15791,18259,3.1651,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000011.1,59929,62397,3.1658,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000017.1,153780,156248,3.1653,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000006.1,328893,331370,3.1650,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000003.1,221633,224101,3.1646,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000001.1,233488,235947,3.1628,1,1
Streptomyces sp. M1013,NZ_MQUH01000016.1,923268,925727,3.1631,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000003.1,79716,82175,3.1626,1,1
Streptomyces sp. MH60,NZ_MULI01000032.1,42410,44869,3.1627,1,1
Streptomyces sp. MH60,MULI01000032.1,42410,44797,3.1576,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,5588756,5591215,3.1629,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000031.1,29939,32398,3.1621,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,2996066,2998525,3.1621,1,1
Streptomyces sp. E5N298,NZ_RAIG01000538.1,12148,14607,3.1628,1,1
Streptomyces sp. NPDC020571,NZ_JBIRUP010000008.1,160191,162650,3.1626,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000060.1,70356,72815,3.1603,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000005.1,197877,200336,3.1628,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000039.1,32635,35103,3.1649,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000010.1,102390,104849,3.1627,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000004.1,129860,132319,3.1627,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000004.1,282686,285154,3.1643,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,4949193,4951661,3.1647,1,1
Streptomyces sp. NPDC058737,NZ_JBHYQL010000002.1,274792,277260,3.1643,1,1
Streptomyces sp. AD681,NZ_JAQISL010000014.1,29743,32202,3.1630,1,1
Streptomyces sp. R1,NZ_JAJIBA010000007.1,184838,187297,3.1623,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000167.1,4090,6549,3.1623,1,1
Streptomyces sp. SID6013,WWHS01000496.1,4463,6922,3.1623,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,3043598,3046057,3.1623,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000010.1,219644,222103,3.1620,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000008.1,211215,213674,3.1622,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000009.1,210957,213416,3.1622,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000030.1,25368,27836,3.1642,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000051.1,12064,14532,3.1640,1,1
Streptomyces sp. MS2A,JAQIOU010000039.1,67130,69589,3.1622,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000004.1,195458,197917,3.1617,1,1
Streptomyces sp. SID5914,WWHW01001330.1,1720,4179,3.1623,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000004.1,7736,10204,3.1627,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000019.1,101990,104449,3.1623,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000017.1,61594,64053,3.1623,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000006.1,223871,226330,3.1624,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000084.1,16533,19001,3.1639,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000047.1,15915,18374,3.1618,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000016.1,175025,177484,3.1617,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000010.1,214008,216467,3.1617,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,3012150,3014618,3.1636,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,2792833,2795301,3.1636,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000002.1,130626,133094,3.1636,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,2717093,2719561,3.1635,1,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000608.1,16212,18680,3.1640,1,1
Streptomyces sp. SID10362,JAAGLJ010000608.1,16284,18680,3.1594,1,1
Streptomyces sp. G3,NZ_JAMOZC010000006.1,59988,62456,3.1639,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000019.1,20179,22647,3.1639,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000077.1,15903,18371,3.1639,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000011.1,16912,19380,3.1632,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000043.1,67021,69489,3.1634,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000016.1,120041,122509,3.1638,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000040.1,66313,68781,3.1640,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000014.1,217920,220388,3.1639,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000002.1,213668,216136,3.1639,1,1
Streptomyces sp. NPDC059409,NZ_JBHYWH010000066.1,10232,12700,3.1639,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000002.1,270923,273391,3.1639,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000002.1,222823,225291,3.1637,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000001.1,298274,300733,3.1620,1,1
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,4550907,4553366,3.1623,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000007.1,205663,208131,3.1626,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,3048145,3050604,3.1624,1,1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000010.1,83254,85722,3.1636,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000039.1,28622,31090,3.1633,1,1
Streptomyces sp. PU10,NZ_JAVCPQ010000001.1,5218823,5221291,3.1635,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000004.1,211173,213641,3.1637,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000070.1,10290,12758,3.1635,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000041.1,10377,12845,3.1637,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000011.1,67160,69628,3.1637,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000037.1,70909,73377,3.1637,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000015.1,62363,64831,3.1637,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000001.1,732616,735084,3.1637,1,1
Streptomyces sp. H23,NZ_SOPG01000007.1,203962,206430,3.1637,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000001.1,993299,995767,3.1624,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000003.1,218573,221041,3.1624,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,2838241,2840709,3.1637,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,2845684,2848152,3.1636,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000001.1,776520,778988,3.1630,1,1
Streptomyces sp. BK208,NZ_SOAV01000005.1,285858,288317,3.1594,1,1
Streptomyces sp. BK208,SOAV01000005.1,285930,288317,3.1545,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000008.1,110157,112616,3.1614,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,5266412,5268880,3.1634,1,1
Streptomyces sp. V17-9,CP074111.1,5266484,5268880,3.1589,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,2848569,2851037,3.1635,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,2865722,2868190,3.1634,1,1
Streptomyces sp. NRRL WC-3753,LGKF01000001.1,229637,232114,3.1622,1,1
Streptomyces sp. SID5477,WWIG01000124.1,4661,7138,3.1622,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000030.1,36857,39325,3.1634,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000030.1,28719,31187,3.1632,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000007.1,216687,219155,3.1620,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000001.1,888561,891029,3.1634,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000001.1,888580,891048,3.1634,1,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000016.1,15764,18223,3.1588,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000008.1,71017,73476,3.1588,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,2761137,2763605,3.1631,1,1
Streptomyces sp. ARC32,CP096673.1,2683304,2685772,3.1630,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,5665390,5667849,3.1598,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,2990380,2992848,3.1632,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000004.1,89076,91544,3.1632,1,1
Streptomyces sp. NPDC048224,NZ_JBEZMG010000032.1,58775,61234,3.1595,1,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000049.1,18453,20912,3.1595,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000006.1,219708,222167,3.1595,1,1
Streptomyces sp. NPDC048225,NZ_JBIDAA010000009.1,206573,209032,3.1595,1,1
Streptomyces sp. NPDC051136,NZ_JBITFE010000006.1,219858,222317,3.1595,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000004.1,241662,244121,3.1593,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000029.1,37764,40223,3.1599,1,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000002.1,805917,808376,3.1583,1,1
Streptomyces sp. STD 3.1,JAKFGY010000002.1,84627,87086,3.1584,1,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000001.1,230808,233267,3.1582,1,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000009.1,65767,68226,3.1582,1,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000015.1,55509,57968,3.1582,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000001.1,759878,762337,3.1582,1,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000026.1,71403,73862,3.1583,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000003.1,270986,273445,3.1583,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000004.1,284056,286515,3.1582,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000011.1,74283,76742,3.1582,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000014.1,74383,76842,3.1582,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000003.1,251839,254298,3.1596,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000003.1,78964,81423,3.1581,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000001.1,786993,789452,3.1582,1,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000001.1,808004,810463,3.1583,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000021.1,67360,69819,3.1584,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000001.1,159202,161661,3.1583,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000001.1,518713,521172,3.1583,1,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000046.1,31955,34414,3.1583,1,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000003.1,65878,68337,3.1583,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000009.1,159207,161666,3.1583,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000006.1,159192,161651,3.1583,1,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000034.1,15865,18324,3.1582,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000004.1,280526,282985,3.1582,1,1
Streptomyces sp. Tu 4128,NZ_QTSY01000056.1,799682,802141,3.1582,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000017.1,160184,162643,3.1584,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000001.1,787998,790457,3.1582,1,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000001.1,809262,811721,3.1581,1,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000009.1,200875,203334,3.1581,1,1
Streptomyces sp. DH41,NZ_JARVKY010000002.1,103729,106194,3.1594,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000027.1,77986,80451,3.1594,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000004.1,401812,404277,3.1594,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000006.1,160114,162579,3.1594,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000016.1,160293,162758,3.1594,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000012.1,187455,189920,3.1586,1,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000011.1,89826,92291,3.1586,1,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000004.1,409615,412080,3.1586,1,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000017.1,71522,73981,3.1583,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000006.1,233475,235934,3.1605,1,1
Streptomyces sp. NPDC000351,NZ_JBEPDW010000005.1,205403,207868,3.1585,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000002.1,593263,595722,3.1579,1,1
Streptomyces sp. SID5789,NZ_WWHZ01000647.1,17176,19635,3.1579,1,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000014.1,101440,103905,3.1592,1,1
Streptomyces sp. NPDC057074,NZ_JBHUTI010000245.1,5610,8069,3.1583,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000001.1,208944,211403,3.1604,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000004.1,207663,210122,3.1601,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000001.1,102765,105224,3.1600,1,1
Streptomyces sp. NRRL F-4707,LGEF01000001.1,102759,105224,3.1598,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000002.1,206790,209249,3.1601,1,1
Streptomyces sp. NRRL F-7442,LGEH01000002.1,206790,209255,3.1599,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,5202067,5204526,3.1579,1,1
Streptomyces sp. DSM 40167,JAUSUS010000001.1,5202139,5204526,3.1529,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000015.1,153134,155593,3.1579,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000007.1,330872,333331,3.1577,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000006.1,153327,155786,3.1603,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000008.1,66810,69269,3.1603,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000070.1,72918,75377,3.1603,1,1
Streptomyces sp. NRRL F-4711,LGCX01000070.1,72912,75377,3.1602,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,5476455,5478914,3.1564,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,2921225,2923690,3.1580,1,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,2913920,2916379,3.1574,1,1
Streptomyces sp. VNUA74,NZ_CP133215.1,4903610,4906069,3.1574,1,1
Streptomyces sp. LKA04,NZ_JBLUUE010000003.1,195266,197725,3.1574,1,1
Streptomyces sp. SID5606,NZ_WWIE01000228.1,3187,5646,3.1574,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000002.1,98040,100505,3.1579,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000002.1,891532,893997,3.1579,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000004.1,98040,100505,3.1579,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000004.1,201127,203592,3.1579,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000030.1,38706,41171,3.1579,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000013.1,199311,201770,3.1577,1,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000016.1,127961,130426,3.1586,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,5369086,5371545,3.1573,1,1
Streptomyces sp. BK79,NZ_JBHVOC010000011.1,205808,208273,3.1574,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000003.1,232061,234526,3.1581,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000055.1,38771,41236,3.1590,1,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000010.1,228377,230842,3.1590,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,2582349,2584814,3.1590,1,1
Streptomyces sp. DSM 42143,JAUSVD010000001.1,2582349,2584742,3.1546,1,1
Streptomyces sp. 4F,NACY01000287.1,6299,8764,3.1591,1,1
Streptomyces sp. alain-838,NQNW01000040.1,34563,37028,3.1590,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,5174696,5177155,3.1595,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000005.1,70510,72969,3.1595,1,1
Streptomyces sp. NPDC044948,NZ_JBEZBI010000125.1,14880,17339,3.1595,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000119.1,5580,8045,3.1585,1,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000073.1,23820,26294,3.1587,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000039.1,10246,12729,3.1583,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000052.1,30435,32909,3.1587,1,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000073.1,33941,36415,3.1587,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000020.1,70381,72855,3.1587,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000015.1,70122,72596,3.1587,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000020.1,70426,72900,3.1587,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000040.1,30418,32892,3.1587,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000002.1,13796,16279,3.1587,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000020.1,38243,40726,3.1587,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000006.1,128619,131102,3.1583,1,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000026.1,38197,40680,3.1587,1,1
Streptomyces sp. E2N166,NZ_RAIF01000031.1,607661,610126,3.1576,1,1
Streptomyces sp. B146,NZ_CP102359.1,5423404,5425863,3.1561,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000001.1,732949,735414,3.1582,1,1
