Organism,Scaffold,Start,End,Score,CAC17498.1,CAC17499.1,CAC17500.1,CAC17501.1,CAC17502.1,CAC17503.1,CAC17504.1,CAC17505.1,CAC17506.1,CAC17507.1,CAC17508.1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000005.1,354970,380091,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000005.1,354970,380091,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000005.1,355073,380194,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000005.1,355073,380194,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000005.1,58741,83862,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000005.1,58741,83862,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,8443699,8468820,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,8505837,8530958,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,8350305,8375426,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,8480729,8505743,22.5882,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,132808,157974,22.6137,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000005.1,44896,70017,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,JARAWB010000005.1,44896,70017,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000015.1,20987,46135,22.6082,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,8504460,8529581,22.6212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,8504460,8529581,22.6215,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000003.1,156869,181868,22.5931,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000019.1,58733,83851,22.6102,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,8436194,8461388,22.6069,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,8433684,8458878,22.6069,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,NZ_JARAXO010000001.1,127336,152515,22.6066,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000014.1,44962,70093,22.6121,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000001.1,561665,586859,22.6066,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000005.1,46523,71669,22.6062,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000004.1,357987,383127,22.6080,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000046.1,27932,53030,19.3799,1,1,1,1,0,1,1,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,7492311,7517357,22.4765,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018026,NZ_JBIRFY010000003.1,548708,573787,22.4838,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000008.1,374375,399454,22.5000,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000002.1,166108,191187,22.5000,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000008.1,267409,292508,22.5017,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000005.1,188583,213624,22.4985,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000011.1,156727,181712,22.4994,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC088935,NZ_JBIVII010000008.1,226008,251232,22.3769,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000001.1,182162,207386,22.3765,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000017.1,83137,108740,22.3685,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000006.1,285065,310288,22.3742,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000010.1,135043,160303,22.3747,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000003.1,420317,445548,22.3781,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000003.1,65581,90812,22.3781,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC019990,NZ_JBEYAJ010000010.1,200129,224647,19.2922,1,1,1,1,1,0,1,1,1,1,1
Streptomyces sp. DH17,JARVKX010000009.1,51379,76709,22.3837,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056161,NZ_JBHJUV010000016.1,96279,121960,22.3420,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC000351,NZ_JBEPDW010000014.1,100744,126218,22.3593,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DH41,NZ_JARVKY010000017.1,40904,66573,22.3849,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000013.1,168010,193616,22.3883,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000012.1,140535,166105,22.3868,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000014.1,140551,166121,22.3868,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000042.1,21754,47444,22.3861,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000013.1,164183,189747,22.3544,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000014.1,53857,79421,22.3544,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000013.1,164482,190046,22.3544,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000004.1,335065,360408,22.3837,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,6556742,6582088,22.3846,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 42143,JAUSVD010000001.1,6556742,6582088,22.3845,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052043,NZ_JBIUBT010000019.1,43786,69068,22.3761,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000024.1,34630,59997,22.3864,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000004.1,191128,216524,22.3896,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007883,NZ_JBEYEF010000011.1,8897,34332,22.3666,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000005.1,406219,431470,22.3722,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,2018009,2043403,22.3294,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC047515,NZ_JBEYTM010000063.1,12753,38256,22.3753,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00830,CP108866.1,1963080,1988540,22.3855,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DH18,NZ_JARVKZ010000002.1,274635,299977,22.3419,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001513.1,194263,219672,22.3335,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. VB1,NZ_CP110539.1,7869400,7894741,22.3419,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. VB1,CP110539.1,7869400,7894741,22.3417,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CA-278952,NZ_CP112880.1,7406466,7431807,22.3405,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020755,NZ_JBFADY010000004.1,171229,196579,22.3375,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048473,NZ_JBICXE010000010.1,166951,192303,22.3416,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AD681,NZ_JAQISL010000004.1,6200,31509,22.3808,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC095613,NZ_JBEOTH010000015.1,82035,107412,22.3484,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DH7,NZ_JAHWGO010000014.1,38652,63994,22.3421,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01717,NZ_CP109178.1,2510047,2535454,22.3805,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058375,NZ_JBHXJG010000014.1,25431,50858,22.3427,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MBT51,NZ_JAENSG010000007.1,25189,50524,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MBT51,JAENSG010000007.1,25189,50524,22.3263,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017862,NZ_JBIRIA010000001.1,32948,58283,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017861,NZ_JBIRIB010000001.1,474772,500107,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017859,NZ_JBIRID010000001.1,32948,58283,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017852,NZ_JBIRIG010000001.1,32948,58283,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017851,NZ_JBIRIH010000001.1,474772,500107,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017849,NZ_JBIRII010000001.1,32948,58283,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017837,NZ_JBIRIK010000002.1,32948,58283,22.3255,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp.,DNQU01000313.1,76915,102250,22.3274,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,2165725,2191316,22.3229,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000004.1,10387,35642,22.3294,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01320,NZ_CP108391.1,494107,519545,22.3736,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000001.1,171624,196876,22.3762,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-6674,NZ_JNXF01000008.1,74154,99518,22.3223,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL B-12105,NZ_JNZW01000008.1,93008,118372,22.3223,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-6677,NZ_JOHP01000023.1,39814,65178,22.3223,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-6676,NZ_KL647085.1,92999,118363,22.3223,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,8515926,8541200,22.3781,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000075.1,4302,29666,22.3217,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000101.1,4301,29665,22.3217,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000002.1,189055,214443,22.3527,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000029.1,25134,50527,22.3455,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000031.1,25134,50527,22.3455,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000031.1,25134,50527,22.3455,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000027.1,25266,50659,22.3488,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000002.1,207337,232730,22.3488,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000001.1,129727,155118,22.3547,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000002.1,283485,308876,22.3547,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000011.1,41243,66631,22.3499,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000031.1,20343,45731,22.3514,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000022.1,75225,100580,22.3298,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC 01438,NZ_CP029601.1,1935129,1960479,22.3233,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC 01438,CP029601.1,1935129,1960479,22.3212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC 01420,NZ_QHHY01000048.1,41826,67176,22.3246,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC 01420,QHHY01000048.1,41826,67176,22.3212,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,1548290,1573683,22.3465,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000006.1,95582,120919,22.3214,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000008.1,289688,315132,22.3383,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059489,NZ_JBHYTZ010000067.1,117,25670,22.3463,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004041,NZ_JBIAMY010000012.1,174784,200059,22.3107,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000145.1,25400,50835,22.3378,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,LGEH01000145.1,25400,50835,22.3335,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000045.1,28993,54348,22.3206,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB02414,NZ_LIPF01000012.1,156427,181782,22.3205,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB02414,LIPF01000012.1,156427,181782,22.3194,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,6915705,6941100,22.3544,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC092296,NZ_JBIVRB010000006.1,259748,285395,22.3276,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC04770,RQIR01001836.1,23438,48709,22.3094,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ID03-2B,NZ_JARAZG010000016.1,57096,82369,22.3101,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000023.1,25412,50871,22.3378,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000010.1,73288,98750,22.3394,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000193.1,25607,51069,22.3394,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4711,LGCX01000193.1,25607,51069,22.3350,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,45423,70827,22.3287,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018063,NZ_JBIREY010000025.1,217,25571,22.2974,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018057,NZ_JBIRFB010000029.1,217,25571,22.2974,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018056,NZ_JBIRFC010000028.1,217,25571,22.2974,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018034,NZ_JBIRFR010000031.1,27564,52918,22.2974,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000126.1,25526,50987,22.3366,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,LGEF01000126.1,25526,50987,22.3303,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057197,NZ_JBHUWG010000018.1,46364,71811,22.3045,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PsTaAH-124,NZ_KB892161.1,163187,188559,22.3019,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059570,NZ_JBHWBV010000021.1,62526,87987,22.3014,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059631,NZ_JBHWDE010000021.1,68027,93488,22.3014,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059641,NZ_JBHWDO010000030.1,62526,87987,22.3014,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. PBSH9,NZ_JAKZEO010000001.1,6930948,6956275,22.3418,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000013.1,67075,92525,22.3361,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058317,NZ_JBHVZJ010000025.1,39133,64680,22.3079,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058319,NZ_JBITWP010000028.1,39133,64680,22.3079,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000033.1,21188,46662,22.3128,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058045,NZ_JBHVRR010000003.1,85862,110778,22.2470,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC047967,NZ_JBEZOA010000016.1,27137,52412,22.2987,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SAT1,NZ_CP016083.1,760418,785910,22.3004,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000019.1,25417,50875,22.3368,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC102462,NZ_JBIWKB010000015.1,76386,101634,22.3291,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000007.1,481347,506736,22.3194,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Amel2xE9,NZ_KB912943.1,327303,352688,22.3185,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8381,NZ_WWGA01000033.1,327303,352688,22.3185,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8381,WWGA01000033.1,327303,352688,22.3194,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004629,NZ_JBIALO010000011.1,243164,268577,22.3306,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007025,NZ_JBIAFT010000011.1,166093,191420,22.3139,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID9124,NZ_JAAGNG010000321.1,35261,60534,22.3033,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID9124,JAAGNG010000321.1,35261,60534,22.3046,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8358,NZ_WWGT01000010.1,66854,92167,22.3107,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8358,WWGT01000010.1,66854,92167,22.3120,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BpilaLS-43,NZ_FMCB01000001.1,66807,92120,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BpilaLS-43,FMCB01000001.1,66807,92120,22.3089,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID3915,NZ_WWJU01000226.1,22364,47681,22.3079,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID3915,WWJU01000226.1,22364,47681,22.3078,1,1,1,1,1,1,1,1,1,1,1
