Organism,Scaffold,Start,End,Score,CAB38581.1,CAB38582.1,CAB38583.1,CAB38584.1,CAB38585.1,CAB38586.1,CAB38587.1,CAB38588.1,CAB38589.1,CAB38590.1,CAB38591.1,CAB38592.1,CAB38593.1,CAB38594.1,CAB38595.1,CAB38596.1,CAB38597.1,CAD55497.1,CAB38520.1,CAB38519.1,CAB38518.1,CAB38517.1,CAD55498.1,CAB38877.1,CAB38878.1,CAB38879.1,CAB38880.1,CAB38881.1,CAB38882.1,CAB38883.1,CAB38884.1,CAB38885.1,CAB38886.1,CAB38887.1,CAB38888.1,CAB38889.1,CAB38890.1,CAB38891.1,CAB38892.1,CAB38893.1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000019.1,75717,158687,84.1964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000010.1,217758,300577,84.1954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,5022517,5105395,84.2070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000020.1,289,83292,84.1860,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,3519448,3602320,84.2431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,3519448,3602320,84.2463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000016.1,165,74439,67.6671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Streptomyces sp. ME01-18h,JARAYG010000016.1,165,74439,67.6696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Streptomyces sp. RK76,NZ_JAGPYG010000033.1,0,61008,48.8115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces sp. RB13,NZ_JAMQUP010000001.1,4809304,4892199,84.2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,3743429,3826313,84.2024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,3743429,3826313,84.2021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,3740982,3823866,84.1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,3740982,3823866,84.2021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000024.1,68844,132449,51.0683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000007.1,125227,209286,83.9783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000007.1,125213,209272,83.9758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000021.1,22854,103797,80.2450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000025.1,17759,91901,63.8336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,3402616,3484595,83.3408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,3202419,3284383,79.7067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 40167,JAUSUS010000001.1,3202419,3284383,83.3175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000003.1,235777,317741,83.3331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000005.1,337758,419707,83.3326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000041.1,1696,73970,68.8240,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000003.1,363947,446029,83.3249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000012.1,214597,296596,83.3259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000014.1,214597,296596,83.3259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000004.1,169574,251573,83.3259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000012.1,2205,84204,83.3259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000010.1,2205,84204,83.3259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000004.1,62131,130666,66.1682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000024.1,244,78863,77.1449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Streptomyces sp. CB09001,NZ_CP026730.1,2878494,2952629,64.2431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Streptomyces sp. CB09001,CP026730.1,2878494,2952629,61.1379,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000001.1,165955,242069,69.9705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000005.1,39012,115122,69.9695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000008.1,217328,288605,79.5151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000002.1,217987,290275,60.7503,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000007.1,360914,433202,60.7503,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000001.1,228861,311616,77.2239,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000013.1,32151,114264,83.3365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,1438609,1513988,67.9150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. DSM 42143,JAUSVD010000001.1,1438609,1513988,67.8996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,6509523,6584551,67.9108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SGAir0924,CP027297.1,6509523,6584551,64.2969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000002.1,293844,358008,64.1132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC02707,RPSB01000002.1,293844,358008,64.1135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000004.1,327286,403966,69.9897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Streptomyces sp. CS207,NZ_KZ819185.1,484718,559810,67.9093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. CS207,KZ819185.1,484718,559810,67.9099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000002.1,527942,592156,64.1107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC06128,RPSC01000002.1,527942,592156,64.1109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000001.1,1405567,1480637,64.2973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000001.1,179368,254416,64.2956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC08452,RPRW01000001.1,179368,254416,67.9133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. A144,NZ_CP083267.2,6327491,6402551,64.3033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. A144,CP083267.2,6327491,6402551,67.9223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,6332547,6407590,67.9190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. Osf17,JADBJP010000001.1,6332547,6407590,67.9175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,6333252,6408296,67.9190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. Babs14,JADBJQ010000002.1,6333252,6408296,67.9175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000002.1,396642,471679,64.2935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. WAC05458,RPRU01000002.1,396642,471679,67.9100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000002.1,644055,719140,67.9218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. RM99,JAGPYI010000002.1,644055,719140,67.9201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000012.1,7859,75155,64.1332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000007.1,156465,231519,67.9151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. DT2A-34,NZ_JASTWJ010000001.1,7244737,7329472,83.0700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DT2A-34,JASTWJ010000001.1,7244737,7329472,83.0690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00370,NZ_CP107968.1,636371,710133,58.2050,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. NBC_00370,CP107968.1,636371,710133,58.2073,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. NPDC002779,NZ_JBIAQC010000012.1,39940,123558,76.0809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC085932,NZ_JBITSJ010000001.1,552800,628162,67.2917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. DK15,NZ_JAMYEJ010000027.1,459,68722,42.7674,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Streptomyces sp. DK15,JAMYEJ010000027.1,459,68722,39.7335,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000007.1,217577,300449,84.2431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000007.1,217577,300449,84.2429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,3110423,3193295,78.0924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,3519148,3602020,84.2431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,3686257,3769185,70.3514,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,4739626,4822433,84.2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_GG657756.1,4711398,4794074,77.5222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
