Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39699.1,CAB39701.1,CAB39702.1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000004.1,471967,484929,15.7151,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000004.1,264448,277410,15.7151,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000057.1,318,8739,11.4910,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus IPS92w,JAPFQR010000057.1,318,8739,11.4899,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000059.1,29075,37496,11.4902,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000040.1,29083,42045,15.7134,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000048.1,366,8787,11.4905,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000024.1,30785,43747,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,7303142,7316104,15.7143,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,CP108200.1,7303142,7316104,15.7132,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000012.1,181161,194123,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000084.1,318,8739,11.4914,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000052.1,17825,30787,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000073.1,318,8739,11.4914,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000072.1,318,8739,11.4914,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000051.1,25576,38538,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000030.1,17825,30787,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000003.1,267413,280375,15.7146,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000001.1,567223,580185,15.7148,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000009.1,255,8676,11.4912,1,1,1,1,1,1,0,0
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000028.1,24487,37449,15.7142,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000028.1,24487,37449,15.7118,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,1025024,1037986,15.7144,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,1025024,1037986,15.7133,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,1034086,1047048,15.7143,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,CP109275.1,1034086,1047048,15.7132,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000003.1,264236,277198,15.7143,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000030.1,17227,30198,15.7139,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000030.1,17227,30198,15.7115,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,1237227,1250198,15.7139,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,1237227,1250198,15.7128,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000001.1,267227,280198,15.7141,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000002.1,211724,224695,15.7141,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000001.1,605679,618650,15.7144,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000029.1,19236,32207,15.7144,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000022.1,28678,41649,15.7139,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,7526519,7539490,15.7133,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,7516131,7529084,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,7516131,7529084,15.7215,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000002.1,146721,159674,15.7164,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,VNID01000002.1,146721,159674,15.7170,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2),AL645882.2,7516016,7528969,15.7215,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,NZ_JAATOK010000002.1,71917,84870,15.7164,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4,JAATOK010000002.1,71917,84870,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000002.1,447839,460792,15.7164,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000002.1,447839,460792,15.7170,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000002.1,66581,79534,15.7164,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000002.1,66581,79534,15.7170,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000002.1,447839,460792,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000002.1,447839,460792,15.7170,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000002.1,447839,460792,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000002.1,447839,460792,15.7170,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1154/pAMX4/pGP1416,CP050522.1,7452976,7465929,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,7106838,7119791,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,7517222,7530175,15.7152,1,1,1,1,1,1,1,1
Streptomyces coelicolor M1152,CP181172.1,7359314,7372267,15.7164,1,1,1,1,1,1,1,1
Streptomyces coelicolor JCM 4020,AP025454.1,7638082,7651053,15.7115,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL_B-16638,NZ_JARAWB010000065.1,28687,37099,11.4927,1,1,1,1,1,1,0,0
Streptomyces sp. NRRL_B-16638,JARAWB010000065.1,28687,37099,11.4915,1,1,1,1,1,1,0,0
Streptomyces sp. ME03-5684b,NZ_JARAXO010000002.1,206904,219857,15.7154,1,1,1,1,1,1,1,1
Streptomyces sp. ME03-5684b,JARAXO010000002.1,206904,219857,15.7143,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000116.1,16528,24940,11.4922,1,1,1,1,1,1,0,0
Streptomyces sp. ME02-6987-2C,JARAXU010000116.1,16528,24940,11.4911,1,1,1,1,1,1,0,0
Streptomyces sp. ME02-6985-2c,NZ_JARAXV010000011.1,143167,156120,15.7154,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6985-2c,JARAXV010000011.1,143167,156120,15.7143,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,NZ_JARAYD010000044.1,16506,29459,15.7161,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6977A,JARAYD010000044.1,16506,29459,15.7150,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,NZ_JARAYG010000009.1,82436,95389,15.7153,1,1,1,1,1,1,1,1
Streptomyces sp. ME01-18h,JARAYG010000009.1,82436,95389,15.7142,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,NZ_SSBN01000057.1,30858,43811,15.7144,1,1,1,1,1,1,1,1
Streptomyces sp. LRa12,SSBN01000057.1,30858,43811,15.7207,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,NZ_WWHF01000001.1,7516016,7528969,15.7152,1,1,1,1,1,1,1,1
Streptomyces sp. SID7813,WWHF01000001.1,7516016,7528969,15.7215,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,NZ_JARAXW010000011.1,921,13874,15.7150,1,1,1,1,1,1,1,1
Streptomyces sp. ME02-6979A,JARAXW010000011.1,921,13874,15.7139,1,1,1,1,1,1,1,1
Streptomyces sp. WM6391,NZ_JXWX01000076.1,319,8731,11.4906,1,1,1,1,1,1,0,0
Streptomyces sp. WM6391,JXWX01000076.1,319,8731,11.4917,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC018026,NZ_JBIRFY010000001.1,1127589,1140560,15.7076,1,1,1,1,1,1,1,1
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000029.1,13601,26563,15.7136,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127039,NZ_JBHXDR010000024.1,81169,94122,15.7069,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000089.1,273,8694,11.4900,1,1,1,1,1,1,0,0
Streptomyces sp. 111WW2,MUYY01000089.1,273,8694,11.4918,1,1,1,1,1,1,0,0
Streptomyces sp. E5N91,NZ_RAIE01000805.1,16511,29473,15.7112,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001599,NZ_JBIAVA010000004.1,47389,60300,15.7042,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,NZ_JAGPYG010000036.1,28683,41645,15.7143,1,1,1,1,1,1,1,1
Streptomyces sp. RK76,JAGPYG010000036.1,28683,41645,15.7132,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,NZ_LT629768.1,7545038,7558000,15.7131,1,1,1,1,1,1,1,1
Streptomyces sp. 2114.2,LT629768.1,7545038,7558000,15.7148,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,NZ_QUNN01000001.1,7542544,7555506,15.7142,1,1,1,1,1,1,1,1
Streptomyces sp. 2221.1,QUNN01000001.1,7542544,7555506,15.7148,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021969,NZ_JBFACC010000022.1,30530,43441,15.7031,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021086,NZ_JBIRQL010000002.1,954795,967706,15.7043,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059906,NZ_JBHWKU010000008.1,26171,39135,15.7008,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060275,NZ_JBHXBI010000121.1,8936,21870,15.7060,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000063.1,36557,44985,11.4804,1,1,1,1,1,1,0,0
Streptomyces sp. AD681,NZ_JAQISL010000003.1,333,8743,11.4806,1,1,1,1,1,1,0,0
Streptomyces sp. SID5914,WWHW01000017.1,738,9145,11.4848,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC020571,NZ_JBIRUP010000026.1,66729,79668,15.6959,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006617,NZ_JBEXOO010000024.1,73296,86240,15.7032,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,NZ_CP026730.1,6695826,6708760,15.7045,1,1,1,1,1,1,1,1
Streptomyces sp. CB09001,CP026730.1,6695826,6708760,15.7107,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,NZ_JAGPYB010000021.1,15746,28676,15.6970,1,1,1,1,1,1,1,1
Streptomyces sp. RK23,JAGPYB010000021.1,15746,28676,15.6959,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,NZ_JAGPYE010000020.1,123683,136613,15.6970,1,1,1,1,1,1,1,1
Streptomyces sp. RK74B,JAGPYE010000020.1,123683,136613,15.6959,1,1,1,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000002.1,685842,698786,15.6993,1,1,1,1,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000064.1,213,8641,11.4797,1,1,1,1,1,1,0,0
Streptomyces sp. MH60,MULI01000064.1,213,8641,11.4804,1,1,1,1,1,1,0,0
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,6805045,6817975,15.6967,1,1,1,1,1,1,1,1
Streptomyces sp. RS2,JAPCIE010000001.1,6805045,6817975,15.6956,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000001.1,465454,478398,15.6954,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC003781,NZ_JBIANT010000008.1,162742,175693,15.6988,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC102490,NZ_JBIWJU010000005.1,149248,162169,15.6936,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,NZ_CP045547.1,1128252,1141195,15.6938,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,1128252,1141195,15.7003,1,1,1,1,1,1,1,1
Streptomyces sp. PB17,NZ_JBJPFQ010000009.1,280693,293593,15.6892,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,NZ_KZ195574.1,1216072,1228972,15.6949,1,1,1,1,1,1,1,1
Streptomyces sp. CS113,KZ195574.1,1216072,1228972,15.6992,1,1,1,1,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000007.1,27476,40404,15.6934,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001469.1,95158,108101,15.6942,1,1,1,1,1,1,1,1
Streptomyces sp. SID5477,WWIG01000785.1,7125,20068,15.6987,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057340,NZ_JBHVAE010000005.1,150080,163031,15.6987,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091294,NZ_JBIVUP010000002.1,180432,193383,15.6992,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000025.1,231,8652,11.4805,1,1,1,1,1,1,0,0
Streptomyces sp. H23,NZ_SOPG01000008.1,7786,20730,15.6976,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2507,NZ_JAKCWU010000191.1,16463,24864,11.4788,1,1,1,1,1,1,0,0
Streptomyces sp. CS159,NZ_KZ195577.1,854642,867585,15.6953,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,854642,867585,15.6997,1,1,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000043.1,357,8760,11.4794,1,1,1,1,1,1,0,0
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,1046454,1059380,15.6947,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,1046454,1059380,15.6958,1,1,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000008.1,4289,17215,15.6951,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000002.1,523495,536421,15.6955,1,1,1,1,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000021.1,23107,36033,15.6960,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000007.1,122172,135096,15.6963,1,1,1,1,1,1,1,1
Streptomyces sp. E5N298,NZ_RAIG01000587.1,6132,19056,15.6961,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000335.1,437,8838,11.4779,1,1,1,1,1,1,0,0
Streptomyces sp. x-45,NZ_JAJPWL010000006.1,72439,85363,15.6975,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC049744,NZ_JBFANE010000102.1,16530,24925,11.4794,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC021139,NZ_JBFADF010000031.1,73827,86751,15.6953,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000005.1,405670,418594,15.6953,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,777097,790040,15.6941,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,WHZR01000001.1,777097,790040,15.6953,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000011.1,60874,73792,15.6971,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,1170547,1183491,15.6973,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,CP108643.1,1170547,1183491,15.6962,1,1,1,1,1,1,1,1
Streptomyces sp. PU10,NZ_JAVCPQ010000002.1,631078,644022,15.6980,1,1,1,1,1,1,1,1
Streptomyces sp. PU10,JAVCPQ010000002.1,631078,644022,15.6968,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000039.1,44584,57528,15.6966,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC052535,NZ_JBFAUD010000036.1,44739,57683,15.6964,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000018.1,32848,45792,15.6981,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000011.1,191586,204530,15.6979,1,1,1,1,1,1,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,1120024,1132967,15.6919,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,793873,806816,15.6931,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,WXVT01000001.1,793873,806816,15.6932,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,NZ_MQUH01000026.1,72908,85832,15.6962,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000014.1,125336,138260,15.6968,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000023.1,125337,133738,11.4790,1,1,1,1,1,1,0,0
Streptomyces sp. KPB2,NZ_CP034353.1,1011265,1024209,15.6971,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,CP034353.1,1011265,1024209,15.7031,1,1,1,1,1,1,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,956351,969295,15.6967,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,7079133,7092077,15.6969,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,CP074111.1,7079133,7092077,15.6986,1,1,1,1,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,1074246,1087210,15.6974,1,1,1,1,1,1,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,1067899,1080863,15.6974,1,1,1,1,1,1,1,1
Streptomyces sp. SID10362,NZ_JAAGLJ010000148.1,6151,19095,15.6969,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,NZ_JADWMQ010000050.1,18060,31004,15.6980,1,1,1,1,1,1,1,1
Streptomyces sp. HB-N217,JADWMQ010000050.1,18060,31004,15.6969,1,1,1,1,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000012.1,196496,209440,15.6985,1,1,1,1,1,1,1,1
Streptomyces sp. G3,JAMOZC010000012.1,196496,209440,15.6935,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000027.1,28957,41901,15.6971,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048306,NZ_JBEZLI010000005.1,185620,198564,15.6967,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000003.1,334872,347816,15.6978,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000001.1,355841,368785,15.6970,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000009.1,204621,217565,15.6970,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000017.1,25043,37987,15.6980,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000001.1,356275,369219,15.6982,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000008.1,225176,238120,15.6977,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059712,NZ_JBHWFU010000001.1,26228,39172,15.6981,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC060311,NZ_JBHXCA010000018.1,24391,37341,15.6975,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000002.1,223363,236313,15.6970,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000007.1,203355,216299,15.6976,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,1154701,1167645,15.6984,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000004.1,461141,474085,15.6981,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,7468469,7481393,15.6959,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000010.1,266117,279061,15.6979,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000008.1,177595,190539,15.6968,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000026.1,16577,29503,15.6964,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,JAOVZD010000026.1,16577,29503,15.6952,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000001.1,870739,883683,15.6977,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000080.1,390,8793,11.4781,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC005897,NZ_JBEXWD010000014.1,201926,210333,11.4789,1,1,1,1,1,1,0,0
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000030.1,66992,79689,15.6854,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000032.1,111311,119711,11.4701,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC088935,NZ_JBIVII010000009.1,257746,270697,15.6976,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000003.1,920703,933654,15.6976,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000016.1,146873,155281,11.4691,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058737,NZ_JBHYQL010000005.1,67679,80605,15.6941,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000001.1,800422,813348,15.6938,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059402,JBHYWM010000001.1,162768,175694,15.6938,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000008.1,261,8669,11.4668,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC048224,NZ_JBEZMG010000001.1,140711,153654,15.6826,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000015.1,3159,16085,15.6939,1,1,1,1,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000011.1,418408,431319,15.6843,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000031.1,111524,119924,11.4676,1,1,1,1,1,1,0,0
Streptomyces sp. NRRL F-4711,NZ_LGCX01000217.1,322,8722,11.4676,1,1,1,1,1,1,0,0
Streptomyces sp. NRRL F-4711,LGCX01000217.1,322,8722,8.3984,1,1,1,0,1,1,0,0
Streptomyces sp. NPDC085944,NZ_JBFBJX010000004.1,345232,358176,15.6923,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000152.1,610,9010,11.4674,1,1,1,1,1,1,0,0
Streptomyces sp. NRRL F-7442,LGEH01000152.1,610,9010,8.3983,1,1,1,0,1,1,0,0
Streptomyces sp. BK208,NZ_SOAV01000001.1,915194,928146,15.6858,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,SOAV01000001.1,915194,928146,15.6911,1,1,1,1,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000031.1,24613,37524,15.6788,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000024.1,72299,85210,15.6830,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,LGEF01000024.1,72299,85210,12.6132,1,1,1,0,1,1,1,1
Streptomyces sp. HO565,NZ_BPRK01000015.1,270889,282433,12.5344,1,1,1,1,1,1,0,1
Streptomyces sp. HO565,BPRK01000015.1,270889,282427,12.5338,1,1,1,1,1,1,0,1
Streptomyces sp. CL12-4,NZ_JAFETE010000001.1,1718965,1731838,15.6560,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,7364938,7377873,15.6799,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000026.1,27960,40717,15.6805,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,6810817,6823718,15.6770,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000023.1,30523,43424,15.6758,1,1,1,1,1,1,1,1
